abstract_name,complete_phrase,discipline,field,filename,frame,frame_elements,journal,lexical_unit,lexical_unit_end,lexical_unit_start,sentence_count
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Academic medicine .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Medical_specialties,"{ ""frameElement"": ""Specialty"", ""starts"": 0, ""ends"": 2, ""word"": ""Academic medicine"" }",ACADEMIC MEDICINE,medicine,2,1,0
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents : A Guide for Medical Educators .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Communicate_categorization,"{ ""frameElement"": ""Item"", ""starts"": 3, ""ends"": 21, ""word"": ""of the Professional Identity Formation and Socialization of Medical Students and Residents : A Guide for Medical Educators"" }",ACADEMIC MEDICINE,Representation,3,2,1
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents : A Guide for Medical Educators .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,People_by_vocation,"{ ""frameElement"": ""Person"", ""starts"": 5, ""ends"": 6, ""word"": ""Professional"" }",ACADEMIC MEDICINE,Professional,6,5,1
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents : A Guide for Medical Educators .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Identicality,"{ ""frameElement"": ""Type"", ""starts"": 6, ""ends"": 7, ""word"": ""Identity"" }",ACADEMIC MEDICINE,Identity,7,6,1
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents : A Guide for Medical Educators .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Creating,"{ ""frameElement"": ""Created_entity"", ""starts"": 6, ""ends"": 7, ""word"": ""Identity"" }",ACADEMIC MEDICINE,Formation,8,7,1
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents : A Guide for Medical Educators .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Education_teaching,"{ ""frameElement"": ""Student"", ""starts"": 12, ""ends"": 13, ""word"": ""Students"" }",ACADEMIC MEDICINE,Students,13,12,1
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents : A Guide for Medical Educators .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Residence,"{ ""frameElement"": ""Resident"", ""starts"": 14, ""ends"": 15, ""word"": ""Residents"" }",ACADEMIC MEDICINE,Residents,15,14,1
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Recent calls to focus on identity formation in medicine propose that educators establish as a goal of medical education the support and guidance of students and residents as they develop their professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Relative_time,"{ ""frameElement"": ""Focal_occasion"", ""starts"": 1, ""ends"": 2, ""word"": ""calls"" }",ACADEMIC MEDICINE,Recent,1,0,2
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Recent calls to focus on identity formation in medicine propose that educators establish as a goal of medical education the support and guidance of students and residents as they develop their professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Contacting,"{ ""frameElement"": ""Communicator"", ""starts"": 0, ""ends"": 1, ""word"": ""Recent"" }",ACADEMIC MEDICINE,calls,2,1,2
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Recent calls to focus on identity formation in medicine propose that educators establish as a goal of medical education the support and guidance of students and residents as they develop their professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Place_weight_on,"{ ""frameElement"": ""Consideration"", ""starts"": 4, ""ends"": 9, ""word"": ""on identity formation in medicine"" }, { ""frameElement"": ""Agent"", ""starts"": 0, ""ends"": 2, ""word"": ""Recent calls"" }",ACADEMIC MEDICINE,focus,4,3,2
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Recent calls to focus on identity formation in medicine propose that educators establish as a goal of medical education the support and guidance of students and residents as they develop their professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Identicality,"{ ""frameElement"": ""Type"", ""starts"": 5, ""ends"": 6, ""word"": ""identity"" }",ACADEMIC MEDICINE,identity,6,5,2
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Recent calls to focus on identity formation in medicine propose that educators establish as a goal of medical education the support and guidance of students and residents as they develop their professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Creating,"{ ""frameElement"": ""Created_entity"", ""starts"": 5, ""ends"": 6, ""word"": ""identity"" }",ACADEMIC MEDICINE,formation,7,6,2
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Recent calls to focus on identity formation in medicine propose that educators establish as a goal of medical education the support and guidance of students and residents as they develop their professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Medical_specialties,"{ ""frameElement"": ""Specialty"", ""starts"": 8, ""ends"": 9, ""word"": ""medicine"" }",ACADEMIC MEDICINE,medicine,9,8,2
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Recent calls to focus on identity formation in medicine propose that educators establish as a goal of medical education the support and guidance of students and residents as they develop their professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Statement,"{ ""frameElement"": ""Message"", ""starts"": 10, ""ends"": 33, ""word"": ""that educators establish as a goal of medical education the support and guidance of students and residents as they develop their professional identity"" }",ACADEMIC MEDICINE,propose,10,9,2
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Recent calls to focus on identity formation in medicine propose that educators establish as a goal of medical education the support and guidance of students and residents as they develop their professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Intentionally_create,"{ ""frameElement"": ""Creator"", ""starts"": 11, ""ends"": 12, ""word"": ""educators"" }, { ""frameElement"": ""Created_entity"", ""starts"": 13, ""ends"": 33, ""word"": ""as a goal of medical education the support and guidance of students and residents as they develop their professional identity"" }",ACADEMIC MEDICINE,establish,13,12,2
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Recent calls to focus on identity formation in medicine propose that educators establish as a goal of medical education the support and guidance of students and residents as they develop their professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Purpose,"{ ""frameElement"": ""Goal"", ""starts"": 14, ""ends"": 33, ""word"": ""a goal of medical education the support and guidance of students and residents as they develop their professional identity"" }",ACADEMIC MEDICINE,goal,16,15,2
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Recent calls to focus on identity formation in medicine propose that educators establish as a goal of medical education the support and guidance of students and residents as they develop their professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Education_teaching,,ACADEMIC MEDICINE,education,19,18,2
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Recent calls to focus on identity formation in medicine propose that educators establish as a goal of medical education the support and guidance of students and residents as they develop their professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Taking_sides,,ACADEMIC MEDICINE,support,21,20,2
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Recent calls to focus on identity formation in medicine propose that educators establish as a goal of medical education the support and guidance of students and residents as they develop their professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Education_teaching,"{ ""frameElement"": ""Student"", ""starts"": 24, ""ends"": 25, ""word"": ""students"" }",ACADEMIC MEDICINE,students,25,24,2
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Recent calls to focus on identity formation in medicine propose that educators establish as a goal of medical education the support and guidance of students and residents as they develop their professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Residence,"{ ""frameElement"": ""Resident"", ""starts"": 26, ""ends"": 27, ""word"": ""residents"" }",ACADEMIC MEDICINE,residents,27,26,2
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Recent calls to focus on identity formation in medicine propose that educators establish as a goal of medical education the support and guidance of students and residents as they develop their professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Cause_to_make_progress,"{ ""frameElement"": ""Agent"", ""starts"": 28, ""ends"": 29, ""word"": ""they"" }, { ""frameElement"": ""Project"", ""starts"": 30, ""ends"": 33, ""word"": ""their professional identity"" }",ACADEMIC MEDICINE,develop,30,29,2
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Recent calls to focus on identity formation in medicine propose that educators establish as a goal of medical education the support and guidance of students and residents as they develop their professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,People_by_vocation,"{ ""frameElement"": ""Person"", ""starts"": 31, ""ends"": 32, ""word"": ""professional"" }",ACADEMIC MEDICINE,professional,32,31,2
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Recent calls to focus on identity formation in medicine propose that educators establish as a goal of medical education the support and guidance of students and residents as they develop their professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Identicality,"{ ""frameElement"": ""Type"", ""starts"": 31, ""ends"": 32, ""word"": ""professional"" }",ACADEMIC MEDICINE,identity,33,32,2
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Those entering medical school arrive with a personal identity formed since birth .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Arriving,"{ ""frameElement"": ""Goal"", ""starts"": 2, ""ends"": 3, ""word"": ""medical"" }",ACADEMIC MEDICINE,entering,2,1,3
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Those entering medical school arrive with a personal identity formed since birth .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Locale_by_use,"{ ""frameElement"": ""Locale"", ""starts"": 3, ""ends"": 4, ""word"": ""school"" }, { ""frameElement"": ""Descriptor"", ""starts"": 2, ""ends"": 3, ""word"": ""medical"" }",ACADEMIC MEDICINE,school,4,3,3
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Those entering medical school arrive with a personal identity formed since birth .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Arriving,"{ ""frameElement"": ""Theme"", ""starts"": 0, ""ends"": 4, ""word"": ""Those entering medical school"" }, { ""frameElement"": ""Depictive"", ""starts"": 5, ""ends"": 9, ""word"": ""with a personal identity"" }",ACADEMIC MEDICINE,arrive,5,4,3
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Those entering medical school arrive with a personal identity formed since birth .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Identicality,"{ ""frameElement"": ""Type"", ""starts"": 8, ""ends"": 9, ""word"": ""identity"" }",ACADEMIC MEDICINE,identity,9,8,3
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Those entering medical school arrive with a personal identity formed since birth .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Coming_to_be,"{ ""frameElement"": ""Entity"", ""starts"": 6, ""ends"": 9, ""word"": ""a personal identity"" }",ACADEMIC MEDICINE,formed,10,9,3
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Those entering medical school arrive with a personal identity formed since birth .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Birth,,ACADEMIC MEDICINE,birth,12,11,3
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"As they proceed through the educational continuum , they successively develop the identity of a medical student , a resident , and a physician .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Process_continue,"{ ""frameElement"": ""Event"", ""starts"": 1, ""ends"": 2, ""word"": ""they"" }, { ""frameElement"": ""Place"", ""starts"": 3, ""ends"": 7, ""word"": ""through the educational continuum"" }",ACADEMIC MEDICINE,proceed,3,2,4
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"As they proceed through the educational continuum , they successively develop the identity of a medical student , a resident , and a physician .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Education_teaching,,ACADEMIC MEDICINE,educational,6,5,4
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"As they proceed through the educational continuum , they successively develop the identity of a medical student , a resident , and a physician .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Cause_to_make_progress,"{ ""frameElement"": ""Agent"", ""starts"": 8, ""ends"": 9, ""word"": ""they"" }, { ""frameElement"": ""Project"", ""starts"": 11, ""ends"": 17, ""word"": ""the identity of a medical student"" }",ACADEMIC MEDICINE,develop,11,10,4
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"As they proceed through the educational continuum , they successively develop the identity of a medical student , a resident , and a physician .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Identicality,,ACADEMIC MEDICINE,identity,13,12,4
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"As they proceed through the educational continuum , they successively develop the identity of a medical student , a resident , and a physician .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Education_teaching,"{ ""frameElement"": ""Student"", ""starts"": 16, ""ends"": 17, ""word"": ""student"" }",ACADEMIC MEDICINE,student,17,16,4
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"As they proceed through the educational continuum , they successively develop the identity of a medical student , a resident , and a physician .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Residence,"{ ""frameElement"": ""Resident"", ""starts"": 18, ""ends"": 24, ""word"": ""a resident , and a physician"" }",ACADEMIC MEDICINE,resident,20,19,4
