abstract_name,compleate_phrase,discipline,field,filename,frame,frame_elements,journal,lexical_unit,lexical_unit_end,lexical_unit_start,sentence_count
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry .,HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Color,"{ ""frameElement"": ""Color"", ""starts"": 6, ""ends"": 7, ""word"": ""black"" }, { ""frameElement"": ""Entity"", ""starts"": 7, ""ends"": 8, ""word"": ""phosphorus"" }",NATURE CHEMISTRY,black,7,6,1
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"Functionalization of atomically thin nanomaterials enables the tailoring of their chemical , optical and electronic properties .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Body_description_holistic,,NATURE CHEMISTRY,thin,4,3,2
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"Functionalization of atomically thin nanomaterials enables the tailoring of their chemical , optical and electronic properties .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Weapon,"{ ""frameElement"": ""Weapon"", ""starts"": 10, ""ends"": 11, ""word"": ""chemical"" }, { ""frameElement"": ""Wielder"", ""starts"": 9, ""ends"": 10, ""word"": ""their"" }",NATURE CHEMISTRY,chemical,11,10,2
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"Functionalization of atomically thin nanomaterials enables the tailoring of their chemical , optical and electronic properties .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Possession,"{ ""frameElement"": ""Possession"", ""starts"": 12, ""ends"": 16, ""word"": ""optical and electronic properties"" }",NATURE CHEMISTRY,properties,16,15,2
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"Exfoliated black phosphorus -LRB- BP -RRB- -a layered two-dimensional semiconductor-exhibits favourable charge-carrier mobility , tunable bandgap and highly anisotropic properties , but it is chemically reactive and degrades rapidly in ambient conditions .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Color,"{ ""frameElement"": ""Color"", ""starts"": 1, ""ends"": 2, ""word"": ""black"" }, { ""frameElement"": ""Entity"", ""starts"": 2, ""ends"": 3, ""word"": ""phosphorus"" }",NATURE CHEMISTRY,black,2,1,3
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"Exfoliated black phosphorus -LRB- BP -RRB- -a layered two-dimensional semiconductor-exhibits favourable charge-carrier mobility , tunable bandgap and highly anisotropic properties , but it is chemically reactive and degrades rapidly in ambient conditions .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Possession,"{ ""frameElement"": ""Possession"", ""starts"": 17, ""ends"": 20, ""word"": ""highly anisotropic properties"" }",NATURE CHEMISTRY,properties,20,19,3
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"Exfoliated black phosphorus -LRB- BP -RRB- -a layered two-dimensional semiconductor-exhibits favourable charge-carrier mobility , tunable bandgap and highly anisotropic properties , but it is chemically reactive and degrades rapidly in ambient conditions .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Speed,"{ ""frameElement"": ""Entity"", ""starts"": 27, ""ends"": 28, ""word"": ""degrades"" }",NATURE CHEMISTRY,rapidly,29,28,3
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"Exfoliated black phosphorus -LRB- BP -RRB- -a layered two-dimensional semiconductor-exhibits favourable charge-carrier mobility , tunable bandgap and highly anisotropic properties , but it is chemically reactive and degrades rapidly in ambient conditions .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,State_of_entity,"{ ""frameElement"": ""Evaluation"", ""starts"": 30, ""ends"": 31, ""word"": ""ambient"" }, { ""frameElement"": ""State"", ""starts"": 31, ""ends"": 32, ""word"": ""conditions"" }",NATURE CHEMISTRY,conditions,32,31,3
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,Here we show that covalent aryl diazonium functionalization suppresses the chemical degradation of exfoliated BP even after three weeks of ambient exposure .,HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Locative_relation,"{ ""frameElement"": ""Ground"", ""starts"": 0, ""ends"": 1, ""word"": ""Here"" }",NATURE CHEMISTRY,Here,1,0,4
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,Here we show that covalent aryl diazonium functionalization suppresses the chemical degradation of exfoliated BP even after three weeks of ambient exposure .,HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Reasoning,"{ ""frameElement"": ""Content"", ""starts"": 3, ""ends"": 22, ""word"": ""that covalent aryl diazonium functionalization suppresses the chemical degradation of exfoliated BP even after three weeks of ambient exposure"" }, { ""frameElement"": ""Arguer"", ""starts"": 1, ""ends"": 2, ""word"": ""we"" }",NATURE CHEMISTRY,show,3,2,4
