ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,the,_,The,_,DT,1,_,_,_,_,_,_,_,S-Instance
2,case,_,Case,_,NNP,1,_,_,_,_,_,case.n,Instance,O
3,for,_,for,_,IN,1,_,_,_,_,_,_,_,B-Instance
4,use,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Instance
5,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Instance
6,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Instance
7,professional,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Instance
8,activities,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Instance
9,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Instance
10,undergraduate,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Instance
11,medical,_,Medical,_,NNP,1,_,_,_,_,_,_,_,I-Instance
12,education,_,Education,_,NNP,1,_,_,_,_,_,_,_,I-Instance
13,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Instance
1,the,_,The,_,DT,1,_,_,_,_,_,_,_,B-Time
2,case,_,Case,_,NNP,1,_,_,_,_,_,_,_,I-Time
3,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
4,use,_,UNK,_,NNP,1,_,_,_,_,_,_,_,S-Cognizer
5,of,_,of,_,IN,1,_,_,_,_,_,_,_,B-Degree
6,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
7,professional,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
8,activities,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
9,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Degree
10,undergraduate,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
11,medical,_,Medical,_,NNP,1,_,_,_,_,_,_,_,I-Degree
12,education,_,Education,_,NNP,1,_,_,_,_,_,_,_,I-Degree
13,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,the,_,The,_,DT,1,_,_,_,_,_,_,_,O
2,case,_,Case,_,NNP,1,_,_,_,_,_,_,_,O
3,for,_,for,_,IN,1,_,_,_,_,_,_,_,O
4,use,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
6,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Age
7,professional,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
8,activities,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Degree
9,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Degree
10,undergraduate,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
11,medical,_,Medical,_,NNP,1,_,_,_,_,_,_,_,I-Degree
12,education,_,Education,_,NNP,1,_,_,_,_,_,_,_,I-Degree
13,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,the,_,The,_,DT,1,_,_,_,_,_,_,_,B-Level
2,case,_,Case,_,NNP,1,_,_,_,_,_,_,_,I-Level
3,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Level
4,use,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Level
5,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Level
6,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Level
7,professional,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Level
8,activities,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Level
9,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Level
10,undergraduate,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Level
11,medical,_,Medical,_,NNP,1,_,_,_,_,_,_,_,S-Subject
12,education,_,Education,_,NNP,1,_,_,_,_,_,education.n,Education_teaching,S-Degree
13,.,_,.,_,.,1,_,_,_,_,_,_,_,S-Institution
1,many,_,Many,_,JJ,2,_,_,_,_,_,many.a,Quantified_mass,S-Degree
2,graduate,_,graduate,_,NN,2,_,_,_,_,_,_,_,B-Q_prop
3,medical,_,medical,_,JJ,2,_,_,_,_,_,_,_,I-Q_prop
4,education,_,education,_,NN,2,_,_,_,_,_,_,_,I-Q_prop
5,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Q_prop
6,gme,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Q_prop
7,),_,),_,),2,_,_,_,_,_,_,_,I-Q_prop
8,programs,_,program,_,NNS,2,_,_,_,_,_,_,_,I-Q_prop
9,have,_,have,_,VBP,2,_,_,_,_,_,_,_,I-Q_prop
10,started,_,start,_,VBN,2,_,_,_,_,_,_,_,I-Q_prop
11,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Q_prop
12,consider,_,consider,_,VB,2,_,_,_,_,_,_,_,I-Q_prop
13,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Q_prop
14,adopt,_,adopt,_,VB,2,_,_,_,_,_,_,_,I-Q_prop
15,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Q_prop
16,professional,_,professional,_,JJ,2,_,_,_,_,_,_,_,I-Q_prop
17,activities,_,activity,_,NNS,2,_,_,_,_,_,_,_,I-Q_prop
18,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Q_prop
19,epas,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Q_prop
20,),_,),_,),2,_,_,_,_,_,_,_,I-Q_prop
21,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Q_prop
22,their,_,their,_,PRP$,2,_,_,_,_,_,_,_,I-Q_prop
23,competency,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Q_prop
24,frameworks,_,framework,_,NNS,2,_,_,_,_,_,_,_,I-Q_prop
25,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Q_prop
1,many,_,Many,_,JJ,2,_,_,_,_,_,_,_,S-Student
2,graduate,_,graduate,_,NN,2,_,_,_,_,_,graduate.n,Education_teaching,S-Degree
3,medical,_,medical,_,JJ,2,_,_,_,_,_,_,_,B-Manner
4,education,_,education,_,NN,2,_,_,_,_,_,_,_,I-Manner
5,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Manner
6,gme,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
7,),_,),_,),2,_,_,_,_,_,_,_,I-Manner
8,programs,_,program,_,NNS,2,_,_,_,_,_,_,_,I-Manner
9,have,_,have,_,VBP,2,_,_,_,_,_,_,_,B-Level
10,started,_,start,_,VBN,2,_,_,_,_,_,_,_,I-Level
11,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Level
12,consider,_,consider,_,VB,2,_,_,_,_,_,_,_,I-Level
13,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Level
14,adopt,_,adopt,_,VB,2,_,_,_,_,_,_,_,I-Level
15,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Level
16,professional,_,professional,_,JJ,2,_,_,_,_,_,_,_,I-Level
17,activities,_,activity,_,NNS,2,_,_,_,_,_,_,_,I-Level
18,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Level
19,epas,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Level
20,),_,),_,),2,_,_,_,_,_,_,_,I-Level
21,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Level
22,their,_,their,_,PRP$,2,_,_,_,_,_,_,_,I-Level
23,competency,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Level
24,frameworks,_,framework,_,NNS,2,_,_,_,_,_,_,_,I-Level
25,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Level
1,many,_,Many,_,JJ,2,_,_,_,_,_,_,_,B-Level
2,graduate,_,graduate,_,NN,2,_,_,_,_,_,_,_,I-Level
3,medical,_,medical,_,JJ,2,_,_,_,_,_,_,_,I-Level
4,education,_,education,_,NN,2,_,_,_,_,_,education.n,Education_teaching,S-Degree
5,(,_,(,_,(,2,_,_,_,_,_,_,_,B-Manner
6,gme,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
7,),_,),_,),2,_,_,_,_,_,_,_,I-Manner
8,programs,_,program,_,NNS,2,_,_,_,_,_,_,_,I-Manner
9,have,_,have,_,VBP,2,_,_,_,_,_,_,_,B-Level
10,started,_,start,_,VBN,2,_,_,_,_,_,_,_,I-Level
11,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Level
12,consider,_,consider,_,VB,2,_,_,_,_,_,_,_,I-Level
13,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Level
14,adopt,_,adopt,_,VB,2,_,_,_,_,_,_,_,I-Level
15,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Level
16,professional,_,professional,_,JJ,2,_,_,_,_,_,_,_,I-Level
17,activities,_,activity,_,NNS,2,_,_,_,_,_,_,_,I-Level
18,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Level
19,epas,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Level
20,),_,),_,),2,_,_,_,_,_,_,_,I-Level
21,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Level
22,their,_,their,_,PRP$,2,_,_,_,_,_,_,_,I-Level
23,competency,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Level
24,frameworks,_,framework,_,NNS,2,_,_,_,_,_,_,_,I-Level
25,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Level
1,many,_,Many,_,JJ,2,_,_,_,_,_,_,_,B-Trajector
2,graduate,_,graduate,_,NN,2,_,_,_,_,_,_,_,I-Trajector
3,medical,_,medical,_,JJ,2,_,_,_,_,_,_,_,I-Trajector
4,education,_,education,_,NN,2,_,_,_,_,_,_,_,I-Trajector
5,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Trajector
6,gme,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Trajector
7,),_,),_,),2,_,_,_,_,_,_,_,I-Trajector
8,programs,_,program,_,NNS,2,_,_,_,_,_,_,_,I-Trajector
9,have,_,have,_,VBP,2,_,_,_,_,_,_,_,I-Trajector
10,started,_,start,_,VBN,2,_,_,_,_,_,_,_,I-Trajector
11,to,_,to,_,TO,2,_,_,_,_,_,to.prep,Goal,O
12,consider,_,consider,_,VB,2,_,_,_,_,_,_,_,B-Trajector
13,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Trajector
14,adopt,_,adopt,_,VB,2,_,_,_,_,_,_,_,I-Trajector
15,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Trajector
16,professional,_,professional,_,JJ,2,_,_,_,_,_,_,_,I-Trajector
17,activities,_,activity,_,NNS,2,_,_,_,_,_,_,_,I-Trajector
18,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Trajector
19,epas,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Trajector
20,),_,),_,),2,_,_,_,_,_,_,_,I-Trajector
21,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Trajector
22,their,_,their,_,PRP$,2,_,_,_,_,_,_,_,I-Trajector
23,competency,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Trajector
24,frameworks,_,framework,_,NNS,2,_,_,_,_,_,_,_,I-Trajector
25,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Trajector
1,many,_,Many,_,JJ,2,_,_,_,_,_,_,_,O
2,graduate,_,graduate,_,NN,2,_,_,_,_,_,_,_,O
3,medical,_,medical,_,JJ,2,_,_,_,_,_,_,_,O
4,education,_,education,_,NN,2,_,_,_,_,_,_,_,O
5,(,_,(,_,(,2,_,_,_,_,_,_,_,O
6,gme,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
7,),_,),_,),2,_,_,_,_,_,_,_,O
