ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,academy,_,Academy,_,NNP,0,_,_,_,_,_,_,_,S-Time
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,B-Degree
3,management,_,management,_,NN,0,_,_,_,_,_,management.n,Being_in_control,I-Degree
4,review,_,review,_,NN,0,_,_,_,_,_,_,_,I-Degree
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Degree
1,academy,_,Academy,_,NNP,0,_,_,_,_,_,_,_,S-Time
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,B-Degree
3,management,_,management,_,NN,0,_,_,_,_,_,management.n,Being_in_control,I-Degree
4,review,_,review,_,NN,0,_,_,_,_,_,_,_,I-Degree
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Degree
1,academy,_,Academy,_,NNP,0,_,_,_,_,_,_,_,S-Time
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,B-Degree
3,management,_,management,_,NN,0,_,_,_,_,_,management.n,Being_in_control,I-Degree
4,review,_,review,_,NN,0,_,_,_,_,_,_,_,I-Degree
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Degree
1,academy,_,Academy,_,NNP,0,_,_,_,_,_,_,_,S-Time
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,B-Degree
3,management,_,management,_,NN,0,_,_,_,_,_,management.n,Being_in_control,I-Degree
4,review,_,review,_,NN,0,_,_,_,_,_,_,_,I-Degree
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Degree
1,academy,_,Academy,_,NNP,0,_,_,_,_,_,_,_,S-Time
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,B-Degree
3,management,_,management,_,NN,0,_,_,_,_,_,management.n,Being_in_control,I-Degree
4,review,_,review,_,NN,0,_,_,_,_,_,_,_,I-Degree
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Degree
1,academy,_,Academy,_,NNP,0,_,_,_,_,_,_,_,S-Time
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,B-Degree
3,management,_,management,_,NN,0,_,_,_,_,_,management.n,Being_in_control,I-Degree
4,review,_,review,_,NN,0,_,_,_,_,_,_,_,I-Degree
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Degree
1,academy,_,Academy,_,NNP,0,_,_,_,_,_,_,_,S-Time
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,B-Degree
3,management,_,management,_,NN,0,_,_,_,_,_,management.n,Being_in_control,I-Degree
4,review,_,review,_,NN,0,_,_,_,_,_,_,_,I-Degree
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Degree
1,academy,_,Academy,_,NNP,0,_,_,_,_,_,_,_,S-Time
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,B-Degree
3,management,_,management,_,NN,0,_,_,_,_,_,management.n,Being_in_control,I-Degree
4,review,_,review,_,NN,0,_,_,_,_,_,_,_,I-Degree
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Degree
1,academy,_,Academy,_,NNP,0,_,_,_,_,_,_,_,S-Time
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,B-Degree
3,management,_,management,_,NN,0,_,_,_,_,_,management.n,Being_in_control,I-Degree
4,review,_,review,_,NN,0,_,_,_,_,_,_,_,I-Degree
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Degree
1,academy,_,Academy,_,NNP,0,_,_,_,_,_,_,_,S-Time
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,B-Degree
3,management,_,management,_,NN,0,_,_,_,_,_,management.n,Being_in_control,I-Degree
4,review,_,review,_,NN,0,_,_,_,_,_,_,_,I-Degree
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Degree
1,academy,_,Academy,_,NNP,0,_,_,_,_,_,_,_,S-Time
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,B-Degree
3,management,_,management,_,NN,0,_,_,_,_,_,management.n,Being_in_control,I-Degree
4,review,_,review,_,NN,0,_,_,_,_,_,_,_,I-Degree
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Degree
1,academy,_,Academy,_,NNP,0,_,_,_,_,_,_,_,S-Time
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,B-Degree
3,management,_,management,_,NN,0,_,_,_,_,_,management.n,Being_in_control,I-Degree
4,review,_,review,_,NN,0,_,_,_,_,_,_,_,I-Degree
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Degree
1,academy,_,Academy,_,NNP,0,_,_,_,_,_,_,_,S-Time
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,B-Degree
3,management,_,management,_,NN,0,_,_,_,_,_,management.n,Being_in_control,I-Degree
4,review,_,review,_,NN,0,_,_,_,_,_,_,_,I-Degree
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Degree
1,academy,_,Academy,_,NNP,0,_,_,_,_,_,_,_,S-Time
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,B-Degree
3,management,_,management,_,NN,0,_,_,_,_,_,management.n,Being_in_control,I-Degree
4,review,_,review,_,NN,0,_,_,_,_,_,_,_,I-Degree
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Degree
1,academy,_,Academy,_,NNP,0,_,_,_,_,_,_,_,S-Time
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,B-Degree
3,management,_,management,_,NN,0,_,_,_,_,_,management.n,Being_in_control,I-Degree
4,review,_,review,_,NN,0,_,_,_,_,_,_,_,I-Degree
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Degree
1,academy,_,Academy,_,NNP,0,_,_,_,_,_,_,_,S-Time
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,B-Degree
3,management,_,management,_,NN,0,_,_,_,_,_,management.n,Being_in_control,I-Degree
4,review,_,review,_,NN,0,_,_,_,_,_,_,_,I-Degree
