ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,multiple,_,UNK,_,JJ,2,_,_,_,_,_,_,_,S-Aggregate_property
2,cropping,_,crop,_,VBG,2,_,_,_,_,_,crop.n,Aggregate,O
3,systems,_,system,_,NNS,2,_,_,_,_,_,_,_,B-Aggregate_property
4,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Aggregate_property
5,particularly,_,particularly,_,RB,2,_,_,_,_,_,_,_,I-Aggregate_property
6,important,_,important,_,JJ,2,_,_,_,_,_,_,_,I-Aggregate_property
7,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Aggregate_property
8,china,_,China,_,NNP,2,_,_,_,_,_,_,_,O
9,to,_,to,_,TO,2,_,_,_,_,_,_,_,O
10,feed,_,fee,_,VB,2,_,_,_,_,_,_,_,O
11,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
12,19,_,19,_,CD,2,_,_,_,_,_,_,_,O
13,%,_,%,_,NN,2,_,_,_,_,_,_,_,O
14,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
15,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
16,world,_,world,_,NN,2,_,_,_,_,_,_,_,O
17,'s,_,'s,_,POS,2,_,_,_,_,_,_,_,O
18,population,_,population,_,NN,2,_,_,_,_,_,_,_,O
19,with,_,with,_,IN,2,_,_,_,_,_,_,_,O
20,only,_,only,_,RB,2,_,_,_,_,_,_,_,O
21,8,_,8,_,CD,2,_,_,_,_,_,_,_,O
22,%,_,%,_,NN,2,_,_,_,_,_,_,_,O
23,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
24,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
25,arable,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
26,land,_,land,_,NN,2,_,_,_,_,_,_,_,O
27,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,multiple,_,UNK,_,JJ,2,_,_,_,_,_,_,_,B-Trajector
2,cropping,_,crop,_,VBG,2,_,_,_,_,_,_,_,I-Trajector
3,systems,_,system,_,NNS,2,_,_,_,_,_,_,_,I-Trajector
4,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Trajector
5,particularly,_,particularly,_,RB,2,_,_,_,_,_,_,_,I-Trajector
6,important,_,important,_,JJ,2,_,_,_,_,_,_,_,I-Trajector
7,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Trajector
8,china,_,China,_,NNP,2,_,_,_,_,_,_,_,I-Trajector
9,to,_,to,_,TO,2,_,_,_,_,_,to.prep,Goal,O
10,feed,_,fee,_,VB,2,_,_,_,_,_,_,_,B-Time
11,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Time
12,19,_,19,_,CD,2,_,_,_,_,_,_,_,I-Time
13,%,_,%,_,NN,2,_,_,_,_,_,_,_,I-Time
14,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Time
15,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Time
16,world,_,world,_,NN,2,_,_,_,_,_,_,_,I-Time
17,'s,_,'s,_,POS,2,_,_,_,_,_,_,_,I-Time
18,population,_,population,_,NN,2,_,_,_,_,_,_,_,I-Time
19,with,_,with,_,IN,2,_,_,_,_,_,_,_,I-Time
20,only,_,only,_,RB,2,_,_,_,_,_,_,_,I-Time
21,8,_,8,_,CD,2,_,_,_,_,_,_,_,I-Time
22,%,_,%,_,NN,2,_,_,_,_,_,_,_,I-Time
23,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Time
24,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Time
25,arable,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Time
26,land,_,land,_,NN,2,_,_,_,_,_,_,_,I-Time
27,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Time
1,multiple,_,UNK,_,JJ,2,_,_,_,_,_,_,_,B-Age
2,cropping,_,crop,_,VBG,2,_,_,_,_,_,_,_,I-Age
3,systems,_,system,_,NNS,2,_,_,_,_,_,_,_,I-Age
4,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Age
5,particularly,_,particularly,_,RB,2,_,_,_,_,_,_,_,I-Age
6,important,_,important,_,JJ,2,_,_,_,_,_,_,_,I-Age
7,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Age
8,china,_,China,_,NNP,2,_,_,_,_,_,_,_,I-Age
9,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Age
10,feed,_,fee,_,VB,2,_,_,_,_,_,_,_,I-Age
11,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Age
