ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,in,_,In,_,IN,2,_,_,_,_,_,_,_,B-Trajector
2,this,_,this,_,DT,2,_,_,_,_,_,_,_,I-Trajector
3,review,_,review,_,NN,2,_,_,_,_,_,_,_,I-Trajector
4,we,_,we,_,PRP,2,_,_,_,_,_,_,_,I-Trajector
5,intend,_,intend,_,VBP,2,_,_,_,_,_,_,_,I-Trajector
6,to,_,to,_,TO,2,_,_,_,_,_,to.prep,Goal,O
7,provide,_,provide,_,VB,2,_,_,_,_,_,_,_,B-Time
8,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Time
9,relatively,_,relatively,_,RB,2,_,_,_,_,_,_,_,I-Time
10,comprehensive,_,comprehensive,_,JJ,2,_,_,_,_,_,_,_,I-Time
11,summary,_,summary,_,NN,2,_,_,_,_,_,_,_,I-Time
12,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Time
13,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Time
14,work,_,work,_,NN,2,_,_,_,_,_,_,_,I-Time
15,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Time
16,supramolecular,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Time
17,unk,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Time
18,after,_,after,_,IN,2,_,_,_,_,_,_,_,I-Time
19,2004,_,2004,_,CD,2,_,_,_,_,_,_,_,I-Time
20,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Time
21,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Time
22,put,_,put,_,VB,2,_,_,_,_,_,_,_,I-Time
23,emphasis,_,emphasis,_,RP,2,_,_,_,_,_,_,_,I-Time
24,particularly,_,particularly,_,RB,2,_,_,_,_,_,_,_,I-Time
25,on,_,on,_,IN,2,_,_,_,_,_,_,_,I-Time
26,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Time
27,applications,_,application,_,NNS,2,_,_,_,_,_,_,_,B-Trajector
28,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Trajector
29,supramolecular,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Trajector
30,unk,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Trajector
