ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,supramolecular,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Proposition
2,unk,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Proposition
3,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Proposition
4,hydrogels,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Proposition
5,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Proposition
6,from,_,From,_,IN,1,_,_,_,_,_,from.prep,Evidence,S-Degree
7,soft,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Proposition
8,matter,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Proposition
9,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Proposition
10,molecular,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Proposition
11,biomaterials,_,Biomaterials,_,NNP,1,_,_,_,_,_,_,_,I-Proposition
12,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,supramolecular,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Time
2,unk,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Time
3,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Time
4,hydrogels,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Time
5,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Time
6,from,_,From,_,IN,1,_,_,_,_,_,_,_,I-Time
7,soft,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
8,matter,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
9,to,_,to,_,TO,1,_,_,_,_,_,to.prep,Goal,I-Time
10,molecular,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
11,biomaterials,_,Biomaterials,_,NNP,1,_,_,_,_,_,_,_,I-Time
12,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Time
1,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Support
