ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,the,_,The,_,DT,2,_,_,_,_,_,_,_,O
2,unk,_,UNK,_,VBG,2,_,_,_,_,_,_,_,O
3,vortex,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
4,core,_,core,_,NN,2,_,_,_,_,_,_,_,O
5,(,_,(,_,(,2,_,_,_,_,_,_,_,O
6,pvc,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
7,),_,),_,),2,_,_,_,_,_,_,_,O
8,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,O
9,a,_,a,_,DT,2,_,_,_,_,_,_,_,O
10,coherent,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
11,flow,_,flow,_,NN,2,_,_,_,_,_,_,_,O
12,structure,_,structure,_,NN,2,_,_,_,_,_,_,_,O
13,that,_,that,_,WDT,2,_,_,_,_,_,that.adv,Degree,O
14,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,O
15,often,_,often,_,RB,2,_,_,_,_,_,_,_,O
16,encountered,_,UNK,_,VBN,2,_,_,_,_,_,_,_,O
17,in,_,in,_,IN,2,_,_,_,_,_,_,_,O
18,swirling,_,swirl,_,VBG,2,_,_,_,_,_,_,_,O
19,flows,_,flow,_,NNS,2,_,_,_,_,_,_,_,O
20,in,_,in,_,IN,2,_,_,_,_,_,_,_,O
21,gas,_,gas,_,NN,2,_,_,_,_,_,_,_,O
22,turbine,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
23,(,_,(,_,(,2,_,_,_,_,_,_,_,O
24,gt,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
25,),_,),_,),2,_,_,_,_,_,_,_,O
26,combustors,_,UNK,_,NNS,2,_,_,_,_,_,_,_,O
27,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,the,_,The,_,DT,2,_,_,_,_,_,_,_,B-Salient_entity
2,unk,_,UNK,_,VBG,2,_,_,_,_,_,_,_,I-Salient_entity
3,vortex,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Salient_entity
4,core,_,core,_,NN,2,_,_,_,_,_,_,_,I-Salient_entity
5,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Salient_entity
6,pvc,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Salient_entity
7,),_,),_,),2,_,_,_,_,_,_,_,I-Salient_entity
8,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Salient_entity
9,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Salient_entity
10,coherent,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Salient_entity
11,flow,_,flow,_,NN,2,_,_,_,_,_,_,_,I-Salient_entity
12,structure,_,structure,_,NN,2,_,_,_,_,_,_,_,I-Salient_entity
13,that,_,that,_,WDT,2,_,_,_,_,_,_,_,I-Salient_entity
14,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Salient_entity
15,often,_,often,_,RB,2,_,_,_,_,_,often.adv,Frequency,B-Degree
16,encountered,_,UNK,_,VBN,2,_,_,_,_,_,_,_,I-Degree
17,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Degree
18,swirling,_,swirl,_,VBG,2,_,_,_,_,_,_,_,I-Degree
19,flows,_,flow,_,NNS,2,_,_,_,_,_,_,_,I-Degree
20,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Degree
21,gas,_,gas,_,NN,2,_,_,_,_,_,_,_,I-Degree
22,turbine,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Degree
23,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Degree
24,gt,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Degree
25,),_,),_,),2,_,_,_,_,_,_,_,I-Degree
26,combustors,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Degree
27,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Degree
1,the,_,The,_,DT,2,_,_,_,_,_,_,_,B-Manner
2,unk,_,UNK,_,VBG,2,_,_,_,_,_,_,_,I-Manner
3,vortex,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
4,core,_,core,_,NN,2,_,_,_,_,_,_,_,I-Manner
5,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Manner
6,pvc,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
7,),_,),_,),2,_,_,_,_,_,_,_,I-Manner
8,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Manner
9,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Manner
10,coherent,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
11,flow,_,flow,_,NN,2,_,_,_,_,_,_,_,I-Manner
12,structure,_,structure,_,NN,2,_,_,_,_,_,_,_,I-Manner
13,that,_,that,_,WDT,2,_,_,_,_,_,_,_,I-Manner
14,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Manner
15,often,_,often,_,RB,2,_,_,_,_,_,_,_,I-Manner
16,encountered,_,UNK,_,VBN,2,_,_,_,_,_,_,_,I-Manner
17,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Manner
18,swirling,_,swirl,_,VBG,2,_,_,_,_,_,swirl.v,Cause_to_move_in_place,S-Degree
19,flows,_,flow,_,NNS,2,_,_,_,_,_,_,_,B-Purpose
20,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Purpose
21,gas,_,gas,_,NN,2,_,_,_,_,_,_,_,B-Degree
22,turbine,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Degree
23,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Degree
24,gt,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Degree
25,),_,),_,),2,_,_,_,_,_,_,_,I-Degree
26,combustors,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Degree
27,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Degree
1,the,_,The,_,DT,2,_,_,_,_,_,_,_,B-Manner
2,unk,_,UNK,_,VBG,2,_,_,_,_,_,_,_,I-Manner
3,vortex,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
4,core,_,core,_,NN,2,_,_,_,_,_,_,_,I-Manner
5,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Manner
6,pvc,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
7,),_,),_,),2,_,_,_,_,_,_,_,I-Manner
8,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Manner
9,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Manner
10,coherent,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
