ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,international,_,International,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Age
3,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
4,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,B-Age
5,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,international,_,International,_,NNP,0,_,_,_,_,_,_,_,B-Descriptor
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Descriptor
3,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Descriptor
4,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,S-Activity
5,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
6,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Activity
1,international,_,International,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Age
3,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
4,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,B-Age
5,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,international,_,International,_,NNP,0,_,_,_,_,_,_,_,B-Descriptor
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Descriptor
3,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Descriptor
4,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,S-Activity
5,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
6,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Activity
1,international,_,International,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Age
3,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
4,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,B-Age
5,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,international,_,International,_,NNP,0,_,_,_,_,_,_,_,B-Descriptor
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Descriptor
3,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Descriptor
4,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,S-Activity
5,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
6,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Activity
1,international,_,International,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Age
3,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
4,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,B-Age
5,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,international,_,International,_,NNP,0,_,_,_,_,_,_,_,B-Descriptor
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Descriptor
3,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Descriptor
4,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,S-Activity
5,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
6,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Activity
1,international,_,International,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Age
3,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
4,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,B-Age
5,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,international,_,International,_,NNP,0,_,_,_,_,_,_,_,B-Descriptor
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Descriptor
3,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Descriptor
4,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,S-Activity
5,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
6,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Activity
1,international,_,International,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Age
3,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
4,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,B-Age
5,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,international,_,International,_,NNP,0,_,_,_,_,_,_,_,B-Descriptor
