ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
