ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,robust,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
2,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
3,segmentation,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
4,:,_,:,_,:,1,_,_,_,_,_,_,_,O
5,application,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
6,to,_,to,_,TO,1,_,_,_,_,_,to.prep,Goal,O
7,traumatic,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
8,brain,_,brain,_,NN,1,_,_,_,_,_,_,_,O
9,injury,_,injury,_,NN,1,_,_,_,_,_,_,_,O
10,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,we,_,We,_,PRP,2,_,_,_,_,_,_,_,O
2,propose,_,propose,_,VBP,2,_,_,_,_,_,_,_,O
3,a,_,a,_,DT,2,_,_,_,_,_,_,_,O
4,framework,_,framework,_,NN,2,_,_,_,_,_,_,_,O
5,for,_,for,_,IN,2,_,_,_,_,_,for.prep,Taking_sides,S-Degree
6,the,_,the,_,DT,2,_,_,_,_,_,_,_,S-Action
7,robust,_,robust,_,JJ,2,_,_,_,_,_,_,_,B-Manner
8,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Manner
9,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
10,segmentation,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
11,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Manner
12,magnetic,_,magnetic,_,JJ,2,_,_,_,_,_,_,_,I-Manner
13,resonance,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
14,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Manner
15,mr,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
16,),_,),_,),2,_,_,_,_,_,_,_,I-Manner
17,brain,_,brain,_,NN,2,_,_,_,_,_,_,_,I-Manner
18,images,_,image,_,NNS,2,_,_,_,_,_,_,_,I-Manner
19,called,_,call,_,VBN,2,_,_,_,_,_,_,_,I-Manner
20,``,_,``,_,``,2,_,_,_,_,_,_,_,I-Manner
21,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
22,propagation,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
23,with,_,with,_,IN,2,_,_,_,_,_,_,_,I-Manner
24,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
25,based,_,base,_,VBN,2,_,_,_,_,_,_,_,I-Manner
26,refinement,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
27,'',_,'',_,'',2,_,_,_,_,_,_,_,B-Degree
28,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Degree
29,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Degree
30,),_,),_,),2,_,_,_,_,_,_,_,I-Degree
31,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Degree
1,we,_,We,_,PRP,2,_,_,_,_,_,_,_,B-Degree
2,propose,_,propose,_,VBP,2,_,_,_,_,_,_,_,I-Degree
3,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Degree
4,framework,_,framework,_,NN,2,_,_,_,_,_,_,_,I-Degree
5,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Degree
6,the,_,the,_,DT,2,_,_,_,_,_,_,_,S-Time
7,robust,_,robust,_,JJ,2,_,_,_,_,_,robust.a,Level_of_force_resistance,B-Degree
8,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Degree
9,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Degree
10,segmentation,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Degree
11,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Degree
12,magnetic,_,magnetic,_,JJ,2,_,_,_,_,_,_,_,I-Degree
13,resonance,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Degree
14,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Degree
15,mr,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Degree
16,),_,),_,),2,_,_,_,_,_,_,_,I-Degree
17,brain,_,brain,_,NN,2,_,_,_,_,_,_,_,I-Degree
18,images,_,image,_,NNS,2,_,_,_,_,_,_,_,I-Degree
19,called,_,call,_,VBN,2,_,_,_,_,_,_,_,I-Degree
20,``,_,``,_,``,2,_,_,_,_,_,_,_,I-Degree
21,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Degree
22,propagation,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Degree
23,with,_,with,_,IN,2,_,_,_,_,_,_,_,I-Degree
24,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Degree
25,based,_,base,_,VBN,2,_,_,_,_,_,_,_,I-Degree
26,refinement,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Degree
27,'',_,'',_,'',2,_,_,_,_,_,_,_,I-Degree
28,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Degree
29,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Degree
30,),_,),_,),2,_,_,_,_,_,_,_,I-Degree
31,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Degree
1,we,_,We,_,PRP,2,_,_,_,_,_,_,_,B-Age
2,propose,_,propose,_,VBP,2,_,_,_,_,_,_,_,I-Age
3,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Age
4,framework,_,framework,_,NN,2,_,_,_,_,_,_,_,I-Age
5,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Age
6,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Age
7,robust,_,robust,_,JJ,2,_,_,_,_,_,_,_,I-Age
8,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Age
9,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Age
10,segmentation,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Age
11,of,_,of,_,IN,2,_,_,_,_,_,of.prep,Age,S-Degree
12,magnetic,_,magnetic,_,JJ,2,_,_,_,_,_,_,_,B-Age
13,resonance,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Age
14,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Age
15,mr,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Age
16,),_,),_,),2,_,_,_,_,_,_,_,I-Age
17,brain,_,brain,_,NN,2,_,_,_,_,_,_,_,I-Age
18,images,_,image,_,NNS,2,_,_,_,_,_,_,_,I-Age
19,called,_,call,_,VBN,2,_,_,_,_,_,_,_,I-Age
20,``,_,``,_,``,2,_,_,_,_,_,_,_,I-Age
21,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Age
22,propagation,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Age
23,with,_,with,_,IN,2,_,_,_,_,_,_,_,I-Age
24,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Age
25,based,_,base,_,VBN,2,_,_,_,_,_,_,_,I-Age
26,refinement,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Age
27,'',_,'',_,'',2,_,_,_,_,_,_,_,I-Age
28,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Age
29,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Age
30,),_,),_,),2,_,_,_,_,_,_,_,I-Age
31,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Age
1,we,_,We,_,PRP,2,_,_,_,_,_,_,_,B-Part_prop
2,propose,_,propose,_,VBP,2,_,_,_,_,_,_,_,I-Part_prop
