ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,potential,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Time
2,policies,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Time
3,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Time
4,laws,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
5,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Time
6,prohibit,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
7,weight,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
8,discrimination,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
9,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Time
10,public,_,Public,_,JJ,1,_,_,_,_,_,public.a,Secrecy_status,B-Degree
11,views,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Degree
12,from,_,from,_,IN,1,_,_,_,_,_,_,_,I-Degree
13,4,_,4,_,CD,1,_,_,_,_,_,_,_,I-Degree
14,countries,_,Countries,_,NNS,1,_,_,_,_,_,_,_,I-Degree
15,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,potential,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Manner
2,policies,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Manner
3,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Manner
4,laws,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
5,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Manner
6,prohibit,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
7,weight,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
8,discrimination,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
9,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Manner
10,public,_,Public,_,JJ,1,_,_,_,_,_,_,_,I-Manner
11,views,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Manner
12,from,_,from,_,IN,1,_,_,_,_,_,from.prep,Evidence,S-Degree
13,4,_,4,_,CD,1,_,_,_,_,_,_,_,B-Manner
14,countries,_,Countries,_,NNS,1,_,_,_,_,_,_,_,I-Manner
15,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,unk,_,UNK,_,NN,2,_,_,_,_,_,_,_,S-Criteria
2,viewed,_,view,_,VBD,2,_,_,_,_,_,view.v,Categorization,O
3,as,_,a,_,IN,2,_,_,_,_,_,_,_,B-Manner
4,overweight,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
5,or,_,or,_,CC,2,_,_,_,_,_,_,_,I-Manner
6,obese,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
7,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Manner
8,vulnerable,_,vulnerable,_,JJ,2,_,_,_,_,_,_,_,I-Manner
9,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Manner
10,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
11,discrimination,_,discrimination,_,NN,2,_,_,_,_,_,_,_,I-Manner
12,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Manner
13,creating,_,create,_,VBG,2,_,_,_,_,_,_,_,I-Manner
14,inequities,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Manner
15,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Manner
16,adverse,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
17,health,_,health,_,NN,2,_,_,_,_,_,_,_,I-Manner
18,outcomes,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Manner
19,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Manner
1,unk,_,UNK,_,NN,2,_,_,_,_,_,_,_,B-Degree
2,viewed,_,view,_,VBD,2,_,_,_,_,_,_,_,I-Degree
3,as,_,a,_,IN,2,_,_,_,_,_,_,_,I-Degree
4,overweight,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Degree
5,or,_,or,_,CC,2,_,_,_,_,_,_,_,I-Degree
6,obese,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Degree
7,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Degree
8,vulnerable,_,vulnerable,_,JJ,2,_,_,_,_,_,vulnerable.a,Being_at_risk,I-Degree
9,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Degree
10,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Degree
11,discrimination,_,discrimination,_,NN,2,_,_,_,_,_,_,_,I-Degree
12,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Degree
13,creating,_,create,_,VBG,2,_,_,_,_,_,_,_,I-Degree
14,inequities,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Degree
15,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Degree
16,adverse,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Degree
17,health,_,health,_,NN,2,_,_,_,_,_,_,_,I-Degree
18,outcomes,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Degree
19,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Degree
1,unk,_,UNK,_,NN,2,_,_,_,_,_,_,_,B-Time
2,viewed,_,view,_,VBD,2,_,_,_,_,_,_,_,I-Time
3,as,_,a,_,IN,2,_,_,_,_,_,_,_,I-Time
4,overweight,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Time
5,or,_,or,_,CC,2,_,_,_,_,_,_,_,I-Time
6,obese,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Time
7,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Time
8,vulnerable,_,vulnerable,_,JJ,2,_,_,_,_,_,_,_,I-Time
9,to,_,to,_,TO,2,_,_,_,_,_,to.prep,Goal,I-Time
10,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Time
11,discrimination,_,discrimination,_,NN,2,_,_,_,_,_,_,_,I-Time
12,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Time
13,creating,_,create,_,VBG,2,_,_,_,_,_,_,_,I-Time
14,inequities,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Time
15,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Time
16,adverse,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Time
17,health,_,health,_,NN,2,_,_,_,_,_,_,_,I-Time
18,outcomes,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Time
19,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Time
1,unk,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
2,viewed,_,view,_,VBD,2,_,_,_,_,_,_,_,O
3,as,_,a,_,IN,2,_,_,_,_,_,_,_,O
4,overweight,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
5,or,_,or,_,CC,2,_,_,_,_,_,_,_,O
6,obese,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
7,are,_,be,_,VBP,2,_,_,_,_,_,_,_,B-Phenomena
8,vulnerable,_,vulnerable,_,JJ,2,_,_,_,_,_,_,_,I-Phenomena
9,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Phenomena
10,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,S-Circumstances
11,discrimination,_,discrimination,_,NN,2,_,_,_,_,_,discrimination.n,Differentiation,B-Degree
12,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Degree
13,creating,_,create,_,VBG,2,_,_,_,_,_,_,_,I-Degree
14,inequities,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Degree
15,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Degree
16,adverse,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Degree
17,health,_,health,_,NN,2,_,_,_,_,_,_,_,I-Degree
18,outcomes,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Degree
19,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Degree
1,unk,_,UNK,_,NN,2,_,_,_,_,_,_,_,B-Degree
2,viewed,_,view,_,VBD,2,_,_,_,_,_,_,_,I-Degree
3,as,_,a,_,IN,2,_,_,_,_,_,_,_,I-Degree
4,overweight,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Degree
5,or,_,or,_,CC,2,_,_,_,_,_,_,_,I-Degree
6,obese,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Degree
7,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Degree
8,vulnerable,_,vulnerable,_,JJ,2,_,_,_,_,_,_,_,I-Degree
9,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Degree
10,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Degree
11,discrimination,_,discrimination,_,NN,2,_,_,_,_,_,_,_,I-Degree
12,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Degree
13,creating,_,create,_,VBG,2,_,_,_,_,_,_,_,I-Degree
14,inequities,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Degree
15,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Degree
16,adverse,_,UNK,_,JJ,2,_,_,_,_,_,_,_,S-Place
17,health,_,health,_,NN,2,_,_,_,_,_,health.n,Medical_conditions,S-Degree
18,outcomes,_,UNK,_,NNS,2,_,_,_,_,_,_,_,B-Patient
19,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Patient
1,given,_,Given,_,VBN,3,_,_,_,_,_,_,_,B-Value
2,the,_,the,_,DT,3,_,_,_,_,_,_,_,I-Value
3,high,_,high,_,JJ,3,_,_,_,_,_,high.a,Extreme_value,S-Degree
4,rates,_,rate,_,NNS,3,_,_,_,_,_,_,_,B-Depictive
5,of,_,of,_,IN,3,_,_,_,_,_,_,_,I-Depictive
6,obesity,_,obesity,_,NN,3,_,_,_,_,_,_,_,I-Depictive
7,recorded,_,record,_,VBN,3,_,_,_,_,_,_,_,I-Depictive
8,globally,_,UNK,_,RB,3,_,_,_,_,_,_,_,I-Depictive
9,",",_,",",_,",",3,_,_,_,_,_,_,_,I-Depictive
10,studies,_,study,_,NNS,3,_,_,_,_,_,_,_,I-Depictive
11,documenting,_,document,_,VBG,3,_,_,_,_,_,_,_,I-Depictive
12,weight,_,weight,_,JJ,3,_,_,_,_,_,_,_,I-Depictive
13,discrimination,_,discrimination,_,NN,3,_,_,_,_,_,_,_,I-Depictive
14,in,_,in,_,IN,3,_,_,_,_,_,_,_,I-Depictive
15,multiple,_,multiple,_,JJ,3,_,_,_,_,_,_,_,I-Depictive
16,countries,_,country,_,NNS,3,_,_,_,_,_,_,_,I-Depictive
17,",",_,",",_,",",3,_,_,_,_,_,_,_,I-Depictive
