ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
