ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,traditional,_,Traditional,_,JJ,2,_,_,_,_,_,_,_,O
2,studies,_,study,_,NNS,2,_,_,_,_,_,_,_,O
3,that,_,that,_,WDT,2,_,_,_,_,_,that.adv,Degree,O
4,combine,_,combine,_,VBP,2,_,_,_,_,_,_,_,O
5,spintronics,_,UNK,_,NNS,2,_,_,_,_,_,_,_,O
6,and,_,and,_,CC,2,_,_,_,_,_,_,_,O
7,superconductivity,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
8,have,_,have,_,VBP,2,_,_,_,_,_,_,_,O
9,mainly,_,mainly,_,RB,2,_,_,_,_,_,_,_,O
10,focused,_,focus,_,VBN,2,_,_,_,_,_,_,_,O
11,on,_,on,_,IN,2,_,_,_,_,_,_,_,O
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
13,injection,_,injection,_,NN,2,_,_,_,_,_,_,_,O
14,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
15,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
16,quasiparticles,_,UNK,_,NNS,2,_,_,_,_,_,_,_,O
17,into,_,into,_,IN,2,_,_,_,_,_,_,_,O
18,superconducting,_,UNK,_,VBG,2,_,_,_,_,_,_,_,O
19,materials,_,material,_,NNS,2,_,_,_,_,_,_,_,O
20,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,traditional,_,Traditional,_,JJ,2,_,_,_,_,_,_,_,O
2,studies,_,study,_,NNS,2,_,_,_,_,_,_,_,O
3,that,_,that,_,WDT,2,_,_,_,_,_,_,_,O
4,combine,_,combine,_,VBP,2,_,_,_,_,_,combine.v,Cause_to_amalgamate,S-Degree
5,spintronics,_,UNK,_,NNS,2,_,_,_,_,_,_,_,B-Manner
6,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Manner
7,superconductivity,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
8,have,_,have,_,VBP,2,_,_,_,_,_,_,_,I-Manner
9,mainly,_,mainly,_,RB,2,_,_,_,_,_,_,_,I-Manner
10,focused,_,focus,_,VBN,2,_,_,_,_,_,_,_,I-Manner
11,on,_,on,_,IN,2,_,_,_,_,_,_,_,I-Manner
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Manner
13,injection,_,injection,_,NN,2,_,_,_,_,_,_,_,I-Manner
14,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Manner
15,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
16,quasiparticles,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Manner
17,into,_,into,_,IN,2,_,_,_,_,_,_,_,I-Manner
18,superconducting,_,UNK,_,VBG,2,_,_,_,_,_,_,_,I-Manner
19,materials,_,material,_,NNS,2,_,_,_,_,_,_,_,I-Manner
20,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Manner
1,traditional,_,Traditional,_,JJ,2,_,_,_,_,_,_,_,B-Time
2,studies,_,study,_,NNS,2,_,_,_,_,_,_,_,I-Time
3,that,_,that,_,WDT,2,_,_,_,_,_,_,_,I-Time
4,combine,_,combine,_,VBP,2,_,_,_,_,_,_,_,I-Time
5,spintronics,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Time
6,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Time
7,superconductivity,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Time
