ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,quantum,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Proposition
2,field,_,field,_,NN,1,_,_,_,_,_,_,_,I-Proposition
3,theory,_,theory,_,NN,1,_,_,_,_,_,_,_,I-Proposition
4,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Proposition
5,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Proposition
6,magnetic,_,magnetic,_,JJ,1,_,_,_,_,_,_,_,I-Proposition
7,field,_,field,_,NN,1,_,_,_,_,_,_,_,I-Proposition
8,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Proposition
9,from,_,From,_,IN,1,_,_,_,_,_,from.prep,Evidence,S-Degree
10,quantum,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Manner
11,chromodynamics,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Manner
12,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Manner
13,graphene,_,UNK,_,VB,1,_,_,_,_,_,_,_,I-Manner
14,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Manner
15,dirac,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
16,unk,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Manner
17,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,quantum,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Time
2,field,_,field,_,NN,1,_,_,_,_,_,_,_,I-Time
3,theory,_,theory,_,NN,1,_,_,_,_,_,_,_,I-Time
4,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Time
5,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Time
6,magnetic,_,magnetic,_,JJ,1,_,_,_,_,_,_,_,I-Time
7,field,_,field,_,NN,1,_,_,_,_,_,_,_,I-Time
8,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Time
9,from,_,From,_,IN,1,_,_,_,_,_,_,_,I-Time
10,quantum,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Time
11,chromodynamics,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Time
12,to,_,to,_,TO,1,_,_,_,_,_,to.prep,Goal,I-Time
13,graphene,_,UNK,_,VB,1,_,_,_,_,_,_,_,I-Time
14,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Time
15,dirac,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
16,unk,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Time
17,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Time
1,a,_,A,_,DT,2,_,_,_,_,_,_,_,S-Use
2,range,_,range,_,NN,2,_,_,_,_,_,range.n,Gizmo,O
3,of,_,of,_,IN,2,_,_,_,_,_,_,_,B-Use
4,quantum,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Use
5,field,_,field,_,NN,2,_,_,_,_,_,_,_,I-Use
6,theoretical,_,theoretical,_,JJ,2,_,_,_,_,_,_,_,I-Use
7,phenomena,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Use
8,driven,_,drive,_,VBN,2,_,_,_,_,_,_,_,I-Use
9,by,_,by,_,IN,2,_,_,_,_,_,_,_,I-Use
10,external,_,external,_,JJ,2,_,_,_,_,_,_,_,I-Use
11,magnetic,_,magnetic,_,JJ,2,_,_,_,_,_,_,_,I-Use
12,fields,_,field,_,NNS,2,_,_,_,_,_,_,_,I-Use
13,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Use
14,their,_,their,_,PRP$,2,_,_,_,_,_,_,_,I-Use
15,applications,_,application,_,NNS,2,_,_,_,_,_,_,_,I-Use
16,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Use
17,relativistic,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Use
18,systems,_,system,_,NNS,2,_,_,_,_,_,_,_,I-Use
19,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Use
20,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Use
21,condensed,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Use
22,matter,_,matter,_,NN,2,_,_,_,_,_,_,_,I-Use
23,ones,_,one,_,NNS,2,_,_,_,_,_,_,_,I-Use
24,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Use
25,such,_,such,_,JJ,2,_,_,_,_,_,_,_,I-Use
26,as,_,a,_,IN,2,_,_,_,_,_,_,_,I-Use
27,graphene,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Use
28,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Use
29,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Use
30,unk,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Use
31,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Use
32,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Use
33,reviewed,_,review,_,VBN,2,_,_,_,_,_,_,_,I-Use
34,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Use
1,a,_,A,_,DT,2,_,_,_,_,_,_,_,B-Cotheme
2,range,_,range,_,NN,2,_,_,_,_,_,_,_,I-Cotheme
3,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Cotheme
4,quantum,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Cotheme
5,field,_,field,_,NN,2,_,_,_,_,_,_,_,I-Cotheme
6,theoretical,_,theoretical,_,JJ,2,_,_,_,_,_,_,_,I-Cotheme
7,phenomena,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Cotheme
8,driven,_,drive,_,VBN,2,_,_,_,_,_,drive.v,Self_motion,O
9,by,_,by,_,IN,2,_,_,_,_,_,_,_,B-Manner
10,external,_,external,_,JJ,2,_,_,_,_,_,_,_,I-Manner
11,magnetic,_,magnetic,_,JJ,2,_,_,_,_,_,_,_,I-Manner
12,fields,_,field,_,NNS,2,_,_,_,_,_,_,_,I-Manner
13,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Manner
14,their,_,their,_,PRP$,2,_,_,_,_,_,_,_,I-Manner
15,applications,_,application,_,NNS,2,_,_,_,_,_,_,_,I-Manner
16,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Manner
17,relativistic,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
18,systems,_,system,_,NNS,2,_,_,_,_,_,_,_,I-Manner
19,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Manner
20,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
21,condensed,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
22,matter,_,matter,_,NN,2,_,_,_,_,_,_,_,I-Manner
23,ones,_,one,_,NNS,2,_,_,_,_,_,_,_,I-Manner
24,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Manner
25,such,_,such,_,JJ,2,_,_,_,_,_,_,_,I-Manner
26,as,_,a,_,IN,2,_,_,_,_,_,_,_,I-Manner
27,graphene,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
28,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Manner
29,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
30,unk,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Manner
31,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Manner
32,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Manner
33,reviewed,_,review,_,VBN,2,_,_,_,_,_,_,_,I-Manner
34,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Manner
1,a,_,A,_,DT,2,_,_,_,_,_,_,_,B-Value
2,range,_,range,_,NN,2,_,_,_,_,_,_,_,I-Value
3,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Value
4,quantum,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Value
5,field,_,field,_,NN,2,_,_,_,_,_,_,_,I-Value
6,theoretical,_,theoretical,_,JJ,2,_,_,_,_,_,_,_,I-Value
7,phenomena,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Value
8,driven,_,drive,_,VBN,2,_,_,_,_,_,_,_,I-Value
9,by,_,by,_,IN,2,_,_,_,_,_,_,_,I-Value
10,external,_,external,_,JJ,2,_,_,_,_,_,_,_,I-Value
11,magnetic,_,magnetic,_,JJ,2,_,_,_,_,_,_,_,I-Value
12,fields,_,field,_,NNS,2,_,_,_,_,_,_,_,I-Value
13,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Value
14,their,_,their,_,PRP$,2,_,_,_,_,_,_,_,I-Value
15,applications,_,application,_,NNS,2,_,_,_,_,_,application.n,Purpose,O
16,in,_,in,_,IN,2,_,_,_,_,_,_,_,B-Agent
17,relativistic,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Agent
18,systems,_,system,_,NNS,2,_,_,_,_,_,_,_,I-Agent
19,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Agent
20,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Agent
21,condensed,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Agent
22,matter,_,matter,_,NN,2,_,_,_,_,_,_,_,I-Agent
23,ones,_,one,_,NNS,2,_,_,_,_,_,_,_,I-Agent
24,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Agent
25,such,_,such,_,JJ,2,_,_,_,_,_,_,_,I-Agent
26,as,_,a,_,IN,2,_,_,_,_,_,_,_,I-Agent
27,graphene,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Agent
28,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Agent
29,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Agent
30,unk,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Agent
31,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Agent
32,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Agent
33,reviewed,_,review,_,VBN,2,_,_,_,_,_,_,_,I-Agent
34,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Agent
1,we,_,We,_,PRP,3,_,_,_,_,_,_,_,B-Age
2,start,_,start,_,VBP,3,_,_,_,_,_,_,_,I-Age
3,by,_,by,_,IN,3,_,_,_,_,_,_,_,I-Age
