ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,introduction,_,Introduction,_,NN,2,_,_,_,_,_,_,_,B-Trajector
2,threats,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Trajector
3,to,_,to,_,TO,2,_,_,_,_,_,to.prep,Goal,O
4,quality,_,quality,_,NN,2,_,_,_,_,_,_,_,B-Trajector
5,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Trajector
6,patient,_,patient,_,JJ,2,_,_,_,_,_,_,_,I-Trajector
7,safety,_,safety,_,NN,2,_,_,_,_,_,_,_,I-Trajector
8,may,_,may,_,MD,2,_,_,_,_,_,_,_,I-Trajector
9,exist,_,exist,_,VB,2,_,_,_,_,_,_,_,I-Trajector
10,when,_,when,_,WRB,2,_,_,_,_,_,_,_,I-Trajector
11,necessary,_,necessary,_,JJ,2,_,_,_,_,_,_,_,I-Trajector
12,nursing,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Trajector
13,care,_,care,_,NN,2,_,_,_,_,_,_,_,I-Trajector
14,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Trajector
15,omitted,_,omit,_,VBN,2,_,_,_,_,_,_,_,I-Trajector
16,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Trajector
1,introduction,_,Introduction,_,NN,2,_,_,_,_,_,_,_,O
2,threats,_,UNK,_,NNS,2,_,_,_,_,_,_,_,O
3,to,_,to,_,TO,2,_,_,_,_,_,_,_,O
4,quality,_,quality,_,NN,2,_,_,_,_,_,_,_,O
5,and,_,and,_,CC,2,_,_,_,_,_,_,_,O
6,patient,_,patient,_,JJ,2,_,_,_,_,_,patient.a,Rashness,S-Degree
7,safety,_,safety,_,NN,2,_,_,_,_,_,_,_,O
8,may,_,may,_,MD,2,_,_,_,_,_,_,_,O
9,exist,_,exist,_,VB,2,_,_,_,_,_,_,_,O
10,when,_,when,_,WRB,2,_,_,_,_,_,_,_,O
11,necessary,_,necessary,_,JJ,2,_,_,_,_,_,_,_,O
12,nursing,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
13,care,_,care,_,NN,2,_,_,_,_,_,_,_,O
14,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,O
