ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,potential,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Degree
2,benefits,_,benefit,_,NNS,1,_,_,_,_,_,benefit.n,Social_event,I-Degree
3,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Degree
4,climate,_,climate,_,NN,1,_,_,_,_,_,_,_,I-Degree
5,change,_,change,_,NN,1,_,_,_,_,_,_,_,I-Degree
6,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Degree
7,crop,_,crop,_,NN,1,_,_,_,_,_,_,_,I-Degree
8,productivity,_,productivity,_,NN,1,_,_,_,_,_,_,_,I-Degree
9,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Degree
10,china,_,China,_,NNP,1,_,_,_,_,_,_,_,I-Degree
11,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,potential,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Age
2,benefits,_,benefit,_,NNS,1,_,_,_,_,_,_,_,I-Age
3,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
4,climate,_,climate,_,NN,1,_,_,_,_,_,_,_,B-Age
5,change,_,change,_,NN,1,_,_,_,_,_,_,_,I-Age
6,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Age
7,crop,_,crop,_,NN,1,_,_,_,_,_,_,_,I-Age
8,productivity,_,productivity,_,NN,1,_,_,_,_,_,_,_,I-Age
9,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Age
10,china,_,China,_,NNP,1,_,_,_,_,_,_,_,I-Age
11,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Age
1,potential,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Specification
2,benefits,_,benefit,_,NNS,1,_,_,_,_,_,_,_,I-Specification
3,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Specification
4,climate,_,climate,_,NN,1,_,_,_,_,_,climate.n,Weather,O
5,change,_,change,_,NN,1,_,_,_,_,_,_,_,B-Specification
6,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Specification
7,crop,_,crop,_,NN,1,_,_,_,_,_,_,_,I-Specification
8,productivity,_,productivity,_,NN,1,_,_,_,_,_,_,_,I-Specification
9,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Specification
10,china,_,China,_,NNP,1,_,_,_,_,_,_,_,I-Specification
11,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Specification
1,potential,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Exchanger_2
2,benefits,_,benefit,_,NNS,1,_,_,_,_,_,_,_,I-Exchanger_2
3,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Exchanger_2
4,climate,_,climate,_,NN,1,_,_,_,_,_,_,_,I-Exchanger_2
5,change,_,change,_,NN,1,_,_,_,_,_,change.n,Exchange,I-Exchanger_2
6,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Exchanger_2
7,crop,_,crop,_,NN,1,_,_,_,_,_,_,_,I-Exchanger_2
8,productivity,_,productivity,_,NN,1,_,_,_,_,_,_,_,I-Exchanger_2
9,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Exchanger_2
10,china,_,China,_,NNP,1,_,_,_,_,_,_,_,I-Exchanger_2
11,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Exchanger_2
1,potential,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
2,benefits,_,benefit,_,NNS,1,_,_,_,_,_,_,_,O
3,of,_,of,_,IN,1,_,_,_,_,_,_,_,O
4,climate,_,climate,_,NN,1,_,_,_,_,_,_,_,O
5,change,_,change,_,NN,1,_,_,_,_,_,_,_,S-Issue
6,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,B-Degree
7,crop,_,crop,_,NN,1,_,_,_,_,_,_,_,I-Degree
8,productivity,_,productivity,_,NN,1,_,_,_,_,_,_,_,I-Degree
9,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Degree
10,china,_,China,_,NNP,1,_,_,_,_,_,_,_,I-Degree
11,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,potential,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Aggregate_property
2,benefits,_,benefit,_,NNS,1,_,_,_,_,_,_,_,I-Aggregate_property
3,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Aggregate_property
4,climate,_,climate,_,NN,1,_,_,_,_,_,_,_,I-Aggregate_property
5,change,_,change,_,NN,1,_,_,_,_,_,_,_,I-Aggregate_property
6,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Aggregate_property
7,crop,_,crop,_,NN,1,_,_,_,_,_,crop.n,Aggregate,O
8,productivity,_,productivity,_,NN,1,_,_,_,_,_,_,_,O
9,in,_,in,_,IN,1,_,_,_,_,_,_,_,O
10,china,_,China,_,NNP,1,_,_,_,_,_,_,_,O
11,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,future,_,Future,_,JJ,1,_,_,_,_,_,future.a,Temporal_collocation,S-Trajector_entity
2,deforestation,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Trajector_event
3,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Trajector_event
4,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Trajector_event
5,amazon,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Trajector_event
6,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Trajector_event
7,consequences,_,consequence,_,NNS,1,_,_,_,_,_,_,_,I-Trajector_event
8,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Trajector_event
9,south,_,South,_,JJ,1,_,_,_,_,_,_,_,I-Trajector_event
10,american,_,American,_,JJ,1,_,_,_,_,_,_,_,I-Trajector_event
11,climate,_,climate,_,NN,1,_,_,_,_,_,_,_,B-Trajector_period
12,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Trajector_period
1,future,_,Future,_,JJ,1,_,_,_,_,_,_,_,B-Effect
2,deforestation,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Effect
3,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Effect
4,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Effect
5,amazon,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Effect
6,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Effect
7,consequences,_,consequence,_,NNS,1,_,_,_,_,_,consequence.n,Causation,O
8,for,_,for,_,IN,1,_,_,_,_,_,_,_,B-Effect
9,south,_,South,_,JJ,1,_,_,_,_,_,_,_,I-Effect
10,american,_,American,_,JJ,1,_,_,_,_,_,_,_,I-Effect
11,climate,_,climate,_,NN,1,_,_,_,_,_,_,_,I-Effect
12,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Effect
1,future,_,Future,_,JJ,1,_,_,_,_,_,_,_,O
2,deforestation,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
3,in,_,in,_,IN,1,_,_,_,_,_,_,_,O
4,the,_,the,_,DT,1,_,_,_,_,_,_,_,O
5,amazon,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
6,and,_,and,_,CC,1,_,_,_,_,_,_,_,O
7,consequences,_,consequence,_,NNS,1,_,_,_,_,_,_,_,O
8,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
9,south,_,South,_,JJ,1,_,_,_,_,_,_,_,B-Cognizer
10,american,_,American,_,JJ,1,_,_,_,_,_,_,_,I-Cognizer
11,climate,_,climate,_,NN,1,_,_,_,_,_,_,_,B-Degree
12,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,future,_,Future,_,JJ,1,_,_,_,_,_,_,_,O
2,deforestation,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
3,in,_,in,_,IN,1,_,_,_,_,_,_,_,O
4,the,_,the,_,DT,1,_,_,_,_,_,_,_,O
5,amazon,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
6,and,_,and,_,CC,1,_,_,_,_,_,_,_,O
7,consequences,_,consequence,_,NNS,1,_,_,_,_,_,_,_,O
8,for,_,for,_,IN,1,_,_,_,_,_,_,_,O
9,south,_,South,_,JJ,1,_,_,_,_,_,south.a,Direction,O
10,american,_,American,_,JJ,1,_,_,_,_,_,_,_,O
11,climate,_,climate,_,NN,1,_,_,_,_,_,_,_,O
12,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,future,_,Future,_,JJ,1,_,_,_,_,_,_,_,O
2,deforestation,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
3,in,_,in,_,IN,1,_,_,_,_,_,_,_,O
4,the,_,the,_,DT,1,_,_,_,_,_,_,_,O
5,amazon,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
