ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,academy,_,Academy,_,NNP,0,_,_,_,_,_,_,_,S-Time
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,B-Degree
3,management,_,management,_,NN,0,_,_,_,_,_,management.n,Being_in_control,I-Degree
4,review,_,review,_,NN,0,_,_,_,_,_,_,_,I-Degree
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Degree
1,an,_,An,_,DT,2,_,_,_,_,_,_,_,B-Age
2,unexplored,_,unexplored,_,JJ,2,_,_,_,_,_,_,_,I-Age
3,paradox,_,paradox,_,NN,2,_,_,_,_,_,_,_,O
4,of,_,of,_,IN,2,_,_,_,_,_,of.prep,Age,S-Degree
5,organizational,_,organizational,_,JJ,2,_,_,_,_,_,_,_,B-Age
6,identification,_,identification,_,NN,2,_,_,_,_,_,_,_,I-Age
7,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Age
8,its,_,it,_,PRP$,2,_,_,_,_,_,_,_,I-Age
9,possible,_,possible,_,JJ,2,_,_,_,_,_,_,_,I-Age
10,association,_,association,_,NN,2,_,_,_,_,_,_,_,I-Age
11,with,_,with,_,IN,2,_,_,_,_,_,_,_,I-Age
12,behaviors,_,behavior,_,NNS,2,_,_,_,_,_,_,_,I-Age
13,that,_,that,_,WDT,2,_,_,_,_,_,_,_,I-Age
14,exploit,_,exploit,_,VBP,2,_,_,_,_,_,_,_,I-Age
15,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Age
16,organization,_,organization,_,NN,2,_,_,_,_,_,_,_,I-Age
17,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Age
18,personal,_,personal,_,JJ,2,_,_,_,_,_,_,_,I-Age
19,benefit,_,benefit,_,NN,2,_,_,_,_,_,_,_,I-Age
20,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Age
1,an,_,An,_,DT,2,_,_,_,_,_,_,_,B-Descriptor
2,unexplored,_,unexplored,_,JJ,2,_,_,_,_,_,_,_,I-Descriptor
3,paradox,_,paradox,_,NN,2,_,_,_,_,_,_,_,I-Descriptor
4,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Descriptor
5,organizational,_,organizational,_,JJ,2,_,_,_,_,_,_,_,I-Descriptor
6,identification,_,identification,_,NN,2,_,_,_,_,_,_,_,I-Descriptor
7,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Descriptor
8,its,_,it,_,PRP$,2,_,_,_,_,_,_,_,I-Descriptor
9,possible,_,possible,_,JJ,2,_,_,_,_,_,_,_,I-Descriptor
10,association,_,association,_,NN,2,_,_,_,_,_,association.n,Organization,O
11,with,_,with,_,IN,2,_,_,_,_,_,_,_,B-Name
12,behaviors,_,behavior,_,NNS,2,_,_,_,_,_,_,_,I-Name
13,that,_,that,_,WDT,2,_,_,_,_,_,_,_,I-Name
14,exploit,_,exploit,_,VBP,2,_,_,_,_,_,_,_,I-Name
15,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Name
16,organization,_,organization,_,NN,2,_,_,_,_,_,_,_,I-Name
17,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Name
18,personal,_,personal,_,JJ,2,_,_,_,_,_,_,_,I-Name
19,benefit,_,benefit,_,NN,2,_,_,_,_,_,_,_,I-Name
20,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Name
1,an,_,An,_,DT,2,_,_,_,_,_,_,_,O
2,unexplored,_,unexplored,_,JJ,2,_,_,_,_,_,_,_,O
3,paradox,_,paradox,_,NN,2,_,_,_,_,_,_,_,O
4,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
5,organizational,_,organizational,_,JJ,2,_,_,_,_,_,_,_,O
6,identification,_,identification,_,NN,2,_,_,_,_,_,_,_,O
7,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,O
8,its,_,it,_,PRP$,2,_,_,_,_,_,_,_,O
9,possible,_,possible,_,JJ,2,_,_,_,_,_,_,_,O
10,association,_,association,_,NN,2,_,_,_,_,_,_,_,O
11,with,_,with,_,IN,2,_,_,_,_,_,with.prep,Accompaniment,O
12,behaviors,_,behavior,_,NNS,2,_,_,_,_,_,_,_,O
13,that,_,that,_,WDT,2,_,_,_,_,_,_,_,O
14,exploit,_,exploit,_,VBP,2,_,_,_,_,_,_,_,O
15,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
16,organization,_,organization,_,NN,2,_,_,_,_,_,_,_,O
17,for,_,for,_,IN,2,_,_,_,_,_,_,_,O
18,personal,_,personal,_,JJ,2,_,_,_,_,_,_,_,O
19,benefit,_,benefit,_,NN,2,_,_,_,_,_,_,_,O
20,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,an,_,An,_,DT,2,_,_,_,_,_,_,_,B-Time
2,unexplored,_,unexplored,_,JJ,2,_,_,_,_,_,_,_,I-Time
3,paradox,_,paradox,_,NN,2,_,_,_,_,_,_,_,I-Time
4,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Time
5,organizational,_,organizational,_,JJ,2,_,_,_,_,_,_,_,I-Time
6,identification,_,identification,_,NN,2,_,_,_,_,_,_,_,I-Time
7,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Time
8,its,_,it,_,PRP$,2,_,_,_,_,_,_,_,I-Time
9,possible,_,possible,_,JJ,2,_,_,_,_,_,_,_,I-Time
10,association,_,association,_,NN,2,_,_,_,_,_,_,_,I-Time
11,with,_,with,_,IN,2,_,_,_,_,_,_,_,S-Domain
12,behaviors,_,behavior,_,NNS,2,_,_,_,_,_,behavior.n,Conduct,S-Degree
13,that,_,that,_,WDT,2,_,_,_,_,_,_,_,B-Time
14,exploit,_,exploit,_,VBP,2,_,_,_,_,_,_,_,I-Time
15,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Time
