ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,biochar,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Proposition
2,organic,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Proposition
3,fertilizers,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Proposition
4,from,_,from,_,IN,1,_,_,_,_,_,from.prep,Evidence,S-Degree
5,natural,_,natural,_,JJ,1,_,_,_,_,_,_,_,B-Manner
6,resources,_,resource,_,NNS,1,_,_,_,_,_,_,_,I-Manner
7,as,_,a,_,IN,1,_,_,_,_,_,_,_,I-Manner
8,substitute,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Manner
9,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Manner
10,mineral,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Manner
11,fertilizers,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Manner
12,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,biochar,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Time
2,organic,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
3,fertilizers,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Time
4,from,_,from,_,IN,1,_,_,_,_,_,_,_,I-Time
5,natural,_,natural,_,JJ,1,_,_,_,_,_,_,_,I-Time
6,resources,_,resource,_,NNS,1,_,_,_,_,_,_,_,I-Time
7,as,_,a,_,IN,1,_,_,_,_,_,_,_,I-Time
8,substitute,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Time
9,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
10,mineral,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Cognizer
11,fertilizers,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Cognizer
12,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Cognizer
1,unk,_,UNK,_,NNS,2,_,_,_,_,_,_,_,O
2,are,_,be,_,VBP,2,_,_,_,_,_,_,_,O
3,new,_,new,_,JJ,2,_,_,_,_,_,_,_,O
4,",",_,",",_,",",2,_,_,_,_,_,_,_,O
5,carbon-rich,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
6,materials,_,material,_,NNS,2,_,_,_,_,_,_,_,O
7,that,_,that,_,WDT,2,_,_,_,_,_,that.adv,Degree,O
8,could,_,could,_,MD,2,_,_,_,_,_,_,_,O
9,sequester,_,UNK,_,VB,2,_,_,_,_,_,_,_,O
10,carbon,_,carbon,_,NN,2,_,_,_,_,_,_,_,O
11,in,_,in,_,IN,2,_,_,_,_,_,_,_,O
12,soils,_,soil,_,NNS,2,_,_,_,_,_,_,_,O
13,improve,_,improve,_,VBP,2,_,_,_,_,_,_,_,O
14,soil,_,soil,_,NN,2,_,_,_,_,_,_,_,O
15,properties,_,property,_,NNS,2,_,_,_,_,_,_,_,O
16,and,_,and,_,CC,2,_,_,_,_,_,_,_,O
17,agronomic,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
18,performance,_,performance,_,NN,2,_,_,_,_,_,_,_,O
19,",",_,",",_,",",2,_,_,_,_,_,_,_,O
20,inspired,_,inspire,_,VBN,2,_,_,_,_,_,_,_,O
21,by,_,by,_,IN,2,_,_,_,_,_,_,_,O
22,investigations,_,investigation,_,NNS,2,_,_,_,_,_,_,_,O
23,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
24,terra,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
25,preta,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
26,in,_,in,_,IN,2,_,_,_,_,_,_,_,O
27,amazonia,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
28,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,unk,_,UNK,_,NNS,2,_,_,_,_,_,_,_,B-Manner
2,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Manner
3,new,_,new,_,JJ,2,_,_,_,_,_,_,_,I-Manner
4,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Manner
5,carbon-rich,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
6,materials,_,material,_,NNS,2,_,_,_,_,_,_,_,I-Manner
7,that,_,that,_,WDT,2,_,_,_,_,_,_,_,I-Manner
8,could,_,could,_,MD,2,_,_,_,_,_,_,_,I-Manner
9,sequester,_,UNK,_,VB,2,_,_,_,_,_,_,_,I-Manner
10,carbon,_,carbon,_,NN,2,_,_,_,_,_,_,_,I-Manner
11,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Manner
12,soils,_,soil,_,NNS,2,_,_,_,_,_,_,_,I-Manner
13,improve,_,improve,_,VBP,2,_,_,_,_,_,_,_,I-Manner
14,soil,_,soil,_,NN,2,_,_,_,_,_,_,_,I-Manner
15,properties,_,property,_,NNS,2,_,_,_,_,_,property.n,Possession,O
16,and,_,and,_,CC,2,_,_,_,_,_,_,_,B-Manner
17,agronomic,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
18,performance,_,performance,_,NN,2,_,_,_,_,_,_,_,I-Manner
19,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Manner
20,inspired,_,inspire,_,VBN,2,_,_,_,_,_,_,_,I-Manner
21,by,_,by,_,IN,2,_,_,_,_,_,_,_,I-Manner
22,investigations,_,investigation,_,NNS,2,_,_,_,_,_,_,_,I-Manner
23,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Manner
24,terra,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
25,preta,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
26,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Manner
27,amazonia,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
28,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Manner
1,unk,_,UNK,_,NNS,2,_,_,_,_,_,_,_,B-Performance
2,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Performance
3,new,_,new,_,JJ,2,_,_,_,_,_,_,_,I-Performance
4,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Performance
5,carbon-rich,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Performance
6,materials,_,material,_,NNS,2,_,_,_,_,_,_,_,I-Performance
7,that,_,that,_,WDT,2,_,_,_,_,_,_,_,I-Performance
8,could,_,could,_,MD,2,_,_,_,_,_,_,_,I-Performance
9,sequester,_,UNK,_,VB,2,_,_,_,_,_,_,_,I-Performance
10,carbon,_,carbon,_,NN,2,_,_,_,_,_,_,_,I-Performance
11,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Performance
12,soils,_,soil,_,NNS,2,_,_,_,_,_,_,_,I-Performance
13,improve,_,improve,_,VBP,2,_,_,_,_,_,_,_,I-Performance
14,soil,_,soil,_,NN,2,_,_,_,_,_,_,_,I-Performance
15,properties,_,property,_,NNS,2,_,_,_,_,_,_,_,I-Performance
16,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Performance
17,agronomic,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Performance
18,performance,_,performance,_,NN,2,_,_,_,_,_,performance.n,Performing_arts,S-Type
19,",",_,",",_,",",2,_,_,_,_,_,_,_,O
20,inspired,_,inspire,_,VBN,2,_,_,_,_,_,_,_,O
21,by,_,by,_,IN,2,_,_,_,_,_,_,_,O
22,investigations,_,investigation,_,NNS,2,_,_,_,_,_,_,_,O
23,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
24,terra,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
25,preta,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
26,in,_,in,_,IN,2,_,_,_,_,_,_,_,O
27,amazonia,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
28,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,unk,_,UNK,_,NNS,2,_,_,_,_,_,_,_,B-Incident
2,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Incident
3,new,_,new,_,JJ,2,_,_,_,_,_,_,_,I-Incident
4,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Incident
5,carbon-rich,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Incident
6,materials,_,material,_,NNS,2,_,_,_,_,_,_,_,I-Incident
7,that,_,that,_,WDT,2,_,_,_,_,_,_,_,I-Incident
8,could,_,could,_,MD,2,_,_,_,_,_,_,_,I-Incident
9,sequester,_,UNK,_,VB,2,_,_,_,_,_,_,_,I-Incident
10,carbon,_,carbon,_,NN,2,_,_,_,_,_,_,_,I-Incident
11,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Incident
12,soils,_,soil,_,NNS,2,_,_,_,_,_,_,_,I-Incident
13,improve,_,improve,_,VBP,2,_,_,_,_,_,_,_,I-Incident
14,soil,_,soil,_,NN,2,_,_,_,_,_,_,_,I-Incident
15,properties,_,property,_,NNS,2,_,_,_,_,_,_,_,I-Incident
16,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Incident
17,agronomic,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Incident
18,performance,_,performance,_,NN,2,_,_,_,_,_,_,_,I-Incident
19,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Incident
20,inspired,_,inspire,_,VBN,2,_,_,_,_,_,_,_,I-Incident
21,by,_,by,_,IN,2,_,_,_,_,_,_,_,I-Incident
22,investigations,_,investigation,_,NNS,2,_,_,_,_,_,investigation.n,Criminal_investigation,O
23,of,_,of,_,IN,2,_,_,_,_,_,_,_,B-Suspect
24,terra,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Suspect
25,preta,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Suspect
26,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Suspect
27,amazonia,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Suspect
28,.,_,.,_,.,2,_,_,_,_,_,_,_,S-Incident
1,unk,_,UNK,_,NNS,2,_,_,_,_,_,_,_,B-Age
2,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Age
3,new,_,new,_,JJ,2,_,_,_,_,_,_,_,I-Age
4,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Age
5,carbon-rich,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Age
6,materials,_,material,_,NNS,2,_,_,_,_,_,_,_,I-Age
7,that,_,that,_,WDT,2,_,_,_,_,_,_,_,I-Age
8,could,_,could,_,MD,2,_,_,_,_,_,_,_,I-Age
9,sequester,_,UNK,_,VB,2,_,_,_,_,_,_,_,I-Age
10,carbon,_,carbon,_,NN,2,_,_,_,_,_,_,_,I-Age
11,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Age
12,soils,_,soil,_,NNS,2,_,_,_,_,_,_,_,I-Age
13,improve,_,improve,_,VBP,2,_,_,_,_,_,_,_,I-Age
14,soil,_,soil,_,NN,2,_,_,_,_,_,_,_,I-Age
15,properties,_,property,_,NNS,2,_,_,_,_,_,_,_,I-Age
16,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Age
17,agronomic,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Age
18,performance,_,performance,_,NN,2,_,_,_,_,_,_,_,I-Age
19,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Age
20,inspired,_,inspire,_,VBN,2,_,_,_,_,_,_,_,I-Age
21,by,_,by,_,IN,2,_,_,_,_,_,_,_,O
22,investigations,_,investigation,_,NNS,2,_,_,_,_,_,_,_,O
23,of,_,of,_,IN,2,_,_,_,_,_,of.prep,Age,S-Degree
24,terra,_,UNK,_,NNP,2,_,_,_,_,_,_,_,B-Age
25,preta,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Age
26,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Age
27,amazonia,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Age
28,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,however,_,However,_,RB,3,_,_,_,_,_,_,_,B-Evidence
2,",",_,",",_,",",3,_,_,_,_,_,_,_,I-Evidence
3,recent,_,recent,_,JJ,3,_,_,_,_,_,_,_,I-Evidence
4,studies,_,study,_,NNS,3,_,_,_,_,_,_,_,I-Evidence
5,showed,_,show,_,VBD,3,_,_,_,_,_,show.v,Obviousness,S-Degree
6,contrasting,_,contrast,_,VBG,3,_,_,_,_,_,_,_,B-Evidence
7,performance,_,performance,_,NN,3,_,_,_,_,_,_,_,I-Evidence
8,of,_,of,_,IN,3,_,_,_,_,_,_,_,I-Evidence
9,biochar,_,UNK,_,NN,3,_,_,_,_,_,_,_,I-Evidence
10,.,_,.,_,.,3,_,_,_,_,_,_,_,I-Evidence
1,however,_,However,_,RB,3,_,_,_,_,_,_,_,B-Performance
2,",",_,",",_,",",3,_,_,_,_,_,_,_,I-Performance
3,recent,_,recent,_,JJ,3,_,_,_,_,_,_,_,I-Performance
4,studies,_,study,_,NNS,3,_,_,_,_,_,_,_,I-Performance
5,showed,_,show,_,VBD,3,_,_,_,_,_,_,_,I-Performance
6,contrasting,_,contrast,_,VBG,3,_,_,_,_,_,_,_,I-Performance
7,performance,_,performance,_,NN,3,_,_,_,_,_,performance.n,Performing_arts,O
8,of,_,of,_,IN,3,_,_,_,_,_,_,_,B-Performance
9,biochar,_,UNK,_,NN,3,_,_,_,_,_,_,_,I-Performance
10,.,_,.,_,.,3,_,_,_,_,_,_,_,I-Performance
1,however,_,However,_,RB,3,_,_,_,_,_,_,_,B-Age
2,",",_,",",_,",",3,_,_,_,_,_,_,_,I-Age
3,recent,_,recent,_,JJ,3,_,_,_,_,_,_,_,I-Age
4,studies,_,study,_,NNS,3,_,_,_,_,_,_,_,I-Age
5,showed,_,show,_,VBD,3,_,_,_,_,_,_,_,I-Age
6,contrasting,_,contrast,_,VBG,3,_,_,_,_,_,_,_,I-Age
7,performance,_,performance,_,NN,3,_,_,_,_,_,_,_,I-Age
8,of,_,of,_,IN,3,_,_,_,_,_,of.prep,Age,S-Degree
9,biochar,_,UNK,_,NN,3,_,_,_,_,_,_,_,B-Age
10,.,_,.,_,.,3,_,_,_,_,_,_,_,I-Age
1,in,_,In,_,IN,4,_,_,_,_,_,in.prep,Fields,S-Practitioner
2,most,_,most,_,JJS,4,_,_,_,_,_,_,_,O
