ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,identity,_,Identity,_,NN,1,_,_,_,_,_,identity.n,Identicality,O
2,in,_,in,_,IN,1,_,_,_,_,_,_,_,B-Set_of_instances
3,written,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Set_of_instances
4,discourse,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Set_of_instances
5,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Set_of_instances
1,applied,_,UNK,_,NNP,2,_,_,_,_,_,_,_,B-Group
2,linguistics,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Group
3,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Group
4,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Group
5,field,_,field,_,NN,2,_,_,_,_,_,_,_,I-Group
6,concerned,_,concern,_,VBN,2,_,_,_,_,_,concern.v,Point_of_dispute,O
7,with,_,with,_,IN,2,_,_,_,_,_,_,_,O
8,issues,_,issue,_,NNS,2,_,_,_,_,_,_,_,O
9,pertaining,_,UNK,_,VBG,2,_,_,_,_,_,_,_,O
10,to,_,to,_,TO,2,_,_,_,_,_,_,_,O
11,language,_,language,_,NN,2,_,_,_,_,_,_,_,O
12,(,_,(,_,(,2,_,_,_,_,_,_,_,O
13,s,_,s,_,NN,2,_,_,_,_,_,_,_,O
14,),_,),_,),2,_,_,_,_,_,_,_,O
15,and,_,and,_,CC,2,_,_,_,_,_,_,_,O
16,literacies,_,UNK,_,NNS,2,_,_,_,_,_,_,_,O
17,in,_,in,_,IN,2,_,_,_,_,_,_,_,O
18,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
19,real,_,real,_,JJ,2,_,_,_,_,_,_,_,O
20,world,_,world,_,NN,2,_,_,_,_,_,_,_,O
21,and,_,and,_,CC,2,_,_,_,_,_,_,_,O
22,with,_,with,_,IN,2,_,_,_,_,_,_,_,O
23,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
24,people,_,people,_,NNS,2,_,_,_,_,_,_,_,O
25,who,_,who,_,WP,2,_,_,_,_,_,_,_,O
26,learn,_,learn,_,VBP,2,_,_,_,_,_,_,_,O
27,",",_,",",_,",",2,_,_,_,_,_,_,_,O
28,speak,_,speak,_,NN,2,_,_,_,_,_,_,_,O
29,",",_,",",_,",",2,_,_,_,_,_,_,_,O
30,write,_,write,_,VB,2,_,_,_,_,_,_,_,O
31,",",_,",",_,",",2,_,_,_,_,_,_,_,O
32,process,_,process,_,NN,2,_,_,_,_,_,_,_,O
33,",",_,",",_,",",2,_,_,_,_,_,_,_,O
34,translate,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
35,",",_,",",_,",",2,_,_,_,_,_,_,_,O
36,test,_,test,_,NN,2,_,_,_,_,_,_,_,O
37,",",_,",",_,",",2,_,_,_,_,_,_,_,O
38,teach,_,teach,_,NN,2,_,_,_,_,_,_,_,O
39,",",_,",",_,",",2,_,_,_,_,_,_,_,O
40,use,_,use,_,NN,2,_,_,_,_,_,_,_,O
41,",",_,",",_,",",2,_,_,_,_,_,_,_,O
42,and,_,and,_,CC,2,_,_,_,_,_,_,_,O
43,lose,_,lose,_,VB,2,_,_,_,_,_,_,_,O
44,them,_,them,_,PRP,2,_,_,_,_,_,_,_,O
45,in,_,in,_,IN,2,_,_,_,_,_,_,_,O
46,myriad,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
47,ways,_,way,_,NNS,2,_,_,_,_,_,_,_,O
48,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,applied,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
2,linguistics,_,UNK,_,NNS,2,_,_,_,_,_,_,_,O
3,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,O
4,a,_,a,_,DT,2,_,_,_,_,_,_,_,O
5,field,_,field,_,NN,2,_,_,_,_,_,_,_,O
6,concerned,_,concern,_,VBN,2,_,_,_,_,_,_,_,O
7,with,_,with,_,IN,2,_,_,_,_,_,_,_,O
8,issues,_,issue,_,NNS,2,_,_,_,_,_,issue.n,Point_of_dispute,O
9,pertaining,_,UNK,_,VBG,2,_,_,_,_,_,_,_,O
10,to,_,to,_,TO,2,_,_,_,_,_,_,_,O
11,language,_,language,_,NN,2,_,_,_,_,_,_,_,O
12,(,_,(,_,(,2,_,_,_,_,_,_,_,O
13,s,_,s,_,NN,2,_,_,_,_,_,_,_,O
14,),_,),_,),2,_,_,_,_,_,_,_,O
15,and,_,and,_,CC,2,_,_,_,_,_,_,_,O
16,literacies,_,UNK,_,NNS,2,_,_,_,_,_,_,_,O
17,in,_,in,_,IN,2,_,_,_,_,_,_,_,O
18,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
19,real,_,real,_,JJ,2,_,_,_,_,_,_,_,O
20,world,_,world,_,NN,2,_,_,_,_,_,_,_,O
21,and,_,and,_,CC,2,_,_,_,_,_,_,_,O
22,with,_,with,_,IN,2,_,_,_,_,_,_,_,O
23,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
24,people,_,people,_,NNS,2,_,_,_,_,_,_,_,O
25,who,_,who,_,WP,2,_,_,_,_,_,_,_,O
26,learn,_,learn,_,VBP,2,_,_,_,_,_,_,_,O
27,",",_,",",_,",",2,_,_,_,_,_,_,_,O
28,speak,_,speak,_,NN,2,_,_,_,_,_,_,_,O
29,",",_,",",_,",",2,_,_,_,_,_,_,_,O
30,write,_,write,_,VB,2,_,_,_,_,_,_,_,O
31,",",_,",",_,",",2,_,_,_,_,_,_,_,O
32,process,_,process,_,NN,2,_,_,_,_,_,_,_,O
33,",",_,",",_,",",2,_,_,_,_,_,_,_,O
34,translate,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
35,",",_,",",_,",",2,_,_,_,_,_,_,_,O
