ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,at,_,At,_,IN,3,_,_,_,_,_,_,_,B-Unit
2,the,_,the,_,DT,3,_,_,_,_,_,_,_,I-Unit
3,time,_,time,_,NN,3,_,_,_,_,_,time.n,Measure_duration,O
4,that,_,that,_,IN,3,_,_,_,_,_,_,_,B-Unit
5,assertion,_,UNK,_,NN,3,_,_,_,_,_,_,_,I-Unit
6,was,_,be,_,VBD,3,_,_,_,_,_,_,_,I-Unit
7,made,_,make,_,VBN,3,_,_,_,_,_,_,_,I-Unit
8,",",_,",",_,",",3,_,_,_,_,_,_,_,I-Unit
9,little,_,little,_,JJ,3,_,_,_,_,_,_,_,I-Unit
10,actual,_,actual,_,JJ,3,_,_,_,_,_,_,_,I-Unit
11,psycholinguistic,_,UNK,_,JJ,3,_,_,_,_,_,_,_,I-Unit
12,evidence,_,evidence,_,NN,3,_,_,_,_,_,_,_,I-Unit
13,existed,_,exist,_,VBD,3,_,_,_,_,_,_,_,I-Unit
14,in,_,in,_,IN,3,_,_,_,_,_,_,_,I-Unit
15,support,_,support,_,NN,3,_,_,_,_,_,_,_,I-Unit
16,of,_,of,_,IN,3,_,_,_,_,_,_,_,I-Unit
17,that,_,that,_,DT,3,_,_,_,_,_,_,_,I-Unit
18,holistic,_,UNK,_,JJ,3,_,_,_,_,_,_,_,I-Unit
19,",",_,",",_,",",3,_,_,_,_,_,_,_,I-Unit
20,unk,_,UNK,_,JJ,3,_,_,_,_,_,_,_,I-Unit
21,choice,_,choice,_,NN,3,_,_,_,_,_,_,_,I-Unit
22,',_,',_,'',3,_,_,_,_,_,_,_,I-Unit
23,",",_,",",_,",",3,_,_,_,_,_,_,_,I-Unit
24,view,_,view,_,NN,3,_,_,_,_,_,_,_,I-Unit
25,of,_,of,_,IN,3,_,_,_,_,_,_,_,I-Unit
26,formulaic,_,UNK,_,JJ,3,_,_,_,_,_,_,_,I-Unit
27,language,_,language,_,NN,3,_,_,_,_,_,_,_,I-Unit
28,.,_,.,_,.,3,_,_,_,_,_,_,_,I-Unit
1,at,_,At,_,IN,3,_,_,_,_,_,_,_,O
2,the,_,the,_,DT,3,_,_,_,_,_,_,_,O
3,time,_,time,_,NN,3,_,_,_,_,_,_,_,O
4,that,_,that,_,IN,3,_,_,_,_,_,that.adv,Degree,O
5,assertion,_,UNK,_,NN,3,_,_,_,_,_,_,_,O
6,was,_,be,_,VBD,3,_,_,_,_,_,_,_,O
7,made,_,make,_,VBN,3,_,_,_,_,_,_,_,O
8,",",_,",",_,",",3,_,_,_,_,_,_,_,O
9,little,_,little,_,JJ,3,_,_,_,_,_,_,_,O
10,actual,_,actual,_,JJ,3,_,_,_,_,_,_,_,O
11,psycholinguistic,_,UNK,_,JJ,3,_,_,_,_,_,_,_,O
12,evidence,_,evidence,_,NN,3,_,_,_,_,_,_,_,O
13,existed,_,exist,_,VBD,3,_,_,_,_,_,_,_,O
14,in,_,in,_,IN,3,_,_,_,_,_,_,_,O
15,support,_,support,_,NN,3,_,_,_,_,_,_,_,O
16,of,_,of,_,IN,3,_,_,_,_,_,_,_,O
17,that,_,that,_,DT,3,_,_,_,_,_,_,_,O
18,holistic,_,UNK,_,JJ,3,_,_,_,_,_,_,_,O
19,",",_,",",_,",",3,_,_,_,_,_,_,_,O
20,unk,_,UNK,_,JJ,3,_,_,_,_,_,_,_,O
21,choice,_,choice,_,NN,3,_,_,_,_,_,_,_,O
22,',_,',_,'',3,_,_,_,_,_,_,_,O
23,",",_,",",_,",",3,_,_,_,_,_,_,_,O
24,view,_,view,_,NN,3,_,_,_,_,_,_,_,O
25,of,_,of,_,IN,3,_,_,_,_,_,_,_,O
26,formulaic,_,UNK,_,JJ,3,_,_,_,_,_,_,_,O
27,language,_,language,_,NN,3,_,_,_,_,_,_,_,O
28,.,_,.,_,.,3,_,_,_,_,_,_,_,O
1,at,_,At,_,IN,3,_,_,_,_,_,_,_,B-Self_mover
2,the,_,the,_,DT,3,_,_,_,_,_,_,_,I-Self_mover
3,time,_,time,_,NN,3,_,_,_,_,_,_,_,I-Self_mover
4,that,_,that,_,IN,3,_,_,_,_,_,_,_,I-Self_mover
5,assertion,_,UNK,_,NN,3,_,_,_,_,_,_,_,I-Self_mover
6,was,_,be,_,VBD,3,_,_,_,_,_,_,_,I-Self_mover
7,made,_,make,_,VBN,3,_,_,_,_,_,make.v,Self_motion,I-Self_mover
8,",",_,",",_,",",3,_,_,_,_,_,_,_,I-Self_mover
9,little,_,little,_,JJ,3,_,_,_,_,_,_,_,I-Self_mover
10,actual,_,actual,_,JJ,3,_,_,_,_,_,_,_,I-Self_mover
11,psycholinguistic,_,UNK,_,JJ,3,_,_,_,_,_,_,_,I-Self_mover
12,evidence,_,evidence,_,NN,3,_,_,_,_,_,_,_,I-Self_mover
