ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,john,_,John,_,NNP,2,_,_,_,_,_,_,_,B-Age
2,sinclair,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Age
3,'s,_,'s,_,POS,2,_,_,_,_,_,_,_,I-Age
4,idiom,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Age
5,principle,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Age
6,famously,_,UNK,_,RB,2,_,_,_,_,_,_,_,I-Age
7,posited,_,posit,_,VBD,2,_,_,_,_,_,_,_,I-Age
8,that,_,that,_,IN,2,_,_,_,_,_,_,_,I-Age
9,most,_,most,_,JJS,2,_,_,_,_,_,_,_,I-Age
10,texts,_,text,_,NNS,2,_,_,_,_,_,_,_,I-Age
11,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Age
12,largely,_,largely,_,RB,2,_,_,_,_,_,_,_,I-Age
13,composed,_,UNK,_,VBN,2,_,_,_,_,_,_,_,I-Age
14,of,_,of,_,IN,2,_,_,_,_,_,of.prep,Age,S-Degree
15,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,B-Age
16,expressions,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Age
17,that,_,that,_,IN,2,_,_,_,_,_,_,_,I-Age
18,unk,_,UNK,_,VBP,2,_,_,_,_,_,_,_,I-Age
19,single,_,single,_,JJ,2,_,_,_,_,_,_,_,I-Age
20,choices,_,choice,_,NNS,2,_,_,_,_,_,_,_,I-Age
21,',_,',_,POS,2,_,_,_,_,_,_,_,I-Age
22,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Age
23,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Age
24,mental,_,mental,_,JJ,2,_,_,_,_,_,_,_,I-Age
25,lexicon,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Age
26,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Age
1,john,_,John,_,NNP,2,_,_,_,_,_,_,_,O
2,sinclair,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
3,'s,_,'s,_,POS,2,_,_,_,_,_,_,_,O
4,idiom,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
5,principle,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
6,famously,_,UNK,_,RB,2,_,_,_,_,_,_,_,O
7,posited,_,posit,_,VBD,2,_,_,_,_,_,_,_,O
8,that,_,that,_,IN,2,_,_,_,_,_,_,_,O
9,most,_,most,_,JJS,2,_,_,_,_,_,_,_,O
10,texts,_,text,_,NNS,2,_,_,_,_,_,_,_,O
11,are,_,be,_,VBP,2,_,_,_,_,_,_,_,O
12,largely,_,largely,_,RB,2,_,_,_,_,_,_,_,O
13,composed,_,UNK,_,VBN,2,_,_,_,_,_,_,_,O
14,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
15,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
16,expressions,_,UNK,_,NNS,2,_,_,_,_,_,_,_,O
17,that,_,that,_,IN,2,_,_,_,_,_,that.adv,Degree,O
18,unk,_,UNK,_,VBP,2,_,_,_,_,_,_,_,O
19,single,_,single,_,JJ,2,_,_,_,_,_,_,_,O
20,choices,_,choice,_,NNS,2,_,_,_,_,_,_,_,O
21,',_,',_,POS,2,_,_,_,_,_,_,_,O
22,in,_,in,_,IN,2,_,_,_,_,_,_,_,O
23,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
24,mental,_,mental,_,JJ,2,_,_,_,_,_,_,_,O
25,lexicon,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
26,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,john,_,John,_,NNP,2,_,_,_,_,_,_,_,B-Manner
2,sinclair,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
3,'s,_,'s,_,POS,2,_,_,_,_,_,_,_,I-Manner
4,idiom,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
5,principle,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
6,famously,_,UNK,_,RB,2,_,_,_,_,_,_,_,I-Manner
7,posited,_,posit,_,VBD,2,_,_,_,_,_,_,_,I-Manner
8,that,_,that,_,IN,2,_,_,_,_,_,_,_,I-Manner
9,most,_,most,_,JJS,2,_,_,_,_,_,_,_,I-Manner
10,texts,_,text,_,NNS,2,_,_,_,_,_,_,_,I-Manner
11,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Manner
12,largely,_,largely,_,RB,2,_,_,_,_,_,_,_,I-Manner
13,composed,_,UNK,_,VBN,2,_,_,_,_,_,_,_,I-Manner
14,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Manner
15,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
16,expressions,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Manner
