ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
