ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,developmental,_,UNK,_,JJ,2,_,_,_,_,_,_,_,B-Time
2,stuttering,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Time
3,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Time
4,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Time
5,speech,_,speech,_,NN,2,_,_,_,_,_,speech.n,Communication,O
6,disorder,_,UNK,_,NN,2,_,_,_,_,_,_,_,B-Manner
7,that,_,that,_,WDT,2,_,_,_,_,_,_,_,I-Manner
8,severely,_,severely,_,RB,2,_,_,_,_,_,_,_,I-Manner
9,limits,_,limit,_,VBZ,2,_,_,_,_,_,_,_,I-Manner
10,one,_,one,_,CD,2,_,_,_,_,_,_,_,I-Manner
11,'s,_,'s,_,POS,2,_,_,_,_,_,_,_,I-Manner
12,ability,_,ability,_,NN,2,_,_,_,_,_,_,_,I-Manner
13,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Manner
14,communicate,_,communicate,_,VB,2,_,_,_,_,_,_,_,I-Manner
15,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Manner
1,developmental,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
2,stuttering,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
3,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,O
4,a,_,a,_,DT,2,_,_,_,_,_,_,_,O
5,speech,_,speech,_,NN,2,_,_,_,_,_,_,_,O
6,disorder,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
7,that,_,that,_,WDT,2,_,_,_,_,_,that.adv,Degree,O
8,severely,_,severely,_,RB,2,_,_,_,_,_,_,_,O
9,limits,_,limit,_,VBZ,2,_,_,_,_,_,_,_,O
10,one,_,one,_,CD,2,_,_,_,_,_,_,_,O
11,'s,_,'s,_,POS,2,_,_,_,_,_,_,_,O
12,ability,_,ability,_,NN,2,_,_,_,_,_,_,_,O
13,to,_,to,_,TO,2,_,_,_,_,_,_,_,O
14,communicate,_,communicate,_,VB,2,_,_,_,_,_,_,_,O
15,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,developmental,_,UNK,_,JJ,2,_,_,_,_,_,_,_,B-Unit
2,stuttering,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Unit
3,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Unit
4,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Unit
5,speech,_,speech,_,NN,2,_,_,_,_,_,_,_,I-Unit
6,disorder,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Unit
7,that,_,that,_,WDT,2,_,_,_,_,_,_,_,I-Unit
8,severely,_,severely,_,RB,2,_,_,_,_,_,_,_,I-Unit
9,limits,_,limit,_,VBZ,2,_,_,_,_,_,_,_,I-Unit
10,one,_,one,_,CD,2,_,_,_,_,_,one.num,Cardinal_numbers,O
11,'s,_,'s,_,POS,2,_,_,_,_,_,_,_,B-Unit
12,ability,_,ability,_,NN,2,_,_,_,_,_,_,_,I-Unit
13,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Unit
14,communicate,_,communicate,_,VB,2,_,_,_,_,_,_,_,I-Unit
15,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Unit
1,developmental,_,UNK,_,JJ,2,_,_,_,_,_,_,_,B-Time
2,stuttering,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Time
3,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Time
4,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Time
5,speech,_,speech,_,NN,2,_,_,_,_,_,_,_,I-Time
6,disorder,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Time
7,that,_,that,_,WDT,2,_,_,_,_,_,_,_,I-Time
8,severely,_,severely,_,RB,2,_,_,_,_,_,_,_,I-Time
9,limits,_,limit,_,VBZ,2,_,_,_,_,_,_,_,I-Time
10,one,_,one,_,CD,2,_,_,_,_,_,_,_,I-Time
11,'s,_,'s,_,POS,2,_,_,_,_,_,_,_,I-Time
12,ability,_,ability,_,NN,2,_,_,_,_,_,_,_,I-Time
13,to,_,to,_,TO,2,_,_,_,_,_,to.prep,Goal,I-Time
14,communicate,_,communicate,_,VB,2,_,_,_,_,_,_,_,I-Time
15,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Time
1,white,_,White,_,NNP,3,_,_,_,_,_,white.a,Color,B-Degree
2,matter,_,matter,_,NN,3,_,_,_,_,_,_,_,I-Degree
3,anomalies,_,UNK,_,NNS,3,_,_,_,_,_,_,_,I-Degree
4,were,_,be,_,VBD,3,_,_,_,_,_,_,_,I-Degree
5,reported,_,report,_,VBN,3,_,_,_,_,_,_,_,I-Degree
6,in,_,in,_,IN,3,_,_,_,_,_,_,_,I-Degree
7,stuttering,_,UNK,_,NN,3,_,_,_,_,_,_,_,I-Degree
8,",",_,",",_,",",3,_,_,_,_,_,_,_,I-Degree
9,but,_,but,_,CC,3,_,_,_,_,_,_,_,I-Degree
10,their,_,their,_,PRP$,3,_,_,_,_,_,_,_,I-Degree
11,functional,_,UNK,_,JJ,3,_,_,_,_,_,_,_,I-Degree
12,significance,_,UNK,_,NN,3,_,_,_,_,_,_,_,I-Degree
13,is,_,be,_,VBZ,3,_,_,_,_,_,_,_,I-Degree
14,unclear,_,unclear,_,JJ,3,_,_,_,_,_,_,_,I-Degree
15,.,_,.,_,.,3,_,_,_,_,_,_,_,I-Degree
1,white,_,White,_,NNP,3,_,_,_,_,_,_,_,B-Behavior
2,matter,_,matter,_,NN,3,_,_,_,_,_,_,_,I-Behavior
3,anomalies,_,UNK,_,NNS,3,_,_,_,_,_,_,_,I-Behavior
4,were,_,be,_,VBD,3,_,_,_,_,_,_,_,I-Behavior
5,reported,_,report,_,VBN,3,_,_,_,_,_,report.v,Reporting,O
6,in,_,in,_,IN,3,_,_,_,_,_,_,_,B-Behavior
7,stuttering,_,UNK,_,NN,3,_,_,_,_,_,_,_,I-Behavior
8,",",_,",",_,",",3,_,_,_,_,_,_,_,I-Behavior
9,but,_,but,_,CC,3,_,_,_,_,_,_,_,I-Behavior
10,their,_,their,_,PRP$,3,_,_,_,_,_,_,_,I-Behavior
11,functional,_,UNK,_,JJ,3,_,_,_,_,_,_,_,I-Behavior
12,significance,_,UNK,_,NN,3,_,_,_,_,_,_,_,I-Behavior
13,is,_,be,_,VBZ,3,_,_,_,_,_,_,_,I-Behavior
14,unclear,_,unclear,_,JJ,3,_,_,_,_,_,_,_,I-Behavior
15,.,_,.,_,.,3,_,_,_,_,_,_,_,I-Behavior
1,white,_,White,_,NNP,3,_,_,_,_,_,_,_,B-Time
2,matter,_,matter,_,NN,3,_,_,_,_,_,_,_,I-Time
3,anomalies,_,UNK,_,NNS,3,_,_,_,_,_,_,_,I-Time
4,were,_,be,_,VBD,3,_,_,_,_,_,_,_,I-Time
5,reported,_,report,_,VBN,3,_,_,_,_,_,_,_,I-Time
6,in,_,in,_,IN,3,_,_,_,_,_,_,_,I-Time
