ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,reduced,_,UNK,_,VBN,1,_,_,_,_,_,_,_,B-Addressee
2,fractional,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Addressee
3,anisotropy,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Addressee
4,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Addressee
5,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Addressee
6,anterior,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Addressee
7,corpus,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Addressee
8,callosum,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Addressee
9,is,_,be,_,VBZ,1,_,_,_,_,_,_,_,I-Addressee
10,associated,_,associate,_,VBN,1,_,_,_,_,_,_,_,I-Addressee
11,with,_,with,_,IN,1,_,_,_,_,_,_,_,I-Addressee
12,reduced,_,UNK,_,JJ,1,_,_,_,_,_,_,_,S-Purpose
13,speech,_,speech,_,NN,1,_,_,_,_,_,speech.n,Communication,O
14,fluency,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Manner
15,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Manner
16,persistent,_,persistent,_,JJ,1,_,_,_,_,_,_,_,I-Manner
17,developmental,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Manner
18,stuttering,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Manner
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,reduced,_,UNK,_,VBN,1,_,_,_,_,_,_,_,B-Degree
2,fractional,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Degree
3,anisotropy,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Degree
4,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Degree
5,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Degree
6,anterior,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Degree
7,corpus,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Degree
8,callosum,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Degree
9,is,_,be,_,VBZ,1,_,_,_,_,_,_,_,I-Degree
10,associated,_,associate,_,VBN,1,_,_,_,_,_,_,_,I-Degree
11,with,_,with,_,IN,1,_,_,_,_,_,_,_,I-Degree
12,reduced,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Degree
13,speech,_,speech,_,NN,1,_,_,_,_,_,_,_,I-Degree
14,fluency,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Degree
15,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Degree
16,persistent,_,persistent,_,JJ,1,_,_,_,_,_,persistent.a,Duration_description,I-Degree
17,developmental,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Degree
18,stuttering,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Degree
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,decomposition,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Instance
2,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Instance
3,lookup,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Instance
4,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Instance
5,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Instance
6,recombination,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Instance
7,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Instance
8,meg,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Instance
9,evidence,_,evidence,_,NN,1,_,_,_,_,_,_,_,I-Instance
10,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Instance
11,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Instance
12,full,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Instance
13,decomposition,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Instance
14,model,_,model,_,NN,1,_,_,_,_,_,model.n,Exemplar,O
15,of,_,of,_,IN,1,_,_,_,_,_,_,_,B-Instance
16,complex,_,complex,_,JJ,1,_,_,_,_,_,_,_,I-Instance
17,visual,_,visual,_,JJ,1,_,_,_,_,_,_,_,I-Instance
18,word,_,word,_,NN,1,_,_,_,_,_,_,_,I-Instance
19,recognition,_,recognition,_,NN,1,_,_,_,_,_,_,_,I-Instance
20,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Instance
1,decomposition,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Age
2,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Age
3,lookup,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
4,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Age
5,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Age
6,recombination,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
7,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Age
8,meg,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
9,evidence,_,evidence,_,NN,1,_,_,_,_,_,_,_,I-Age
10,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Age
11,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Age
12,full,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
13,decomposition,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
14,model,_,model,_,NN,1,_,_,_,_,_,_,_,I-Age
15,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,I-Age
16,complex,_,complex,_,JJ,1,_,_,_,_,_,_,_,I-Age
17,visual,_,visual,_,JJ,1,_,_,_,_,_,_,_,I-Age
18,word,_,word,_,NN,1,_,_,_,_,_,_,_,I-Age
19,recognition,_,recognition,_,NN,1,_,_,_,_,_,_,_,I-Age
20,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Age
1,decomposition,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Manner
2,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Manner
3,lookup,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Manner
4,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Manner
5,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Manner
