ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,chemical,_,Chemical,_,NNP,0,_,_,_,_,_,_,_,S-Descriptor
2,society,_,society,_,NN,0,_,_,_,_,_,society.n,Organization,O
3,reviews,_,review,_,NNS,0,_,_,_,_,_,_,_,S-Organization
4,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,two-dimensional,_,UNK,_,JJ,1,_,_,_,_,_,_,_,S-Frequency
2,transition,_,transition,_,NN,1,_,_,_,_,_,transition.n,Undergo_transformation,S-Degree
3,metal,_,metal,_,NN,1,_,_,_,_,_,_,_,B-Frequency
4,unk,_,UNK,_,IN,1,_,_,_,_,_,_,_,I-Frequency
5,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Frequency
6,composites,_,composite,_,NNS,1,_,_,_,_,_,_,_,I-Frequency
7,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Frequency
1,ultrathin,_,UNK,_,IN,2,_,_,_,_,_,_,_,B-Age
2,two-dimensional,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Age
3,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Age
4,2d,_,UNK,_,CD,2,_,_,_,_,_,_,_,I-Age
5,),_,),_,),2,_,_,_,_,_,_,_,I-Age
6,unk,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Age
7,of,_,of,_,IN,2,_,_,_,_,_,of.prep,Age,S-Degree
8,layered,_,UNK,_,JJ,2,_,_,_,_,_,_,_,B-Age
9,transition,_,transition,_,NN,2,_,_,_,_,_,_,_,I-Age
10,metal,_,metal,_,NN,2,_,_,_,_,_,_,_,I-Age
11,unk,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Age
12,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Age
13,tmds,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Age
14,),_,),_,),2,_,_,_,_,_,_,_,I-Age
15,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Age
16,such,_,such,_,JJ,2,_,_,_,_,_,_,_,I-Age
17,as,_,a,_,IN,2,_,_,_,_,_,_,_,I-Age
18,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Age
