ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,with,_,With,_,IN,1,_,_,_,_,_,_,_,B-Figure
2,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Figure
3,future,_,future,_,NN,1,_,_,_,_,_,_,_,I-Figure
4,coming,_,come,_,VBG,1,_,_,_,_,_,_,_,I-Figure
5,up,_,up,_,RP,1,_,_,_,_,_,_,_,I-Figure
6,behind,_,behind,_,IN,1,_,_,_,_,_,behind.prep,Non-gradable_proximity,O
7,them,_,them,_,PRP,1,_,_,_,_,_,_,_,B-Figure
8,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Figure
9,evidence,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Directness
10,that,_,that,_,IN,1,_,_,_,_,_,_,_,I-Directness
11,time,_,Time,_,NNP,1,_,_,_,_,_,_,_,I-Directness
12,approaches,_,approach,_,NNS,1,_,_,_,_,_,_,_,I-Directness
13,from,_,from,_,IN,1,_,_,_,_,_,_,_,I-Directness
14,behind,_,behind,_,IN,1,_,_,_,_,_,_,_,I-Directness
15,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Directness
16,vietnamese,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Directness
17,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Directness
1,with,_,With,_,IN,1,_,_,_,_,_,_,_,O
2,the,_,the,_,DT,1,_,_,_,_,_,_,_,O
3,future,_,future,_,NN,1,_,_,_,_,_,_,_,O
4,coming,_,come,_,VBG,1,_,_,_,_,_,_,_,O
5,up,_,up,_,RP,1,_,_,_,_,_,_,_,O
6,behind,_,behind,_,IN,1,_,_,_,_,_,_,_,O
7,them,_,them,_,PRP,1,_,_,_,_,_,_,_,O
8,:,_,:,_,:,1,_,_,_,_,_,_,_,O
9,evidence,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
10,that,_,that,_,IN,1,_,_,_,_,_,that.adv,Degree,O
11,time,_,Time,_,NNP,1,_,_,_,_,_,_,_,O
12,approaches,_,approach,_,NNS,1,_,_,_,_,_,_,_,O
13,from,_,from,_,IN,1,_,_,_,_,_,_,_,O
14,behind,_,behind,_,IN,1,_,_,_,_,_,_,_,O
15,in,_,in,_,IN,1,_,_,_,_,_,_,_,O
16,vietnamese,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
17,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,with,_,With,_,IN,1,_,_,_,_,_,_,_,B-Unit
2,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Unit
3,future,_,future,_,NN,1,_,_,_,_,_,_,_,I-Unit
4,coming,_,come,_,VBG,1,_,_,_,_,_,_,_,I-Unit
5,up,_,up,_,RP,1,_,_,_,_,_,_,_,I-Unit
6,behind,_,behind,_,IN,1,_,_,_,_,_,_,_,I-Unit
7,them,_,them,_,PRP,1,_,_,_,_,_,_,_,I-Unit
8,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Unit
9,evidence,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Unit
10,that,_,that,_,IN,1,_,_,_,_,_,_,_,I-Unit
11,time,_,Time,_,NNP,1,_,_,_,_,_,time.n,Measure_duration,S-Agent
12,approaches,_,approach,_,NNS,1,_,_,_,_,_,_,_,B-Unit
13,from,_,from,_,IN,1,_,_,_,_,_,_,_,I-Unit
14,behind,_,behind,_,IN,1,_,_,_,_,_,_,_,I-Unit
15,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Unit
16,vietnamese,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Unit
17,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Unit
1,with,_,With,_,IN,1,_,_,_,_,_,_,_,B-Agent
2,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Agent
3,future,_,future,_,NN,1,_,_,_,_,_,_,_,I-Agent
4,coming,_,come,_,VBG,1,_,_,_,_,_,_,_,I-Agent
5,up,_,up,_,RP,1,_,_,_,_,_,_,_,I-Agent
6,behind,_,behind,_,IN,1,_,_,_,_,_,_,_,I-Agent
7,them,_,them,_,PRP,1,_,_,_,_,_,_,_,I-Agent
8,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Agent
9,evidence,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Agent
10,that,_,that,_,IN,1,_,_,_,_,_,_,_,I-Agent
11,time,_,Time,_,NNP,1,_,_,_,_,_,_,_,I-Agent
12,approaches,_,approach,_,NNS,1,_,_,_,_,_,approach.n,Means,O
13,from,_,from,_,IN,1,_,_,_,_,_,_,_,B-Purpose
14,behind,_,behind,_,IN,1,_,_,_,_,_,_,_,I-Purpose
15,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Purpose
16,vietnamese,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Purpose
17,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Purpose
1,with,_,With,_,IN,1,_,_,_,_,_,_,_,B-Support
2,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Support
3,future,_,future,_,NN,1,_,_,_,_,_,_,_,I-Support
4,coming,_,come,_,VBG,1,_,_,_,_,_,_,_,I-Support
5,up,_,up,_,RP,1,_,_,_,_,_,_,_,I-Support
6,behind,_,behind,_,IN,1,_,_,_,_,_,_,_,I-Support
7,them,_,them,_,PRP,1,_,_,_,_,_,_,_,I-Support
8,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Support
9,evidence,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Support
10,that,_,that,_,IN,1,_,_,_,_,_,_,_,I-Support
11,time,_,Time,_,NNP,1,_,_,_,_,_,_,_,I-Support
12,approaches,_,approach,_,NNS,1,_,_,_,_,_,_,_,I-Support
13,from,_,from,_,IN,1,_,_,_,_,_,from.prep,Evidence,S-Degree
14,behind,_,behind,_,IN,1,_,_,_,_,_,_,_,B-Manner
15,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Manner
16,vietnamese,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Manner
