ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,formation,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Instrument
2,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Instrument
3,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Instrument
4,suppression,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Instrument
5,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Instrument
6,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Instrument
7,unk,_,UNK,_,VBG,1,_,_,_,_,_,_,_,I-Instrument
8,vortex,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Instrument
9,core,_,core,_,NN,1,_,_,_,_,_,_,_,I-Instrument
10,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Instrument
11,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Instrument
12,swirl,_,swirl,_,JJ,1,_,_,_,_,_,swirl.v,Cause_to_move_in_place,S-Degree
13,combustor,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Manner
14,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Manner
15,experiments,_,Experiments,_,NNS,1,_,_,_,_,_,_,_,B-Degree
16,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Degree
17,linear,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Degree
18,stability,_,stability,_,NN,1,_,_,_,_,_,_,_,I-Degree
19,analysis,_,analysis,_,NN,1,_,_,_,_,_,_,_,I-Degree
20,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,formation,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Manner
2,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Manner
3,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Manner
4,suppression,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Manner
5,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Manner
6,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Manner
7,unk,_,UNK,_,VBG,1,_,_,_,_,_,_,_,I-Manner
8,vortex,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Manner
9,core,_,core,_,NN,1,_,_,_,_,_,_,_,I-Manner
10,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Manner
11,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Manner
12,swirl,_,swirl,_,JJ,1,_,_,_,_,_,_,_,I-Manner
13,combustor,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Manner
14,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Manner
15,experiments,_,Experiments,_,NNS,1,_,_,_,_,_,_,_,I-Manner
16,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Manner
17,linear,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Manner
18,stability,_,stability,_,NN,1,_,_,_,_,_,_,_,S-Time
19,analysis,_,analysis,_,NN,1,_,_,_,_,_,analysis.n,Scrutiny,S-Degree
20,.,_,.,_,.,1,_,_,_,_,_,_,_,S-Purpose
1,an,_,An,_,DT,1,_,_,_,_,_,_,_,B-Age
2,experimental,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Age
3,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Age
4,modeling,_,model,_,VBG,1,_,_,_,_,_,_,_,I-Age
5,study,_,study,_,NN,1,_,_,_,_,_,_,_,B-Degree
6,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,I-Degree
7,propene,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Degree
8,oxidation,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Degree
9,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,an,_,An,_,DT,1,_,_,_,_,_,_,_,B-Use
2,ignition,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Use
3,delay,_,delay,_,NN,1,_,_,_,_,_,_,_,I-Use
4,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Use
5,kinetic,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Use
6,modeling,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Use
7,study,_,study,_,NN,1,_,_,_,_,_,study.n,Building_subparts,O
8,of,_,of,_,IN,1,_,_,_,_,_,_,_,B-Type
9,methane,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Type
10,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Type
11,dimethyl,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Type
12,ether,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Type
13,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Type
14,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Type
