ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,effects,_,UNK,_,NNS,1,_,_,_,_,_,_,_,B-Time
2,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Time
3,fiber,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
4,orientation,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Time
5,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Time
6,anisotropy,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Time
7,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Time
8,tensile,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
9,strength,_,strength,_,NN,1,_,_,_,_,_,strength.n,Level_of_force_exertion,S-Degree
10,and,_,and,_,CC,1,_,_,_,_,_,_,_,B-Force
11,elastic,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Force
12,modulus,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Force
13,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Force
14,short,_,short,_,JJ,1,_,_,_,_,_,_,_,I-Force
15,fiber,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Force
16,reinforced,_,reinforce,_,VBD,1,_,_,_,_,_,_,_,I-Force
17,polymer,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Force
18,composites,_,composite,_,NNS,1,_,_,_,_,_,_,_,I-Force
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Force
1,effects,_,UNK,_,NNS,1,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Age
3,fiber,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Age
4,orientation,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
5,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Age
6,anisotropy,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
7,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Age
8,tensile,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Age
9,strength,_,strength,_,NN,1,_,_,_,_,_,_,_,I-Age
10,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Age
11,elastic,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Age
12,modulus,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
13,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
14,short,_,short,_,JJ,1,_,_,_,_,_,_,_,B-Age
15,fiber,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
16,reinforced,_,reinforce,_,VBD,1,_,_,_,_,_,_,_,I-Age
17,polymer,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Age
18,composites,_,composite,_,NNS,1,_,_,_,_,_,_,_,I-Age
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Age
1,rapid,_,Rapid,_,JJ,2,_,_,_,_,_,rapid.a,Speed_description,B-Degree
2,innovation,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Degree
3,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Degree
4,nanotechnology,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Degree
5,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Degree
6,recent,_,recent,_,JJ,2,_,_,_,_,_,_,_,I-Degree
7,years,_,year,_,NNS,2,_,_,_,_,_,_,_,I-Degree
8,enabled,_,enable,_,VBD,2,_,_,_,_,_,_,_,I-Degree
9,development,_,development,_,NN,2,_,_,_,_,_,_,_,I-Degree
10,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Degree
11,advanced,_,advanced,_,JJ,2,_,_,_,_,_,_,_,I-Degree
12,metal,_,metal,_,NN,2,_,_,_,_,_,_,_,I-Degree
13,matrix,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Degree
14,nanocomposites,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Degree
15,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Degree
16,structural,_,structural,_,JJ,2,_,_,_,_,_,_,_,I-Degree
17,engineering,_,engineering,_,NN,2,_,_,_,_,_,_,_,I-Degree
18,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Degree
19,functional,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Degree
20,devices,_,device,_,NNS,2,_,_,_,_,_,_,_,I-Degree
21,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Degree
1,rapid,_,Rapid,_,JJ,2,_,_,_,_,_,_,_,B-Manner
2,innovation,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
3,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Manner
4,nanotechnology,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
5,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Manner
6,recent,_,recent,_,JJ,2,_,_,_,_,_,recent.a,Relative_time,S-Degree
7,years,_,year,_,NNS,2,_,_,_,_,_,_,_,B-Manner
8,enabled,_,enable,_,VBD,2,_,_,_,_,_,_,_,I-Manner
9,development,_,development,_,NN,2,_,_,_,_,_,_,_,I-Manner
10,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Manner
11,advanced,_,advanced,_,JJ,2,_,_,_,_,_,_,_,I-Manner
12,metal,_,metal,_,NN,2,_,_,_,_,_,_,_,I-Manner
13,matrix,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
14,nanocomposites,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Manner
15,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Manner
16,structural,_,structural,_,JJ,2,_,_,_,_,_,_,_,I-Manner
