ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,an,_,An,_,DT,1,_,_,_,_,_,_,_,B-Purpose
2,efficient,_,efficient,_,JJ,1,_,_,_,_,_,_,_,I-Purpose
3,computational,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Purpose
4,approach,_,approach,_,NN,1,_,_,_,_,_,approach.n,Means,O
5,for,_,for,_,IN,1,_,_,_,_,_,_,_,B-Purpose
6,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Purpose
7,analysis,_,analysis,_,NN,1,_,_,_,_,_,_,_,I-Purpose
8,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Purpose
9,functionally,_,UNK,_,RB,1,_,_,_,_,_,_,_,I-Purpose
10,graded,_,grade,_,VBN,1,_,_,_,_,_,_,_,I-Purpose
11,unk,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Purpose
12,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Purpose
1,an,_,An,_,DT,1,_,_,_,_,_,_,_,B-Time
2,efficient,_,efficient,_,JJ,1,_,_,_,_,_,_,_,I-Time
3,computational,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
4,approach,_,approach,_,NN,1,_,_,_,_,_,_,_,I-Time
5,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Time
6,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
7,analysis,_,analysis,_,NN,1,_,_,_,_,_,analysis.n,Scrutiny,S-Degree
8,of,_,of,_,IN,1,_,_,_,_,_,_,_,B-Purpose
9,functionally,_,UNK,_,RB,1,_,_,_,_,_,_,_,I-Purpose
10,graded,_,grade,_,VBN,1,_,_,_,_,_,_,_,I-Purpose
11,unk,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Purpose
12,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Purpose
1,an,_,An,_,DT,1,_,_,_,_,_,_,_,S-Period
2,extended,_,extended,_,JJ,1,_,_,_,_,_,extended.a,Duration_description,B-Degree
3,unk,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Degree
4,thin,_,thin,_,NN,1,_,_,_,_,_,_,_,I-Degree
5,shell,_,shell,_,NN,1,_,_,_,_,_,_,_,I-Degree
6,analysis,_,analysis,_,NN,1,_,_,_,_,_,_,_,I-Degree
7,based,_,base,_,VBN,1,_,_,_,_,_,_,_,I-Degree
8,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Degree
9,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
10,theory,_,theory,_,NN,1,_,_,_,_,_,_,_,I-Degree
11,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,an,_,An,_,DT,1,_,_,_,_,_,_,_,B-Individual
2,extended,_,extended,_,JJ,1,_,_,_,_,_,_,_,I-Individual
3,unk,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Individual
4,thin,_,thin,_,NN,1,_,_,_,_,_,thin.a,Body_description_holistic,S-Degree
5,shell,_,shell,_,NN,1,_,_,_,_,_,_,_,O
6,analysis,_,analysis,_,NN,1,_,_,_,_,_,_,_,O
7,based,_,base,_,VBN,1,_,_,_,_,_,_,_,O
8,on,_,on,_,IN,1,_,_,_,_,_,_,_,O
9,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
10,theory,_,theory,_,NN,1,_,_,_,_,_,_,_,O
11,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,an,_,An,_,DT,1,_,_,_,_,_,_,_,B-Instrument
2,extended,_,extended,_,JJ,1,_,_,_,_,_,_,_,I-Instrument
3,unk,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Instrument
4,thin,_,thin,_,NN,1,_,_,_,_,_,_,_,I-Instrument
5,shell,_,shell,_,NN,1,_,_,_,_,_,_,_,S-Time
6,analysis,_,analysis,_,NN,1,_,_,_,_,_,analysis.n,Scrutiny,S-Degree
7,based,_,base,_,VBN,1,_,_,_,_,_,_,_,B-Manner
8,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Manner
9,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
10,theory,_,theory,_,NN,1,_,_,_,_,_,_,_,I-Manner
11,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,S-Part
2,mortar,_,mortar,_,NN,1,_,_,_,_,_,mortar.n,Weapon,O
3,methods,_,method,_,NNS,1,_,_,_,_,_,_,_,B-Type
4,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Type
1,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,S-Time
2,mortar,_,mortar,_,NN,1,_,_,_,_,_,_,_,S-Purpose
3,methods,_,method,_,NNS,1,_,_,_,_,_,method.n,Means,O
4,.,_,.,_,.,1,_,_,_,_,_,_,_,S-Descriptor
1,analysis,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Helper
2,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Helper
3,computer,_,computer,_,NN,1,_,_,_,_,_,_,_,I-Helper
4,aided,_,aid,_,VBD,1,_,_,_,_,_,aid.v,Assistance,S-Degree
5,design,_,design,_,NN,1,_,_,_,_,_,_,_,B-Goal
6,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Goal
7,nonlinear,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Goal
8,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Goal
9,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Goal
10,analysis,_,analysis,_,NN,1,_,_,_,_,_,_,_,B-Helper
11,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Helper
12,shell,_,shell,_,NN,1,_,_,_,_,_,_,_,I-Helper
13,structures,_,structure,_,NNS,1,_,_,_,_,_,_,_,I-Helper
14,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Helper
1,analysis,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Time
2,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Time
3,computer,_,computer,_,NN,1,_,_,_,_,_,_,_,I-Time
4,aided,_,aid,_,VBD,1,_,_,_,_,_,_,_,I-Time
5,design,_,design,_,NN,1,_,_,_,_,_,_,_,I-Time
6,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Time
7,nonlinear,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
8,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
9,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
10,analysis,_,analysis,_,NN,1,_,_,_,_,_,analysis.n,Scrutiny,S-Degree
11,of,_,of,_,IN,1,_,_,_,_,_,_,_,B-Purpose
12,shell,_,shell,_,NN,1,_,_,_,_,_,_,_,I-Purpose
13,structures,_,structure,_,NNS,1,_,_,_,_,_,_,_,I-Purpose
14,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Purpose
1,an,_,An,_,DT,1,_,_,_,_,_,_,_,O
2,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
3,variational,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
4,framework,_,framework,_,NN,1,_,_,_,_,_,_,_,O
5,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
6,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Manner
7,interaction,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Manner
8,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Manner
9,application,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Manner
10,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Manner
11,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Manner
12,heart,_,heart,_,NN,1,_,_,_,_,_,_,_,I-Manner
13,valves,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Manner
14,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,an,_,An,_,DT,1,_,_,_,_,_,_,_,O
2,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
3,variational,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
4,framework,_,framework,_,NN,1,_,_,_,_,_,_,_,O
5,for,_,for,_,IN,1,_,_,_,_,_,_,_,O
6,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
7,interaction,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
8,:,_,:,_,:,1,_,_,_,_,_,_,_,O
9,application,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
10,to,_,to,_,TO,1,_,_,_,_,_,to.prep,Goal,O
11,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
12,heart,_,heart,_,NN,1,_,_,_,_,_,_,_,O
13,valves,_,UNK,_,NNS,1,_,_,_,_,_,_,_,O
14,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,an,_,An,_,DT,1,_,_,_,_,_,_,_,B-Time
2,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
3,collocation,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Time
4,method,_,method,_,NN,1,_,_,_,_,_,method.n,Means,O
5,using,_,use,_,VBG,1,_,_,_,_,_,_,_,B-Time
6,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
7,points,_,point,_,NNS,1,_,_,_,_,_,_,_,O
8,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,an,_,An,_,DT,1,_,_,_,_,_,_,_,O
2,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
3,collocation,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
