ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,the,_,The,_,DT,2,_,_,_,_,_,_,_,S-Time
2,room,_,room,_,NN,2,_,_,_,_,_,room.n,Residence,O
3,temperature,_,temperature,_,NN,2,_,_,_,_,_,_,_,B-Manner
4,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
5,secondary,_,secondary,_,JJ,2,_,_,_,_,_,_,_,I-Manner
6,battery,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
7,has,_,have,_,VBZ,2,_,_,_,_,_,_,_,O
8,been,_,be,_,VBN,2,_,_,_,_,_,_,_,O
9,under,_,under,_,IN,2,_,_,_,_,_,_,_,O
10,focus,_,focus,_,NN,2,_,_,_,_,_,_,_,O
11,lately,_,lately,_,RB,2,_,_,_,_,_,_,_,O
12,due,_,due,_,JJ,2,_,_,_,_,_,_,_,O
13,to,_,to,_,TO,2,_,_,_,_,_,_,_,O
14,its,_,it,_,PRP$,2,_,_,_,_,_,_,_,O
15,feasibility,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
16,to,_,to,_,TO,2,_,_,_,_,_,_,_,O
17,compete,_,UNK,_,VB,2,_,_,_,_,_,_,_,O
18,against,_,against,_,IN,2,_,_,_,_,_,_,_,O
19,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
20,already,_,already,_,RB,2,_,_,_,_,_,_,_,O
21,well-established,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
22,li-ion,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
23,secondary,_,secondary,_,JJ,2,_,_,_,_,_,_,_,O
24,battery,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
25,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,the,_,The,_,DT,2,_,_,_,_,_,_,_,B-Entity
2,room,_,room,_,NN,2,_,_,_,_,_,_,_,I-Entity
3,temperature,_,temperature,_,NN,2,_,_,_,_,_,temperature.n,Temperature,S-Degree
4,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,B-Time
5,secondary,_,secondary,_,JJ,2,_,_,_,_,_,_,_,I-Time
6,battery,_,UNK,_,NN,2,_,_,_,_,_,_,_,B-Temperature
7,has,_,have,_,VBZ,2,_,_,_,_,_,_,_,I-Temperature
8,been,_,be,_,VBN,2,_,_,_,_,_,_,_,I-Temperature
9,under,_,under,_,IN,2,_,_,_,_,_,_,_,I-Temperature
10,focus,_,focus,_,NN,2,_,_,_,_,_,_,_,I-Temperature
11,lately,_,lately,_,RB,2,_,_,_,_,_,_,_,I-Temperature
12,due,_,due,_,JJ,2,_,_,_,_,_,_,_,I-Temperature
13,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Temperature
14,its,_,it,_,PRP$,2,_,_,_,_,_,_,_,I-Temperature
15,feasibility,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Temperature
16,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Temperature
17,compete,_,UNK,_,VB,2,_,_,_,_,_,_,_,I-Temperature
18,against,_,against,_,IN,2,_,_,_,_,_,_,_,I-Temperature
19,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Temperature
20,already,_,already,_,RB,2,_,_,_,_,_,_,_,I-Temperature
21,well-established,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Temperature
22,li-ion,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Temperature
