ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,a,_,A,_,DT,1,_,_,_,_,_,_,_,B-Force
2,comprehensive,_,comprehensive,_,JJ,1,_,_,_,_,_,_,_,I-Force
3,review,_,review,_,NN,1,_,_,_,_,_,_,_,I-Force
4,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Force
5,sodium,_,sodium,_,NN,1,_,_,_,_,_,_,_,I-Force
6,layered,_,layer,_,VBN,1,_,_,_,_,_,_,_,I-Force
7,oxides,_,oxide,_,NNS,1,_,_,_,_,_,_,_,I-Force
8,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Force
9,powerful,_,powerful,_,JJ,1,_,_,_,_,_,powerful.a,Level_of_force_exertion,S-Degree
10,cathodes,_,UNK,_,NNS,1,_,_,_,_,_,_,_,B-Force
11,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Force
12,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Force
13,batteries,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Force
14,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Force
1,a,_,A,_,DT,1,_,_,_,_,_,_,_,O
2,comprehensive,_,comprehensive,_,JJ,1,_,_,_,_,_,_,_,O
3,review,_,review,_,NN,1,_,_,_,_,_,_,_,O
4,of,_,of,_,IN,1,_,_,_,_,_,_,_,O
5,sodium,_,sodium,_,NN,1,_,_,_,_,_,_,_,O
6,layered,_,layer,_,VBN,1,_,_,_,_,_,_,_,O
7,oxides,_,oxide,_,NNS,1,_,_,_,_,_,_,_,O
8,:,_,:,_,:,1,_,_,_,_,_,_,_,O
9,powerful,_,powerful,_,JJ,1,_,_,_,_,_,_,_,O
10,cathodes,_,UNK,_,NNS,1,_,_,_,_,_,_,_,O
11,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
12,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Cognizer
13,batteries,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Cognizer
14,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Cognizer
1,supercapacitor,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Domain_of_relevance
2,electrode,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Domain_of_relevance
3,materials,_,material,_,NNS,1,_,_,_,_,_,_,_,I-Domain_of_relevance
4,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Domain_of_relevance
5,nanostructures,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Domain_of_relevance
6,from,_,from,_,IN,1,_,_,_,_,_,from.prep,Evidence,S-Degree
7,0,_,0,_,CD,1,_,_,_,_,_,_,_,B-Proposition
8,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Proposition
9,3,_,3,_,CD,1,_,_,_,_,_,_,_,B-Degree
10,dimensions,_,dimension,_,NNS,1,_,_,_,_,_,_,_,I-Degree
11,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,supercapacitor,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Time
2,electrode,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
3,materials,_,material,_,NNS,1,_,_,_,_,_,_,_,I-Time
4,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Time
5,nanostructures,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Time
6,from,_,from,_,IN,1,_,_,_,_,_,_,_,I-Time
7,0,_,0,_,CD,1,_,_,_,_,_,_,_,I-Time
8,to,_,to,_,TO,1,_,_,_,_,_,to.prep,Goal,I-Time
9,3,_,3,_,CD,1,_,_,_,_,_,_,_,I-Time
10,dimensions,_,dimension,_,NNS,1,_,_,_,_,_,_,_,I-Time
11,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Time
1,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Descriptor
