ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,biochar,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
2,amendment,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
3,to,_,to,_,TO,1,_,_,_,_,_,to.prep,Goal,O
4,soils,_,soil,_,VB,1,_,_,_,_,_,_,_,O
5,with,_,with,_,IN,1,_,_,_,_,_,_,_,O
6,contrasting,_,contrast,_,VBG,1,_,_,_,_,_,_,_,O
7,organic,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
8,matter,_,matter,_,NN,1,_,_,_,_,_,_,_,O
9,level,_,level,_,NN,1,_,_,_,_,_,_,_,O
10,:,_,:,_,:,1,_,_,_,_,_,_,_,O
11,effects,_,effect,_,NNS,1,_,_,_,_,_,_,_,O
12,on,_,on,_,IN,1,_,_,_,_,_,_,_,O
13,n,_,N,_,NNP,1,_,_,_,_,_,_,_,O
14,mineralization,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
15,and,_,and,_,CC,1,_,_,_,_,_,_,_,O
16,biological,_,biological,_,JJ,1,_,_,_,_,_,_,_,O
17,soil,_,soil,_,NN,1,_,_,_,_,_,_,_,O
18,properties,_,property,_,NNS,1,_,_,_,_,_,_,_,O
19,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,biochar,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
2,amendment,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
3,to,_,to,_,TO,1,_,_,_,_,_,_,_,O
4,soils,_,soil,_,VB,1,_,_,_,_,_,_,_,O
5,with,_,with,_,IN,1,_,_,_,_,_,_,_,O
6,contrasting,_,contrast,_,VBG,1,_,_,_,_,_,_,_,O
7,organic,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
8,matter,_,matter,_,NN,1,_,_,_,_,_,_,_,O
9,level,_,level,_,NN,1,_,_,_,_,_,level.n,Gizmo,O
10,:,_,:,_,:,1,_,_,_,_,_,_,_,B-Use
11,effects,_,effect,_,NNS,1,_,_,_,_,_,_,_,I-Use
12,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Use
13,n,_,N,_,NNP,1,_,_,_,_,_,_,_,I-Use
14,mineralization,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Use
15,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Use
16,biological,_,biological,_,JJ,1,_,_,_,_,_,_,_,I-Use
17,soil,_,soil,_,NN,1,_,_,_,_,_,_,_,I-Use
18,properties,_,property,_,NNS,1,_,_,_,_,_,_,_,I-Use
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Use
1,biochar,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Time
2,amendment,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Time
3,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Time
4,soils,_,soil,_,VB,1,_,_,_,_,_,_,_,I-Time
5,with,_,with,_,IN,1,_,_,_,_,_,_,_,I-Time
6,contrasting,_,contrast,_,VBG,1,_,_,_,_,_,_,_,I-Time
7,organic,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
8,matter,_,matter,_,NN,1,_,_,_,_,_,_,_,I-Time
9,level,_,level,_,NN,1,_,_,_,_,_,_,_,I-Time
10,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Time
11,effects,_,effect,_,NNS,1,_,_,_,_,_,effect.n,Being_in_effect,S-Degree
12,on,_,on,_,IN,1,_,_,_,_,_,_,_,B-Binding_principle
13,n,_,N,_,NNP,1,_,_,_,_,_,_,_,I-Binding_principle
14,mineralization,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Binding_principle
15,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Binding_principle
16,biological,_,biological,_,JJ,1,_,_,_,_,_,_,_,I-Binding_principle
17,soil,_,soil,_,NN,1,_,_,_,_,_,_,_,I-Binding_principle
18,properties,_,property,_,NNS,1,_,_,_,_,_,_,_,I-Binding_principle
19,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,biochar,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Time
2,amendment,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Time
3,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Time
4,soils,_,soil,_,VB,1,_,_,_,_,_,_,_,I-Time
5,with,_,with,_,IN,1,_,_,_,_,_,_,_,I-Time
6,contrasting,_,contrast,_,VBG,1,_,_,_,_,_,_,_,I-Time
7,organic,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
8,matter,_,matter,_,NN,1,_,_,_,_,_,_,_,I-Time
9,level,_,level,_,NN,1,_,_,_,_,_,_,_,I-Time
10,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Time
11,effects,_,effect,_,NNS,1,_,_,_,_,_,_,_,I-Time
12,on,_,on,_,IN,1,_,_,_,_,_,on.prep,Being_in_operation,O
13,n,_,N,_,NNP,1,_,_,_,_,_,_,_,B-Duration
14,mineralization,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Duration
15,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Duration
16,biological,_,biological,_,JJ,1,_,_,_,_,_,_,_,I-Duration
17,soil,_,soil,_,NN,1,_,_,_,_,_,_,_,I-Duration
18,properties,_,property,_,NNS,1,_,_,_,_,_,_,_,I-Duration
19,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,biochar,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Part
2,amendment,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Part
3,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Part
4,soils,_,soil,_,VB,1,_,_,_,_,_,_,_,I-Part
