ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,global,_,Global,_,JJ,0,_,_,_,_,_,_,_,S-Exchanger_2
2,change,_,change,_,NN,0,_,_,_,_,_,change.n,Exchange,O
3,biology,_,UNK,_,NN,0,_,_,_,_,_,_,_,B-Manner
4,bioenergy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Manner
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Manner
1,global,_,Global,_,JJ,0,_,_,_,_,_,_,_,S-Exchanger_2
2,change,_,change,_,NN,0,_,_,_,_,_,change.n,Exchange,O
3,biology,_,UNK,_,NN,0,_,_,_,_,_,_,_,B-Manner
4,bioenergy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Manner
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Manner
1,global,_,Global,_,JJ,0,_,_,_,_,_,_,_,S-Exchanger_2
2,change,_,change,_,NN,0,_,_,_,_,_,change.n,Exchange,O
3,biology,_,UNK,_,NN,0,_,_,_,_,_,_,_,B-Manner
4,bioenergy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Manner
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Manner
1,global,_,Global,_,JJ,0,_,_,_,_,_,_,_,S-Exchanger_2
2,change,_,change,_,NN,0,_,_,_,_,_,change.n,Exchange,O
3,biology,_,UNK,_,NN,0,_,_,_,_,_,_,_,B-Manner
4,bioenergy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Manner
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Manner
1,global,_,Global,_,JJ,0,_,_,_,_,_,_,_,S-Exchanger_2
2,change,_,change,_,NN,0,_,_,_,_,_,change.n,Exchange,O
3,biology,_,UNK,_,NN,0,_,_,_,_,_,_,_,B-Manner
4,bioenergy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Manner
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Manner
1,global,_,Global,_,JJ,0,_,_,_,_,_,_,_,S-Exchanger_2
2,change,_,change,_,NN,0,_,_,_,_,_,change.n,Exchange,O
3,biology,_,UNK,_,NN,0,_,_,_,_,_,_,_,B-Manner
4,bioenergy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Manner
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Manner
1,global,_,Global,_,JJ,0,_,_,_,_,_,_,_,S-Exchanger_2
2,change,_,change,_,NN,0,_,_,_,_,_,change.n,Exchange,O
3,biology,_,UNK,_,NN,0,_,_,_,_,_,_,_,B-Manner
4,bioenergy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Manner
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Manner
1,global,_,Global,_,JJ,0,_,_,_,_,_,_,_,S-Exchanger_2
2,change,_,change,_,NN,0,_,_,_,_,_,change.n,Exchange,O
3,biology,_,UNK,_,NN,0,_,_,_,_,_,_,_,B-Manner
4,bioenergy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Manner
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Manner
1,global,_,Global,_,JJ,0,_,_,_,_,_,_,_,S-Exchanger_2
2,change,_,change,_,NN,0,_,_,_,_,_,change.n,Exchange,O
3,biology,_,UNK,_,NN,0,_,_,_,_,_,_,_,B-Manner
4,bioenergy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Manner
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Manner
1,global,_,Global,_,JJ,0,_,_,_,_,_,_,_,S-Exchanger_2
2,change,_,change,_,NN,0,_,_,_,_,_,change.n,Exchange,O
3,biology,_,UNK,_,NN,0,_,_,_,_,_,_,_,B-Manner
4,bioenergy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Manner
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Manner
1,global,_,Global,_,JJ,0,_,_,_,_,_,_,_,S-Exchanger_2
2,change,_,change,_,NN,0,_,_,_,_,_,change.n,Exchange,O
3,biology,_,UNK,_,NN,0,_,_,_,_,_,_,_,B-Manner
4,bioenergy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Manner
