ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,a,_,A,_,DT,2,_,_,_,_,_,_,_,B-Aggregate_property
2,new,_,new,_,JJ,2,_,_,_,_,_,_,_,I-Aggregate_property
3,class,_,class,_,NN,2,_,_,_,_,_,class.n,Aggregate,O
4,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
5,unk,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
6,",",_,",",_,",",2,_,_,_,_,_,_,_,O
7,yet,_,yet,_,RB,2,_,_,_,_,_,_,_,O
8,energy-efficient,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
9,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
10,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
11,(,_,(,_,(,2,_,_,_,_,_,_,_,O
12,mimo,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
13,),_,),_,),2,_,_,_,_,_,_,_,O
14,transmission,_,transmission,_,NN,2,_,_,_,_,_,_,_,O
15,techniques,_,technique,_,NNS,2,_,_,_,_,_,_,_,O
16,",",_,",",_,",",2,_,_,_,_,_,_,_,O
17,namely,_,namely,_,RB,2,_,_,_,_,_,_,_,O
18,",",_,",",_,",",2,_,_,_,_,_,_,_,O
19,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
20,family,_,family,_,NN,2,_,_,_,_,_,_,_,O
21,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
22,spatial,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
23,modulation,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
24,(,_,(,_,(,2,_,_,_,_,_,_,_,B-Aggregate_property
25,sm,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Aggregate_property
26,),_,),_,),2,_,_,_,_,_,_,_,I-Aggregate_property
27,aided,_,aid,_,VBD,2,_,_,_,_,_,_,_,I-Aggregate_property
28,mimos,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Aggregate_property
29,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Aggregate_property
30,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Aggregate_property
31,),_,),_,),2,_,_,_,_,_,_,_,I-Aggregate_property
32,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Aggregate_property
33,has,_,have,_,VBZ,2,_,_,_,_,_,_,_,I-Aggregate_property
34,emerged,_,emerge,_,VBN,2,_,_,_,_,_,_,_,I-Aggregate_property
35,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Aggregate_property
1,a,_,A,_,DT,2,_,_,_,_,_,_,_,O
2,new,_,new,_,JJ,2,_,_,_,_,_,_,_,O
3,class,_,class,_,NN,2,_,_,_,_,_,_,_,O
4,of,_,of,_,IN,2,_,_,_,_,_,of.prep,Age,S-Degree
5,unk,_,UNK,_,NN,2,_,_,_,_,_,_,_,B-Age
6,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Age
7,yet,_,yet,_,RB,2,_,_,_,_,_,_,_,I-Age
8,energy-efficient,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Age
9,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Age
10,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Age
11,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Age
12,mimo,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Age
13,),_,),_,),2,_,_,_,_,_,_,_,I-Age
14,transmission,_,transmission,_,NN,2,_,_,_,_,_,_,_,I-Age
15,techniques,_,technique,_,NNS,2,_,_,_,_,_,_,_,I-Age
16,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Age
17,namely,_,namely,_,RB,2,_,_,_,_,_,_,_,I-Age
18,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Age
19,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Age
20,family,_,family,_,NN,2,_,_,_,_,_,_,_,I-Age
21,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Age
22,spatial,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Age
23,modulation,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Age
24,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Age
25,sm,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Age
26,),_,),_,),2,_,_,_,_,_,_,_,I-Age
27,aided,_,aid,_,VBD,2,_,_,_,_,_,_,_,I-Age
28,mimos,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Age
29,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Age
30,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Age
31,),_,),_,),2,_,_,_,_,_,_,_,I-Age
32,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Age
33,has,_,have,_,VBZ,2,_,_,_,_,_,_,_,I-Age
34,emerged,_,emerge,_,VBN,2,_,_,_,_,_,_,_,I-Age
35,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Age
1,a,_,A,_,DT,2,_,_,_,_,_,_,_,B-Individuals
2,new,_,new,_,JJ,2,_,_,_,_,_,_,_,I-Individuals
3,class,_,class,_,NN,2,_,_,_,_,_,_,_,I-Individuals
4,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Individuals
5,unk,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Individuals
6,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Individuals
7,yet,_,yet,_,RB,2,_,_,_,_,_,_,_,I-Individuals
8,energy-efficient,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Individuals
9,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Individuals
10,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Individuals
11,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Individuals
12,mimo,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Individuals
13,),_,),_,),2,_,_,_,_,_,_,_,I-Individuals
14,transmission,_,transmission,_,NN,2,_,_,_,_,_,_,_,I-Individuals
15,techniques,_,technique,_,NNS,2,_,_,_,_,_,_,_,I-Individuals
16,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Individuals
17,namely,_,namely,_,RB,2,_,_,_,_,_,_,_,I-Individuals
18,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Individuals
19,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Individuals
20,family,_,family,_,NN,2,_,_,_,_,_,family.n,Aggregate,O
21,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
22,spatial,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
23,modulation,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
24,(,_,(,_,(,2,_,_,_,_,_,_,_,O
25,sm,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
26,),_,),_,),2,_,_,_,_,_,_,_,O
27,aided,_,aid,_,VBD,2,_,_,_,_,_,_,_,O
28,mimos,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
29,(,_,(,_,(,2,_,_,_,_,_,_,_,O
30,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
31,),_,),_,),2,_,_,_,_,_,_,_,O
32,",",_,",",_,",",2,_,_,_,_,_,_,_,O
33,has,_,have,_,VBZ,2,_,_,_,_,_,_,_,O
34,emerged,_,emerge,_,VBN,2,_,_,_,_,_,_,_,O
35,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,a,_,A,_,DT,2,_,_,_,_,_,_,_,B-Age
2,new,_,new,_,JJ,2,_,_,_,_,_,_,_,I-Age
3,class,_,class,_,NN,2,_,_,_,_,_,_,_,I-Age
4,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Age
5,unk,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Age
6,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Age
7,yet,_,yet,_,RB,2,_,_,_,_,_,_,_,I-Age
8,energy-efficient,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Age
9,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Age
10,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Age
11,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Age
