ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,in,_,In,_,IN,2,_,_,_,_,_,_,_,S-Trajector_event
2,the,_,the,_,DT,2,_,_,_,_,_,_,_,S-Landmark_period
3,era,_,era,_,NN,2,_,_,_,_,_,era.n,Calendric_unit,B-Unit
4,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Unit
5,mobile,_,mobile,_,JJ,2,_,_,_,_,_,_,_,I-Unit
6,internet,_,Internet,_,NNP,2,_,_,_,_,_,_,_,I-Unit
7,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Unit
8,mobile,_,mobile,_,NN,2,_,_,_,_,_,_,_,I-Unit
9,operators,_,operator,_,NNS,2,_,_,_,_,_,_,_,I-Unit
10,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Unit
11,facing,_,face,_,VBG,2,_,_,_,_,_,_,_,I-Unit
12,pressure,_,pressure,_,NN,2,_,_,_,_,_,_,_,I-Unit
13,on,_,on,_,IN,2,_,_,_,_,_,_,_,I-Unit
14,ever-increasing,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Unit
15,capital,_,capital,_,NN,2,_,_,_,_,_,_,_,I-Unit
16,expenditures,_,expenditure,_,NNS,2,_,_,_,_,_,_,_,I-Unit
17,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Unit
18,operating,_,operating,_,NN,2,_,_,_,_,_,_,_,I-Unit
19,expenses,_,expense,_,NNS,2,_,_,_,_,_,_,_,I-Unit
20,with,_,with,_,IN,2,_,_,_,_,_,_,_,I-Unit
21,much,_,much,_,JJ,2,_,_,_,_,_,_,_,I-Unit
22,less,_,le,_,JJR,2,_,_,_,_,_,_,_,I-Unit
23,growth,_,growth,_,NN,2,_,_,_,_,_,_,_,I-Unit
24,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Unit
25,income,_,income,_,NN,2,_,_,_,_,_,_,_,I-Unit
26,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Unit
1,in,_,In,_,IN,2,_,_,_,_,_,_,_,O
2,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
3,era,_,era,_,NN,2,_,_,_,_,_,_,_,O
4,of,_,of,_,IN,2,_,_,_,_,_,of.prep,Age,S-Degree
5,mobile,_,mobile,_,JJ,2,_,_,_,_,_,_,_,B-Age
