ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,cloud,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Connections
2,radio,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Connections
3,access,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Connections
4,network,_,Network,_,NNP,1,_,_,_,_,_,network.n,Network,O
5,(,_,(,_,(,1,_,_,_,_,_,_,_,B-Possessor
6,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Possessor
7,),_,),_,),1,_,_,_,_,_,_,_,I-Possessor
8,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Possessor
9,a,_,A,_,DT,1,_,_,_,_,_,_,_,I-Possessor
10,primer,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Possessor
11,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Possessor
1,improving,_,UNK,_,VBG,1,_,_,_,_,_,_,_,S-Degree
2,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,S-Domain
3,security,_,Security,_,NNP,1,_,_,_,_,_,security.n,Being_at_risk,B-Degree
4,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Degree
5,wireless,_,Wireless,_,NNP,1,_,_,_,_,_,_,_,I-Degree
6,communications,_,Communications,_,NNPS,1,_,_,_,_,_,_,_,I-Degree
7,using,_,Using,_,NNP,1,_,_,_,_,_,_,_,I-Degree
8,diversity,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
9,techniques,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
10,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Time
2,communications,_,Communications,_,NNP,1,_,_,_,_,_,_,_,I-Time
3,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
4,enhancing,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Manner
5,quality,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
6,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Manner
7,experience,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
8,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Manner
9,software,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
10,defined,_,UNK,_,VBD,1,_,_,_,_,_,_,_,I-Manner
11,multi-tier,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
12,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
13,networks,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
14,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
2,communications,_,Communications,_,NNP,1,_,_,_,_,_,_,_,O
3,for,_,for,_,IN,1,_,_,_,_,_,_,_,O
4,enhancing,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
5,quality,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
6,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
7,experience,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Age
8,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Age
9,software,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
10,defined,_,UNK,_,VBD,1,_,_,_,_,_,_,_,I-Age
11,multi-tier,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
12,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
