ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Time
2,robust,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
3,attitude,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
4,control,_,Control,_,NNP,1,_,_,_,_,_,_,_,I-Time
5,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
6,uncertain,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Cognizer
7,robotic,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Cognizer
8,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Cognizer
9,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Cognizer
1,a,_,A,_,DT,2,_,_,_,_,_,_,_,S-Time
2,robust,_,robust,_,JJ,2,_,_,_,_,_,robust.a,Level_of_force_resistance,S-Degree
3,nonlinear,_,UNK,_,JJ,2,_,_,_,_,_,_,_,B-Opposing_force
4,attitude,_,attitude,_,NN,2,_,_,_,_,_,_,_,I-Opposing_force
5,control,_,control,_,NN,2,_,_,_,_,_,_,_,I-Opposing_force
6,method,_,method,_,NN,2,_,_,_,_,_,_,_,I-Opposing_force
7,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Opposing_force
8,proposed,_,propose,_,VBN,2,_,_,_,_,_,_,_,I-Opposing_force
9,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Opposing_force
10,uncertain,_,uncertain,_,JJ,2,_,_,_,_,_,_,_,I-Opposing_force
11,robotic,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Opposing_force
12,unk,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Opposing_force
13,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Opposing_force
1,a,_,A,_,DT,2,_,_,_,_,_,_,_,B-Time
2,robust,_,robust,_,JJ,2,_,_,_,_,_,_,_,I-Time
3,nonlinear,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Time
4,attitude,_,attitude,_,NN,2,_,_,_,_,_,_,_,I-Time
5,control,_,control,_,NN,2,_,_,_,_,_,control.n,Control,S-Degree
6,method,_,method,_,NN,2,_,_,_,_,_,_,_,S-Manner
7,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,B-Degree
8,proposed,_,propose,_,VBN,2,_,_,_,_,_,_,_,I-Degree
9,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Degree
