ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,as,_,As,_,IN,2,_,_,_,_,_,_,_,B-Descriptor
2,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Descriptor
3,promising,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Descriptor
4,paradigm,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Descriptor
5,for,_,for,_,IN,2,_,_,_,_,_,for.prep,Taking_sides,S-Degree
6,fifth,_,fifth,_,JJ,2,_,_,_,_,_,_,_,B-Manner
7,generation,_,generation,_,NN,2,_,_,_,_,_,_,_,I-Manner
8,wireless,_,wireless,_,NN,2,_,_,_,_,_,_,_,I-Manner
9,communication,_,communication,_,NN,2,_,_,_,_,_,_,_,I-Manner
10,systems,_,system,_,NNS,2,_,_,_,_,_,_,_,I-Manner
11,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Manner
12,cloud,_,cloud,_,JJ,2,_,_,_,_,_,_,_,I-Manner
13,radio,_,radio,_,NN,2,_,_,_,_,_,_,_,I-Manner
14,access,_,access,_,NN,2,_,_,_,_,_,_,_,I-Manner
15,networks,_,network,_,NNS,2,_,_,_,_,_,_,_,I-Manner
16,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Manner
17,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
18,),_,),_,),2,_,_,_,_,_,_,_,I-Manner
19,have,_,have,_,VBP,2,_,_,_,_,_,_,_,I-Manner
20,been,_,be,_,VBN,2,_,_,_,_,_,_,_,I-Manner
21,shown,_,show,_,VBN,2,_,_,_,_,_,_,_,I-Manner
22,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Manner
23,reduce,_,reduce,_,VB,2,_,_,_,_,_,_,_,I-Manner
24,both,_,both,_,DT,2,_,_,_,_,_,_,_,I-Manner
25,capital,_,capital,_,NN,2,_,_,_,_,_,_,_,I-Manner
26,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Manner
27,operating,_,operating,_,NN,2,_,_,_,_,_,_,_,I-Manner
28,expenditures,_,expenditure,_,NNS,2,_,_,_,_,_,_,_,B-Degree
29,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Degree
30,as,_,a,_,RB,2,_,_,_,_,_,_,_,I-Degree
31,well,_,well,_,RB,2,_,_,_,_,_,_,_,I-Degree
32,as,_,a,_,IN,2,_,_,_,_,_,_,_,I-Degree
33,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Degree
34,provide,_,provide,_,VB,2,_,_,_,_,_,_,_,I-Degree
35,high,_,high,_,JJ,2,_,_,_,_,_,_,_,I-Degree
36,spectral,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Degree
37,efficiency,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Degree
38,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Degree
