ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,static,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Origin
2,bending,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Origin
3,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Origin
4,free,_,free,_,JJ,1,_,_,_,_,_,free.a,Expensiveness,S-Degree
5,vibration,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
6,of,_,of,_,IN,1,_,_,_,_,_,_,_,O
7,a,_,a,_,DT,1,_,_,_,_,_,_,_,O
8,functionally,_,UNK,_,RB,1,_,_,_,_,_,_,_,O
9,graded,_,grade,_,VBN,1,_,_,_,_,_,_,_,O
10,piezoelectric,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
11,microplate,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
12,based,_,base,_,VBN,1,_,_,_,_,_,_,_,O
13,on,_,on,_,IN,1,_,_,_,_,_,_,_,O
14,the,_,the,_,DT,1,_,_,_,_,_,_,_,O
15,modified,_,modify,_,VBN,1,_,_,_,_,_,_,_,O
16,unk,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
17,theory,_,theory,_,NN,1,_,_,_,_,_,_,_,O
18,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,static,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Part_prop
2,bending,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Part_prop
3,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Part_prop
4,free,_,free,_,JJ,1,_,_,_,_,_,_,_,I-Part_prop
5,vibration,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Part_prop
6,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Part_prop
7,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Part_prop
8,functionally,_,UNK,_,RB,1,_,_,_,_,_,_,_,I-Part_prop
9,graded,_,grade,_,VBN,1,_,_,_,_,_,_,_,I-Part_prop
10,piezoelectric,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Part_prop
11,microplate,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Part_prop
12,based,_,base,_,VBN,1,_,_,_,_,_,base.n,Part_orientational,I-Part_prop
13,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Part_prop
14,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Part_prop
15,modified,_,modify,_,VBN,1,_,_,_,_,_,_,_,I-Part_prop
16,unk,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Part_prop
17,theory,_,theory,_,NN,1,_,_,_,_,_,_,_,I-Part_prop
18,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Part_prop
1,static,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Time
2,bending,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Time
3,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Time
4,free,_,free,_,JJ,1,_,_,_,_,_,_,_,I-Time
5,vibration,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Time
6,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Time
7,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Time
8,functionally,_,UNK,_,RB,1,_,_,_,_,_,_,_,I-Time
9,graded,_,grade,_,VBN,1,_,_,_,_,_,_,_,I-Time
10,piezoelectric,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
11,microplate,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Time
12,based,_,base,_,VBN,1,_,_,_,_,_,_,_,I-Time
13,on,_,on,_,IN,1,_,_,_,_,_,on.prep,Being_in_operation,O
14,the,_,the,_,DT,1,_,_,_,_,_,_,_,S-Time
15,modified,_,modify,_,VBN,1,_,_,_,_,_,_,_,O
16,unk,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
17,theory,_,theory,_,NN,1,_,_,_,_,_,_,_,O
18,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,static,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Degree
2,bending,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Degree
3,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Degree
4,free,_,free,_,JJ,1,_,_,_,_,_,_,_,I-Degree
5,vibration,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Degree
6,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Degree
