ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,evolution,_,UNK,_,NN,1,_,_,_,_,_,_,_,S-Descriptor
2,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
3,marketing,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Age
4,as,_,a,_,IN,1,_,_,_,_,_,_,_,I-Age
5,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Age
6,discipline,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
7,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Age
8,what,_,What,_,WP,1,_,_,_,_,_,_,_,I-Age
9,has,_,Has,_,NNP,1,_,_,_,_,_,_,_,I-Age
10,happened,_,UNK,_,VBN,1,_,_,_,_,_,_,_,I-Age
11,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Age
12,what,_,What,_,WP,1,_,_,_,_,_,_,_,I-Age
13,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Age
14,look,_,Look,_,VB,1,_,_,_,_,_,_,_,I-Age
15,out,_,Out,_,RP,1,_,_,_,_,_,_,_,I-Age
16,for,_,For,_,IN,1,_,_,_,_,_,_,_,I-Age
17,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Age
1,evolution,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Time
2,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Time
3,marketing,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
4,as,_,a,_,IN,1,_,_,_,_,_,_,_,I-Time
5,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Time
6,discipline,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Time
7,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Time
8,what,_,What,_,WP,1,_,_,_,_,_,_,_,I-Time
9,has,_,Has,_,NNP,1,_,_,_,_,_,_,_,I-Time
10,happened,_,UNK,_,VBN,1,_,_,_,_,_,_,_,I-Time
11,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Time
12,what,_,What,_,WP,1,_,_,_,_,_,_,_,I-Time
13,to,_,to,_,TO,1,_,_,_,_,_,to.prep,Goal,I-Time
14,look,_,Look,_,VB,1,_,_,_,_,_,_,_,I-Time
15,out,_,Out,_,RP,1,_,_,_,_,_,_,_,I-Time
16,for,_,For,_,IN,1,_,_,_,_,_,_,_,I-Time
17,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Time
1,evolution,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Manner
2,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Manner
3,marketing,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
4,as,_,a,_,IN,1,_,_,_,_,_,_,_,I-Manner
5,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Manner
6,discipline,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Manner
7,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Manner
8,what,_,What,_,WP,1,_,_,_,_,_,_,_,I-Manner
9,has,_,Has,_,NNP,1,_,_,_,_,_,_,_,I-Manner
10,happened,_,UNK,_,VBN,1,_,_,_,_,_,_,_,I-Manner
11,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Manner
12,what,_,What,_,WP,1,_,_,_,_,_,_,_,I-Manner
13,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Manner
