ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,implicit,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
2,and,_,and,_,CC,1,_,_,_,_,_,_,_,O
3,explicit,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
4,contributions,_,UNK,_,NNS,1,_,_,_,_,_,_,_,O
5,to,_,to,_,TO,1,_,_,_,_,_,to.prep,Goal,O
6,statistical,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
7,learning,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
8,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,statistical,_,UNK,_,JJ,2,_,_,_,_,_,_,_,B-State_of_affairs
2,learning,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-State_of_affairs
3,allows,_,allow,_,VBZ,2,_,_,_,_,_,allow.v,Prevent_or_allow_possession,O
4,learners,_,UNK,_,NNS,2,_,_,_,_,_,_,_,B-Time
5,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Time
6,detect,_,detect,_,VB,2,_,_,_,_,_,_,_,I-Time
7,regularities,_,UNK,_,NNS,2,_,_,_,_,_,_,_,B-Purpose
8,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Purpose
9,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Purpose
10,environment,_,environment,_,NN,2,_,_,_,_,_,_,_,B-State_of_affairs
11,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-State_of_affairs
12,appears,_,appear,_,VBZ,2,_,_,_,_,_,_,_,I-State_of_affairs
13,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-State_of_affairs
14,emerge,_,emerge,_,VB,2,_,_,_,_,_,_,_,I-State_of_affairs
15,automatically,_,automatically,_,RB,2,_,_,_,_,_,_,_,I-State_of_affairs
16,as,_,a,_,IN,2,_,_,_,_,_,_,_,I-State_of_affairs
17,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-State_of_affairs
18,consequence,_,consequence,_,NN,2,_,_,_,_,_,_,_,I-State_of_affairs
19,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-State_of_affairs
20,experience,_,experience,_,NN,2,_,_,_,_,_,_,_,I-State_of_affairs
21,.,_,.,_,.,2,_,_,_,_,_,_,_,I-State_of_affairs
1,statistical,_,UNK,_,JJ,2,_,_,_,_,_,_,_,B-Time
2,learning,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Time
3,allows,_,allow,_,VBZ,2,_,_,_,_,_,_,_,I-Time
4,learners,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Time
5,to,_,to,_,TO,2,_,_,_,_,_,to.prep,Goal,I-Time
6,detect,_,detect,_,VB,2,_,_,_,_,_,_,_,I-Time
7,regularities,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Time
8,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Time
9,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Time
10,environment,_,environment,_,NN,2,_,_,_,_,_,_,_,I-Time
11,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Time
12,appears,_,appear,_,VBZ,2,_,_,_,_,_,_,_,I-Time
13,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Time
14,emerge,_,emerge,_,VB,2,_,_,_,_,_,_,_,I-Time
15,automatically,_,automatically,_,RB,2,_,_,_,_,_,_,_,I-Time
16,as,_,a,_,IN,2,_,_,_,_,_,_,_,I-Time
17,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Time
18,consequence,_,consequence,_,NN,2,_,_,_,_,_,_,_,I-Time
19,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Time
20,experience,_,experience,_,NN,2,_,_,_,_,_,_,_,I-Time
21,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Time
1,statistical,_,UNK,_,JJ,2,_,_,_,_,_,_,_,B-Obscuring_medium
2,learning,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Obscuring_medium
3,allows,_,allow,_,VBZ,2,_,_,_,_,_,_,_,I-Obscuring_medium
