ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Unit
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Unit
3,second,_,second,_,JJ,0,_,_,_,_,_,second.a,Measure_duration,O
4,language,_,language,_,NN,0,_,_,_,_,_,_,_,B-Unit
5,writing,_,writing,_,NN,0,_,_,_,_,_,_,_,I-Unit
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Unit
1,what,_,What,_,WP,1,_,_,_,_,_,_,_,B-Student
2,our,_,our,_,PRP$,1,_,_,_,_,_,_,_,I-Student
3,students,_,student,_,NNS,1,_,_,_,_,_,student.n,Education_teaching,S-Degree
4,tell,_,tell,_,VBP,1,_,_,_,_,_,_,_,B-Manner
5,us,_,u,_,PRP,1,_,_,_,_,_,_,_,I-Manner
6,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Manner
7,perceptions,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Manner
8,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Manner
9,three,_,three,_,CD,1,_,_,_,_,_,_,_,I-Manner
10,multilingual,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Manner
11,students,_,student,_,NNS,1,_,_,_,_,_,_,_,I-Manner
12,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Manner
13,their,_,their,_,PRP$,1,_,_,_,_,_,_,_,I-Manner
14,academic,_,academic,_,JJ,1,_,_,_,_,_,_,_,I-Manner
15,writing,_,writing,_,NN,1,_,_,_,_,_,_,_,I-Manner
16,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Manner
17,first,_,first,_,JJ,1,_,_,_,_,_,_,_,I-Manner
18,year,_,year,_,NN,1,_,_,_,_,_,_,_,I-Manner
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,what,_,What,_,WP,1,_,_,_,_,_,_,_,B-Addressee
2,our,_,our,_,PRP$,1,_,_,_,_,_,_,_,I-Addressee
3,students,_,student,_,NNS,1,_,_,_,_,_,_,_,I-Addressee
4,tell,_,tell,_,VBP,1,_,_,_,_,_,tell.v,Statement,S-Degree
5,us,_,u,_,PRP,1,_,_,_,_,_,_,_,B-Message
6,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Message
7,perceptions,_,UNK,_,NNS,1,_,_,_,_,_,_,_,B-Addressee
8,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Addressee
9,three,_,three,_,CD,1,_,_,_,_,_,_,_,I-Addressee
10,multilingual,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Addressee
11,students,_,student,_,NNS,1,_,_,_,_,_,_,_,I-Addressee
12,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Addressee
13,their,_,their,_,PRP$,1,_,_,_,_,_,_,_,I-Addressee
14,academic,_,academic,_,JJ,1,_,_,_,_,_,_,_,I-Addressee
15,writing,_,writing,_,NN,1,_,_,_,_,_,_,_,I-Addressee
16,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Addressee
17,first,_,first,_,JJ,1,_,_,_,_,_,_,_,I-Addressee
18,year,_,year,_,NN,1,_,_,_,_,_,_,_,I-Addressee
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Addressee
1,what,_,What,_,WP,1,_,_,_,_,_,_,_,B-Age
2,our,_,our,_,PRP$,1,_,_,_,_,_,_,_,I-Age
3,students,_,student,_,NNS,1,_,_,_,_,_,_,_,I-Age
4,tell,_,tell,_,VBP,1,_,_,_,_,_,_,_,I-Age
5,us,_,u,_,PRP,1,_,_,_,_,_,_,_,I-Age
6,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Age
7,perceptions,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Age
8,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
9,three,_,three,_,CD,1,_,_,_,_,_,_,_,B-Age
10,multilingual,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Age
11,students,_,student,_,NNS,1,_,_,_,_,_,_,_,I-Age
12,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Age
13,their,_,their,_,PRP$,1,_,_,_,_,_,_,_,I-Age
14,academic,_,academic,_,JJ,1,_,_,_,_,_,_,_,I-Age
15,writing,_,writing,_,NN,1,_,_,_,_,_,_,_,I-Age
16,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Age
17,first,_,first,_,JJ,1,_,_,_,_,_,_,_,I-Age
18,year,_,year,_,NN,1,_,_,_,_,_,_,_,I-Age
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Age
1,what,_,What,_,WP,1,_,_,_,_,_,_,_,B-Unit
2,our,_,our,_,PRP$,1,_,_,_,_,_,_,_,I-Unit
3,students,_,student,_,NNS,1,_,_,_,_,_,_,_,I-Unit
4,tell,_,tell,_,VBP,1,_,_,_,_,_,_,_,I-Unit
5,us,_,u,_,PRP,1,_,_,_,_,_,_,_,I-Unit
6,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Unit
7,perceptions,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Unit
8,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Unit
9,three,_,three,_,CD,1,_,_,_,_,_,three.num,Cardinal_numbers,O
10,multilingual,_,UNK,_,JJ,1,_,_,_,_,_,_,_,S-Precision
11,students,_,student,_,NNS,1,_,_,_,_,_,_,_,B-Unit
12,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Unit
13,their,_,their,_,PRP$,1,_,_,_,_,_,_,_,I-Unit
14,academic,_,academic,_,JJ,1,_,_,_,_,_,_,_,I-Unit
15,writing,_,writing,_,NN,1,_,_,_,_,_,_,_,I-Unit
16,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Unit
17,first,_,first,_,JJ,1,_,_,_,_,_,_,_,I-Unit
18,year,_,year,_,NN,1,_,_,_,_,_,_,_,I-Unit
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Unit
1,what,_,What,_,WP,1,_,_,_,_,_,_,_,B-Level
2,our,_,our,_,PRP$,1,_,_,_,_,_,_,_,I-Level
3,students,_,student,_,NNS,1,_,_,_,_,_,_,_,I-Level
4,tell,_,tell,_,VBP,1,_,_,_,_,_,_,_,I-Level
5,us,_,u,_,PRP,1,_,_,_,_,_,_,_,I-Level
6,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Level
7,perceptions,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Level
8,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Level
9,three,_,three,_,CD,1,_,_,_,_,_,_,_,I-Level
10,multilingual,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Level
11,students,_,student,_,NNS,1,_,_,_,_,_,student.n,Education_teaching,S-Degree
12,on,_,on,_,IN,1,_,_,_,_,_,_,_,B-Level
13,their,_,their,_,PRP$,1,_,_,_,_,_,_,_,I-Level
14,academic,_,academic,_,JJ,1,_,_,_,_,_,_,_,I-Level
15,writing,_,writing,_,NN,1,_,_,_,_,_,_,_,I-Level
16,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Level
17,first,_,first,_,JJ,1,_,_,_,_,_,_,_,I-Level
18,year,_,year,_,NN,1,_,_,_,_,_,_,_,I-Level
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Level
1,what,_,What,_,WP,1,_,_,_,_,_,_,_,B-Time
2,our,_,our,_,PRP$,1,_,_,_,_,_,_,_,I-Time
3,students,_,student,_,NNS,1,_,_,_,_,_,_,_,I-Time
4,tell,_,tell,_,VBP,1,_,_,_,_,_,_,_,I-Time
5,us,_,u,_,PRP,1,_,_,_,_,_,_,_,I-Time
6,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Time
7,perceptions,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Time
8,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Time
9,three,_,three,_,CD,1,_,_,_,_,_,_,_,I-Time
10,multilingual,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
11,students,_,student,_,NNS,1,_,_,_,_,_,_,_,I-Time
12,on,_,on,_,IN,1,_,_,_,_,_,on.prep,Being_in_operation,O
13,their,_,their,_,PRP$,1,_,_,_,_,_,_,_,B-Duration
14,academic,_,academic,_,JJ,1,_,_,_,_,_,_,_,I-Duration
15,writing,_,writing,_,NN,1,_,_,_,_,_,_,_,I-Duration
16,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Duration
17,first,_,first,_,JJ,1,_,_,_,_,_,_,_,O
18,year,_,year,_,NN,1,_,_,_,_,_,_,_,O
19,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,what,_,What,_,WP,1,_,_,_,_,_,_,_,B-Activity
2,our,_,our,_,PRP$,1,_,_,_,_,_,_,_,I-Activity
3,students,_,student,_,NNS,1,_,_,_,_,_,_,_,I-Activity
4,tell,_,tell,_,VBP,1,_,_,_,_,_,_,_,I-Activity
5,us,_,u,_,PRP,1,_,_,_,_,_,_,_,I-Activity
6,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Activity
7,perceptions,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Activity
8,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Activity
9,three,_,three,_,CD,1,_,_,_,_,_,_,_,I-Activity
10,multilingual,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Activity
11,students,_,student,_,NNS,1,_,_,_,_,_,_,_,I-Activity
12,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Activity
13,their,_,their,_,PRP$,1,_,_,_,_,_,_,_,I-Activity
14,academic,_,academic,_,JJ,1,_,_,_,_,_,_,_,I-Activity
15,writing,_,writing,_,NN,1,_,_,_,_,_,_,_,I-Activity
16,in,_,in,_,IN,1,_,_,_,_,_,in.prep,Fields,O
17,first,_,first,_,JJ,1,_,_,_,_,_,_,_,B-Type
18,year,_,year,_,NN,1,_,_,_,_,_,_,_,I-Type
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Type
1,what,_,What,_,WP,1,_,_,_,_,_,_,_,B-Unit
2,our,_,our,_,PRP$,1,_,_,_,_,_,_,_,I-Unit
3,students,_,student,_,NNS,1,_,_,_,_,_,_,_,I-Unit
4,tell,_,tell,_,VBP,1,_,_,_,_,_,_,_,I-Unit
5,us,_,u,_,PRP,1,_,_,_,_,_,_,_,I-Unit
6,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Unit
7,perceptions,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Unit
8,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Unit
9,three,_,three,_,CD,1,_,_,_,_,_,_,_,I-Unit
10,multilingual,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Unit
11,students,_,student,_,NNS,1,_,_,_,_,_,_,_,I-Unit
12,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Unit
13,their,_,their,_,PRP$,1,_,_,_,_,_,_,_,I-Unit
14,academic,_,academic,_,JJ,1,_,_,_,_,_,_,_,I-Unit
15,writing,_,writing,_,NN,1,_,_,_,_,_,_,_,I-Unit
16,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Unit
17,first,_,first,_,JJ,1,_,_,_,_,_,_,_,I-Unit
18,year,_,year,_,NN,1,_,_,_,_,_,year.n,Measure_duration,O
19,.,_,.,_,.,1,_,_,_,_,_,_,_,S-Agent
1,over,_,Over,_,IN,2,_,_,_,_,_,_,_,B-Period
2,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Period
3,last,_,last,_,JJ,2,_,_,_,_,_,last.a,Duration_relation,O
4,couple,_,couple,_,NN,2,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
6,decades,_,decade,_,NNS,2,_,_,_,_,_,_,_,O
7,",",_,",",_,",",2,_,_,_,_,_,_,_,O
8,there,_,there,_,EX,2,_,_,_,_,_,_,_,O
9,has,_,have,_,VBZ,2,_,_,_,_,_,_,_,O
10,been,_,be,_,VBN,2,_,_,_,_,_,_,_,O
11,a,_,a,_,DT,2,_,_,_,_,_,_,_,O
12,growing,_,grow,_,VBG,2,_,_,_,_,_,_,_,O
13,recognition,_,recognition,_,NN,2,_,_,_,_,_,_,_,O
14,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
15,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
16,complexity,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
17,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
18,academic,_,academic,_,JJ,2,_,_,_,_,_,_,_,O
19,writing,_,writing,_,NN,2,_,_,_,_,_,_,_,O
20,",",_,",",_,",",2,_,_,_,_,_,_,_,O
21,including,_,include,_,VBG,2,_,_,_,_,_,_,_,O
22,an,_,an,_,DT,2,_,_,_,_,_,_,_,O
23,interest,_,interest,_,NN,2,_,_,_,_,_,_,_,O
24,in,_,in,_,IN,2,_,_,_,_,_,_,_,O
25,how,_,how,_,WRB,2,_,_,_,_,_,_,_,O
26,learners,_,UNK,_,NNS,2,_,_,_,_,_,_,_,O
27,negotiate,_,negotiate,_,VBP,2,_,_,_,_,_,_,_,O
28,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
29,contexts,_,context,_,NN,2,_,_,_,_,_,_,_,O
30,within,_,within,_,IN,2,_,_,_,_,_,_,_,O
31,which,_,which,_,WDT,2,_,_,_,_,_,_,_,O
32,they,_,they,_,PRP,2,_,_,_,_,_,_,_,O
33,learn,_,learn,_,VBP,2,_,_,_,_,_,_,_,O
34,to,_,to,_,TO,2,_,_,_,_,_,_,_,O
35,write,_,write,_,VB,2,_,_,_,_,_,_,_,O
36,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,over,_,Over,_,IN,2,_,_,_,_,_,_,_,B-Partner_1
2,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Partner_1
3,last,_,last,_,JJ,2,_,_,_,_,_,_,_,I-Partner_1
4,couple,_,couple,_,NN,2,_,_,_,_,_,couple.n,Personal_relationship,S-Degree
5,of,_,of,_,IN,2,_,_,_,_,_,_,_,B-Manner
6,decades,_,decade,_,NNS,2,_,_,_,_,_,_,_,I-Manner
7,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Manner
8,there,_,there,_,EX,2,_,_,_,_,_,_,_,I-Manner
9,has,_,have,_,VBZ,2,_,_,_,_,_,_,_,I-Manner
10,been,_,be,_,VBN,2,_,_,_,_,_,_,_,I-Manner
11,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Manner
12,growing,_,grow,_,VBG,2,_,_,_,_,_,_,_,I-Manner
13,recognition,_,recognition,_,NN,2,_,_,_,_,_,_,_,I-Manner
14,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Manner
15,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Manner
16,complexity,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
17,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Manner
18,academic,_,academic,_,JJ,2,_,_,_,_,_,_,_,I-Manner
19,writing,_,writing,_,NN,2,_,_,_,_,_,_,_,I-Manner
20,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Manner
21,including,_,include,_,VBG,2,_,_,_,_,_,_,_,I-Manner
22,an,_,an,_,DT,2,_,_,_,_,_,_,_,I-Manner
23,interest,_,interest,_,NN,2,_,_,_,_,_,_,_,I-Manner
24,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Manner
25,how,_,how,_,WRB,2,_,_,_,_,_,_,_,B-Partner_1
26,learners,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Partner_1
27,negotiate,_,negotiate,_,VBP,2,_,_,_,_,_,_,_,I-Partner_1
28,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Partner_1
29,contexts,_,context,_,NN,2,_,_,_,_,_,_,_,I-Partner_1
30,within,_,within,_,IN,2,_,_,_,_,_,_,_,I-Partner_1
31,which,_,which,_,WDT,2,_,_,_,_,_,_,_,I-Partner_1
32,they,_,they,_,PRP,2,_,_,_,_,_,_,_,I-Partner_1
33,learn,_,learn,_,VBP,2,_,_,_,_,_,_,_,I-Partner_1
34,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Partner_1
35,write,_,write,_,VB,2,_,_,_,_,_,_,_,I-Partner_1
36,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Partner_1
1,over,_,Over,_,IN,2,_,_,_,_,_,_,_,O
2,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
3,last,_,last,_,JJ,2,_,_,_,_,_,_,_,O
4,couple,_,couple,_,NN,2,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,2,_,_,_,_,_,of.prep,Age,S-Degree
6,decades,_,decade,_,NNS,2,_,_,_,_,_,_,_,B-Age
7,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Age
8,there,_,there,_,EX,2,_,_,_,_,_,_,_,I-Age
9,has,_,have,_,VBZ,2,_,_,_,_,_,_,_,I-Age
10,been,_,be,_,VBN,2,_,_,_,_,_,_,_,I-Age
11,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Age
12,growing,_,grow,_,VBG,2,_,_,_,_,_,_,_,I-Age
13,recognition,_,recognition,_,NN,2,_,_,_,_,_,_,_,I-Age
14,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Age
15,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Age
16,complexity,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Age
17,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Age
18,academic,_,academic,_,JJ,2,_,_,_,_,_,_,_,I-Age
19,writing,_,writing,_,NN,2,_,_,_,_,_,_,_,I-Age
20,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Age
21,including,_,include,_,VBG,2,_,_,_,_,_,_,_,I-Age
22,an,_,an,_,DT,2,_,_,_,_,_,_,_,I-Age
23,interest,_,interest,_,NN,2,_,_,_,_,_,_,_,I-Age
24,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Age
25,how,_,how,_,WRB,2,_,_,_,_,_,_,_,I-Age
26,learners,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Age
27,negotiate,_,negotiate,_,VBP,2,_,_,_,_,_,_,_,I-Age
28,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Age
29,contexts,_,context,_,NN,2,_,_,_,_,_,_,_,I-Age
30,within,_,within,_,IN,2,_,_,_,_,_,_,_,I-Age
31,which,_,which,_,WDT,2,_,_,_,_,_,_,_,I-Age
32,they,_,they,_,PRP,2,_,_,_,_,_,_,_,I-Age
33,learn,_,learn,_,VBP,2,_,_,_,_,_,_,_,I-Age
34,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Age
35,write,_,write,_,VB,2,_,_,_,_,_,_,_,I-Age
36,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Age
1,over,_,Over,_,IN,2,_,_,_,_,_,_,_,B-Unit
2,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Unit
3,last,_,last,_,JJ,2,_,_,_,_,_,_,_,I-Unit
4,couple,_,couple,_,NN,2,_,_,_,_,_,_,_,I-Unit
5,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Unit
6,decades,_,decade,_,NNS,2,_,_,_,_,_,decade.n,Calendric_unit,I-Unit
7,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Unit
8,there,_,there,_,EX,2,_,_,_,_,_,_,_,I-Unit
9,has,_,have,_,VBZ,2,_,_,_,_,_,_,_,I-Unit
10,been,_,be,_,VBN,2,_,_,_,_,_,_,_,I-Unit
11,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Unit
12,growing,_,grow,_,VBG,2,_,_,_,_,_,_,_,I-Unit
