ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,a,_,A,_,DT,1,_,_,_,_,_,_,_,B-Descriptor
2,toolbox,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Descriptor
3,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
4,nonlinear,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Cognizer
5,regression,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Cognizer
6,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Cognizer
7,r,_,R,_,NNP,1,_,_,_,_,_,_,_,I-Cognizer
8,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Cognizer
9,the,_,The,_,DT,1,_,_,_,_,_,_,_,I-Cognizer
10,package,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Degree
11,unk,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Degree
12,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,a,_,A,_,DT,1,_,_,_,_,_,_,_,B-Activity
2,toolbox,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Activity
3,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Activity
4,nonlinear,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Activity
5,regression,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Activity
6,in,_,in,_,IN,1,_,_,_,_,_,in.prep,Fields,O
7,r,_,R,_,NNP,1,_,_,_,_,_,_,_,B-Work
8,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Work
9,the,_,The,_,DT,1,_,_,_,_,_,_,_,I-Work
10,package,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
11,unk,_,UNK,_,NNS,1,_,_,_,_,_,_,_,O
12,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,nonlinear,_,UNK,_,JJ,2,_,_,_,_,_,_,_,B-Manner
2,regression,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
3,models,_,model,_,NNS,2,_,_,_,_,_,_,_,I-Manner
4,are,_,be,_,VBP,2,_,_,_,_,_,_,_,S-Outcome
5,applied,_,apply,_,VBN,2,_,_,_,_,_,apply.v,Using,S-Degree
6,in,_,in,_,IN,2,_,_,_,_,_,_,_,B-Duration
7,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Duration
8,broad,_,broad,_,JJ,2,_,_,_,_,_,_,_,B-Degree
9,variety,_,variety,_,NN,2,_,_,_,_,_,_,_,I-Degree
10,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Degree
11,scientific,_,scientific,_,JJ,2,_,_,_,_,_,_,_,I-Degree
12,fields,_,field,_,NNS,2,_,_,_,_,_,_,_,I-Degree
13,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Degree
1,nonlinear,_,UNK,_,JJ,2,_,_,_,_,_,_,_,B-Dimension
2,regression,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Dimension
3,models,_,model,_,NNS,2,_,_,_,_,_,_,_,I-Dimension
4,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Dimension
5,applied,_,apply,_,VBN,2,_,_,_,_,_,_,_,I-Dimension
6,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Dimension
7,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Dimension
8,broad,_,broad,_,JJ,2,_,_,_,_,_,broad.a,Diversity,S-Degree
9,variety,_,variety,_,NN,2,_,_,_,_,_,_,_,O
10,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
11,scientific,_,scientific,_,JJ,2,_,_,_,_,_,_,_,O
12,fields,_,field,_,NNS,2,_,_,_,_,_,_,_,O
13,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,nonlinear,_,UNK,_,JJ,2,_,_,_,_,_,_,_,B-Individuals
2,regression,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Individuals
3,models,_,model,_,NNS,2,_,_,_,_,_,_,_,I-Individuals
4,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Individuals
5,applied,_,apply,_,VBN,2,_,_,_,_,_,_,_,I-Individuals
6,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Individuals
7,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Individuals
8,broad,_,broad,_,JJ,2,_,_,_,_,_,_,_,I-Individuals
9,variety,_,variety,_,NN,2,_,_,_,_,_,variety.n,Aggregate,I-Individuals
10,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Individuals
11,scientific,_,scientific,_,JJ,2,_,_,_,_,_,_,_,I-Individuals
12,fields,_,field,_,NNS,2,_,_,_,_,_,_,_,I-Individuals
13,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Individuals
1,nonlinear,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
2,regression,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
3,models,_,model,_,NNS,2,_,_,_,_,_,_,_,O
4,are,_,be,_,VBP,2,_,_,_,_,_,_,_,O
5,applied,_,apply,_,VBN,2,_,_,_,_,_,_,_,O
6,in,_,in,_,IN,2,_,_,_,_,_,_,_,O
7,a,_,a,_,DT,2,_,_,_,_,_,_,_,O
8,broad,_,broad,_,JJ,2,_,_,_,_,_,_,_,O
9,variety,_,variety,_,NN,2,_,_,_,_,_,_,_,S-Age
10,of,_,of,_,IN,2,_,_,_,_,_,of.prep,Age,S-Degree
11,scientific,_,scientific,_,JJ,2,_,_,_,_,_,_,_,B-Age
12,fields,_,field,_,NNS,2,_,_,_,_,_,_,_,I-Age
