ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,potential,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Time
2,policies,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Time
3,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Time
4,laws,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
5,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Time
6,prohibit,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
7,weight,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
8,discrimination,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
9,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Time
10,public,_,Public,_,JJ,1,_,_,_,_,_,public.a,Secrecy_status,B-Degree
11,views,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Degree
12,from,_,from,_,IN,1,_,_,_,_,_,_,_,I-Degree
13,4,_,4,_,CD,1,_,_,_,_,_,_,_,I-Degree
14,countries,_,Countries,_,NNS,1,_,_,_,_,_,_,_,I-Degree
15,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,potential,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Manner
2,policies,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Manner
3,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Manner
4,laws,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
5,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Manner
6,prohibit,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
7,weight,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
8,discrimination,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
9,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Manner
10,public,_,Public,_,JJ,1,_,_,_,_,_,_,_,I-Manner
11,views,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Manner
12,from,_,from,_,IN,1,_,_,_,_,_,from.prep,Evidence,S-Degree
13,4,_,4,_,CD,1,_,_,_,_,_,_,_,B-Manner
14,countries,_,Countries,_,NNS,1,_,_,_,_,_,_,_,I-Manner
15,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,composite,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Degree
2,measures,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Degree
3,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Degree
4,health,_,Health,_,NNP,1,_,_,_,_,_,health.n,Medical_conditions,I-Degree
5,care,_,Care,_,NNP,1,_,_,_,_,_,_,_,B-Symptom
6,provider,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Symptom
7,performance,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Symptom
8,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Symptom
9,a,_,A,_,DT,1,_,_,_,_,_,_,_,I-Symptom
10,description,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Symptom
11,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Symptom
12,approaches,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Symptom
13,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Symptom
1,composite,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
2,measures,_,UNK,_,NNS,1,_,_,_,_,_,_,_,O
3,of,_,of,_,IN,1,_,_,_,_,_,_,_,O
4,health,_,Health,_,NNP,1,_,_,_,_,_,_,_,O
5,care,_,Care,_,NNP,1,_,_,_,_,_,care.v,Desiring,S-Degree
6,provider,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Purpose_of_event
7,performance,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Purpose_of_event
8,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Purpose_of_event
9,a,_,A,_,DT,1,_,_,_,_,_,_,_,I-Purpose_of_event
10,description,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
11,of,_,of,_,IN,1,_,_,_,_,_,_,_,O
12,approaches,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
13,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,how,_,How,_,WRB,1,_,_,_,_,_,_,_,B-Degree
2,effective,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Degree
3,are,_,Are,_,NNP,1,_,_,_,_,_,_,_,I-Degree
4,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
5,systems,_,Systems,_,NNP,1,_,_,_,_,_,_,_,I-Degree
6,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Degree
7,improving,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Asset
8,patient,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Asset
9,safety,_,Safety,_,NNP,1,_,_,_,_,_,safety.n,Being_at_risk,S-Degree
10,?,_,?,_,.,1,_,_,_,_,_,_,_,S-Dangerous_entity
1,many,_,Many,_,JJ,2,_,_,_,_,_,many.a,Quantified_mass,S-Degree
2,barriers,_,barrier,_,NNS,2,_,_,_,_,_,_,_,B-Q_prop
3,hamper,_,hamper,_,VBP,2,_,_,_,_,_,_,_,I-Q_prop
4,advocacy,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Q_prop
5,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Q_prop
6,health,_,health,_,NN,2,_,_,_,_,_,_,_,I-Q_prop
7,equity,_,equity,_,NN,2,_,_,_,_,_,_,_,I-Q_prop
8,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Q_prop
9,including,_,include,_,VBG,2,_,_,_,_,_,_,_,I-Q_prop
10,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Q_prop
11,contemporary,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Q_prop
12,economic,_,economic,_,JJ,2,_,_,_,_,_,_,_,I-Q_prop
13,zeitgeist,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Q_prop
14,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Q_prop
15,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Q_prop
16,biomedical,_,biomedical,_,JJ,2,_,_,_,_,_,_,_,I-Q_prop
17,health,_,health,_,NN,2,_,_,_,_,_,_,_,I-Q_prop
18,perspective,_,perspective,_,NN,2,_,_,_,_,_,_,_,I-Q_prop
19,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Q_prop
20,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Q_prop
21,difficulties,_,difficulty,_,NNS,2,_,_,_,_,_,_,_,I-Q_prop
22,cooperating,_,cooperate,_,VBG,2,_,_,_,_,_,_,_,I-Q_prop
23,across,_,across,_,IN,2,_,_,_,_,_,_,_,I-Q_prop
24,policy,_,policy,_,NN,2,_,_,_,_,_,_,_,I-Q_prop
25,sectors,_,sector,_,NNS,2,_,_,_,_,_,_,_,I-Q_prop
26,on,_,on,_,IN,2,_,_,_,_,_,_,_,I-Q_prop
27,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Q_prop
28,issue,_,issue,_,NN,2,_,_,_,_,_,_,_,I-Q_prop
29,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Q_prop
1,many,_,Many,_,JJ,2,_,_,_,_,_,_,_,O
2,barriers,_,barrier,_,NNS,2,_,_,_,_,_,_,_,O
3,hamper,_,hamper,_,VBP,2,_,_,_,_,_,_,_,O
4,advocacy,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
5,for,_,for,_,IN,2,_,_,_,_,_,for.prep,Taking_sides,S-Degree
6,health,_,health,_,NN,2,_,_,_,_,_,_,_,B-Manner
7,equity,_,equity,_,NN,2,_,_,_,_,_,_,_,I-Manner
8,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Manner
9,including,_,include,_,VBG,2,_,_,_,_,_,_,_,I-Manner
10,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Manner
11,contemporary,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
12,economic,_,economic,_,JJ,2,_,_,_,_,_,_,_,I-Manner
13,zeitgeist,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
14,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Manner
15,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Manner
16,biomedical,_,biomedical,_,JJ,2,_,_,_,_,_,_,_,I-Manner
17,health,_,health,_,NN,2,_,_,_,_,_,_,_,I-Manner
18,perspective,_,perspective,_,NN,2,_,_,_,_,_,_,_,I-Manner
19,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Manner
20,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Manner
21,difficulties,_,difficulty,_,NNS,2,_,_,_,_,_,_,_,I-Manner
22,cooperating,_,cooperate,_,VBG,2,_,_,_,_,_,_,_,I-Manner
23,across,_,across,_,IN,2,_,_,_,_,_,_,_,I-Manner
24,policy,_,policy,_,NN,2,_,_,_,_,_,_,_,I-Manner
25,sectors,_,sector,_,NNS,2,_,_,_,_,_,_,_,I-Manner
26,on,_,on,_,IN,2,_,_,_,_,_,_,_,O
27,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
28,issue,_,issue,_,NN,2,_,_,_,_,_,_,_,O
29,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,many,_,Many,_,JJ,2,_,_,_,_,_,_,_,B-Symptom
2,barriers,_,barrier,_,NNS,2,_,_,_,_,_,_,_,I-Symptom
3,hamper,_,hamper,_,VBP,2,_,_,_,_,_,_,_,I-Symptom
4,advocacy,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Symptom
5,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Symptom
6,health,_,health,_,NN,2,_,_,_,_,_,health.n,Medical_conditions,S-Degree
7,equity,_,equity,_,NN,2,_,_,_,_,_,_,_,S-Symptom
8,",",_,",",_,",",2,_,_,_,_,_,_,_,B-Cause
9,including,_,include,_,VBG,2,_,_,_,_,_,_,_,I-Cause
10,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Cause
11,contemporary,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Cause
12,economic,_,economic,_,JJ,2,_,_,_,_,_,_,_,I-Cause
13,zeitgeist,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Cause
14,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Cause
15,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Cause
16,biomedical,_,biomedical,_,JJ,2,_,_,_,_,_,_,_,I-Cause
17,health,_,health,_,NN,2,_,_,_,_,_,_,_,I-Cause
18,perspective,_,perspective,_,NN,2,_,_,_,_,_,_,_,I-Cause
