ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,light-emitting,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
2,materials,_,material,_,NNS,2,_,_,_,_,_,_,_,O
3,",",_,",",_,",",2,_,_,_,_,_,_,_,O
4,especially,_,especially,_,RB,2,_,_,_,_,_,_,_,O
5,those,_,those,_,DT,2,_,_,_,_,_,_,_,O
6,with,_,with,_,IN,2,_,_,_,_,_,_,_,O
7,tunable,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
8,wavelengths,_,UNK,_,NNS,2,_,_,_,_,_,_,_,O
9,",",_,",",_,",",2,_,_,_,_,_,_,_,O
10,attract,_,attract,_,NN,2,_,_,_,_,_,_,_,O
11,considerable,_,considerable,_,JJ,2,_,_,_,_,_,considerable.a,Importance,S-Degree
12,attention,_,attention,_,NN,2,_,_,_,_,_,_,_,B-Undertaking
13,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Undertaking
14,applications,_,application,_,NNS,2,_,_,_,_,_,_,_,I-Undertaking
15,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Undertaking
16,optoelectronic,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Undertaking
17,devices,_,device,_,NNS,2,_,_,_,_,_,_,_,I-Undertaking
18,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Undertaking
19,fluorescent,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Undertaking
20,probes,_,probe,_,NNS,2,_,_,_,_,_,_,_,I-Undertaking
21,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Undertaking
22,sensors,_,sensor,_,NNS,2,_,_,_,_,_,_,_,I-Undertaking
23,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Undertaking
24,so,_,so,_,RB,2,_,_,_,_,_,_,_,I-Undertaking
25,on,_,on,_,IN,2,_,_,_,_,_,_,_,I-Undertaking
26,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Undertaking
1,light-emitting,_,UNK,_,JJ,2,_,_,_,_,_,_,_,B-Figure
2,materials,_,material,_,NNS,2,_,_,_,_,_,_,_,I-Figure
3,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Figure
4,especially,_,especially,_,RB,2,_,_,_,_,_,_,_,I-Figure
5,those,_,those,_,DT,2,_,_,_,_,_,_,_,I-Figure
6,with,_,with,_,IN,2,_,_,_,_,_,_,_,I-Figure
7,tunable,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Figure
8,wavelengths,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Figure
9,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Figure
10,attract,_,attract,_,NN,2,_,_,_,_,_,_,_,I-Figure
11,considerable,_,considerable,_,JJ,2,_,_,_,_,_,_,_,I-Figure
12,attention,_,attention,_,NN,2,_,_,_,_,_,attention.n,Attention,S-Degree
13,for,_,for,_,IN,2,_,_,_,_,_,_,_,B-Manner
14,applications,_,application,_,NNS,2,_,_,_,_,_,_,_,I-Manner
15,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Manner
16,optoelectronic,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
17,devices,_,device,_,NNS,2,_,_,_,_,_,_,_,I-Manner
18,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Manner
19,fluorescent,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
20,probes,_,probe,_,NNS,2,_,_,_,_,_,_,_,I-Manner
21,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Manner
22,sensors,_,sensor,_,NNS,2,_,_,_,_,_,_,_,I-Manner
23,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Manner
24,so,_,so,_,RB,2,_,_,_,_,_,_,_,I-Manner
25,on,_,on,_,IN,2,_,_,_,_,_,_,_,I-Manner
26,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Manner
1,light-emitting,_,UNK,_,JJ,2,_,_,_,_,_,_,_,B-Value
2,materials,_,material,_,NNS,2,_,_,_,_,_,_,_,I-Value
3,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Value
4,especially,_,especially,_,RB,2,_,_,_,_,_,_,_,I-Value
5,those,_,those,_,DT,2,_,_,_,_,_,_,_,I-Value
6,with,_,with,_,IN,2,_,_,_,_,_,_,_,I-Value
7,tunable,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Value
8,wavelengths,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Value
9,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Value
10,attract,_,attract,_,NN,2,_,_,_,_,_,_,_,I-Value
11,considerable,_,considerable,_,JJ,2,_,_,_,_,_,_,_,I-Value
12,attention,_,attention,_,NN,2,_,_,_,_,_,_,_,I-Value
13,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Value
14,applications,_,application,_,NNS,2,_,_,_,_,_,application.n,Purpose,O
15,in,_,in,_,IN,2,_,_,_,_,_,_,_,B-Goal
16,optoelectronic,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Goal
17,devices,_,device,_,NNS,2,_,_,_,_,_,_,_,B-Value
