ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,reports,_,Reports,_,NNS,0,_,_,_,_,_,_,_,B-Manner
2,on,_,on,_,IN,0,_,_,_,_,_,_,_,I-Manner
3,progress,_,progress,_,NN,0,_,_,_,_,_,progress.n,Progression,S-Degree
4,in,_,in,_,IN,0,_,_,_,_,_,_,_,S-Rate
5,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,B-Prior_state
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Prior_state
1,reports,_,Reports,_,NNS,0,_,_,_,_,_,_,_,B-Manner
2,on,_,on,_,IN,0,_,_,_,_,_,_,_,I-Manner
3,progress,_,progress,_,NN,0,_,_,_,_,_,progress.n,Progression,S-Degree
4,in,_,in,_,IN,0,_,_,_,_,_,_,_,S-Rate
5,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,B-Prior_state
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Prior_state
1,reports,_,Reports,_,NNS,0,_,_,_,_,_,_,_,B-Manner
2,on,_,on,_,IN,0,_,_,_,_,_,_,_,I-Manner
3,progress,_,progress,_,NN,0,_,_,_,_,_,progress.n,Progression,S-Degree
4,in,_,in,_,IN,0,_,_,_,_,_,_,_,S-Rate
5,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,B-Prior_state
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Prior_state
1,reports,_,Reports,_,NNS,0,_,_,_,_,_,_,_,B-Manner
2,on,_,on,_,IN,0,_,_,_,_,_,_,_,I-Manner
3,progress,_,progress,_,NN,0,_,_,_,_,_,progress.n,Progression,S-Degree
4,in,_,in,_,IN,0,_,_,_,_,_,_,_,S-Rate
5,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,B-Prior_state
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Prior_state
1,reports,_,Reports,_,NNS,0,_,_,_,_,_,_,_,B-Manner
