ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,constructional,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Topic
2,meaning,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Topic
3,representation,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Topic
4,within,_,within,_,IN,1,_,_,_,_,_,_,_,I-Topic
5,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Topic
6,knowledge,_,knowledge,_,NN,1,_,_,_,_,_,knowledge.n,Awareness,S-Degree
7,engineering,_,engineering,_,NN,1,_,_,_,_,_,_,_,S-Evidence
8,framework,_,framework,_,NN,1,_,_,_,_,_,_,_,B-Topic
9,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Topic
1,',_,',_,POS,1,_,_,_,_,_,_,_,B-Manner
2,i,_,I,_,PRP,1,_,_,_,_,_,_,_,I-Manner
3,'m,_,'m,_,VBP,1,_,_,_,_,_,_,_,I-Manner
4,dying,_,die,_,VBG,1,_,_,_,_,_,die.v,Death,S-Degree
5,on,_,on,_,IN,1,_,_,_,_,_,_,_,B-Manner
6,you,_,you,_,PRP,1,_,_,_,_,_,_,_,I-Manner
7,',_,',_,'',1,_,_,_,_,_,_,_,I-Manner
8,constructions,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Manner
9,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Manner
10,intensification,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Manner
11,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Manner
12,hebrew,_,Hebrew,_,NNP,1,_,_,_,_,_,_,_,I-Manner
13,expression,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Manner
14,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Manner
15,unk,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Manner
16,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,',_,',_,POS,1,_,_,_,_,_,_,_,B-Age
2,i,_,I,_,PRP,1,_,_,_,_,_,_,_,I-Age
3,'m,_,'m,_,VBP,1,_,_,_,_,_,_,_,I-Age
4,dying,_,die,_,VBG,1,_,_,_,_,_,_,_,I-Age
5,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Age
6,you,_,you,_,PRP,1,_,_,_,_,_,_,_,I-Age
7,',_,',_,'',1,_,_,_,_,_,_,_,I-Age
8,constructions,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Age
9,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
10,intensification,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Age
11,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Age
12,hebrew,_,Hebrew,_,NNP,1,_,_,_,_,_,_,_,I-Age
13,expression,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
14,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Age
15,unk,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
16,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Age
1,',_,',_,POS,1,_,_,_,_,_,_,_,B-Age
2,i,_,I,_,PRP,1,_,_,_,_,_,_,_,I-Age
3,'m,_,'m,_,VBP,1,_,_,_,_,_,_,_,I-Age
4,dying,_,die,_,VBG,1,_,_,_,_,_,_,_,I-Age
5,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Age
6,you,_,you,_,PRP,1,_,_,_,_,_,_,_,I-Age
7,',_,',_,'',1,_,_,_,_,_,_,_,I-Age
8,constructions,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Age
9,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Age
10,intensification,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
11,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Age
12,hebrew,_,Hebrew,_,NNP,1,_,_,_,_,_,_,_,I-Age
13,expression,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
14,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
15,unk,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Age
16,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Age
1,recent,_,Recent,_,JJ,2,_,_,_,_,_,recent.a,Relative_time,S-Degree
2,research,_,research,_,NN,2,_,_,_,_,_,_,_,B-Manner
3,has,_,have,_,VBZ,2,_,_,_,_,_,_,_,I-Manner
4,shown,_,show,_,VBN,2,_,_,_,_,_,_,_,I-Manner
5,that,_,that,_,IN,2,_,_,_,_,_,_,_,I-Manner
6,speech,_,speech,_,NN,2,_,_,_,_,_,_,_,I-Manner
7,perception,_,perception,_,NN,2,_,_,_,_,_,_,_,I-Manner
8,can,_,can,_,MD,2,_,_,_,_,_,_,_,I-Manner
9,easily,_,easily,_,RB,2,_,_,_,_,_,_,_,I-Manner
10,be,_,be,_,VB,2,_,_,_,_,_,_,_,I-Manner
11,influenced,_,influence,_,VBN,2,_,_,_,_,_,_,_,I-Manner
12,by,_,by,_,IN,2,_,_,_,_,_,_,_,I-Manner
13,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Manner
14,overall,_,overall,_,JJ,2,_,_,_,_,_,_,_,I-Manner
15,accent,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
16,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Manner
17,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Manner
18,speaker,_,speaker,_,NN,2,_,_,_,_,_,_,_,I-Manner
19,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Manner
1,recent,_,Recent,_,JJ,2,_,_,_,_,_,_,_,S-Purpose
2,research,_,research,_,NN,2,_,_,_,_,_,research.n,Research,S-Researcher
3,has,_,have,_,VBZ,2,_,_,_,_,_,_,_,B-Manner
4,shown,_,show,_,VBN,2,_,_,_,_,_,_,_,I-Manner
5,that,_,that,_,IN,2,_,_,_,_,_,_,_,I-Manner
6,speech,_,speech,_,NN,2,_,_,_,_,_,_,_,I-Manner
7,perception,_,perception,_,NN,2,_,_,_,_,_,_,_,I-Manner
8,can,_,can,_,MD,2,_,_,_,_,_,_,_,I-Manner
9,easily,_,easily,_,RB,2,_,_,_,_,_,_,_,I-Manner
10,be,_,be,_,VB,2,_,_,_,_,_,_,_,I-Manner
11,influenced,_,influence,_,VBN,2,_,_,_,_,_,_,_,I-Manner
12,by,_,by,_,IN,2,_,_,_,_,_,_,_,I-Manner
13,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Manner
14,overall,_,overall,_,JJ,2,_,_,_,_,_,_,_,I-Manner
15,accent,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
16,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Manner
17,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Manner
18,speaker,_,speaker,_,NN,2,_,_,_,_,_,_,_,I-Manner
19,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Manner
1,recent,_,Recent,_,JJ,2,_,_,_,_,_,_,_,O
2,research,_,research,_,NN,2,_,_,_,_,_,_,_,O
3,has,_,have,_,VBZ,2,_,_,_,_,_,have.v,Possession,B-Manner
4,shown,_,show,_,VBN,2,_,_,_,_,_,_,_,I-Manner
5,that,_,that,_,IN,2,_,_,_,_,_,_,_,I-Manner
6,speech,_,speech,_,NN,2,_,_,_,_,_,_,_,I-Manner
7,perception,_,perception,_,NN,2,_,_,_,_,_,_,_,I-Manner
