ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,unk,_,UNK,_,NN,2,_,_,_,_,_,_,_,S-Subregion
2,temperature,_,temperature,_,NN,2,_,_,_,_,_,temperature.n,Temperature,S-Degree
3,(,_,(,_,(,2,_,_,_,_,_,_,_,B-Temperature
4,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Temperature
5,),_,),_,),2,_,_,_,_,_,_,_,I-Temperature
6,superconductivity,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Temperature
7,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Temperature
8,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Temperature
9,iron,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Temperature
10,unk,_,UNK,_,VBZ,2,_,_,_,_,_,_,_,I-Temperature
11,or,_,or,_,CC,2,_,_,_,_,_,_,_,I-Temperature
12,chalcogenides,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Temperature
13,emerges,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Temperature
14,from,_,from,_,IN,2,_,_,_,_,_,_,_,I-Temperature
15,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Temperature
16,suppression,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Temperature
17,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Temperature
18,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Temperature
19,static,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Temperature
20,antiferromagnetic,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Temperature
21,order,_,order,_,NN,2,_,_,_,_,_,_,_,I-Temperature
22,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Temperature
23,their,_,their,_,PRP$,2,_,_,_,_,_,_,_,B-Subregion
24,parent,_,parent,_,NN,2,_,_,_,_,_,_,_,I-Subregion
25,compounds,_,compound,_,NNS,2,_,_,_,_,_,_,_,I-Subregion
26,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Subregion
27,similar,_,similar,_,JJ,2,_,_,_,_,_,_,_,I-Subregion
28,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Subregion
29,copper,_,UNK,_,VB,2,_,_,_,_,_,_,_,I-Subregion
30,oxide,_,oxide,_,JJ,2,_,_,_,_,_,_,_,I-Subregion
31,superconductors,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Subregion
32,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Subregion
1,unk,_,UNK,_,NN,2,_,_,_,_,_,_,_,B-Support
2,temperature,_,temperature,_,NN,2,_,_,_,_,_,_,_,I-Support
