ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,reviews,_,UNK,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Landmark_event
3,modern,_,modern,_,JJ,0,_,_,_,_,_,modern.a,Temporal_collocation,O
4,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Landmark_event
1,reviews,_,UNK,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Landmark_event
3,modern,_,modern,_,JJ,0,_,_,_,_,_,modern.a,Temporal_collocation,O
4,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Landmark_event
1,reviews,_,UNK,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Landmark_event
3,modern,_,modern,_,JJ,0,_,_,_,_,_,modern.a,Temporal_collocation,O
4,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Landmark_event
1,reviews,_,UNK,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Landmark_event
3,modern,_,modern,_,JJ,0,_,_,_,_,_,modern.a,Temporal_collocation,O
4,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Landmark_event
1,reviews,_,UNK,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Landmark_event
3,modern,_,modern,_,JJ,0,_,_,_,_,_,modern.a,Temporal_collocation,O
4,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Landmark_event
1,reviews,_,UNK,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Landmark_event
3,modern,_,modern,_,JJ,0,_,_,_,_,_,modern.a,Temporal_collocation,O
4,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Landmark_event
1,reviews,_,UNK,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Landmark_event
3,modern,_,modern,_,JJ,0,_,_,_,_,_,modern.a,Temporal_collocation,O
4,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Landmark_event
1,reviews,_,UNK,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Landmark_event
3,modern,_,modern,_,JJ,0,_,_,_,_,_,modern.a,Temporal_collocation,O
4,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Landmark_event
1,reviews,_,UNK,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Landmark_event
3,modern,_,modern,_,JJ,0,_,_,_,_,_,modern.a,Temporal_collocation,O
4,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Landmark_event
1,reviews,_,UNK,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Landmark_event
3,modern,_,modern,_,JJ,0,_,_,_,_,_,modern.a,Temporal_collocation,O
4,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Landmark_event
1,reviews,_,UNK,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Landmark_event
3,modern,_,modern,_,JJ,0,_,_,_,_,_,modern.a,Temporal_collocation,O
4,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Landmark_event
1,reviews,_,UNK,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Landmark_event
3,modern,_,modern,_,JJ,0,_,_,_,_,_,modern.a,Temporal_collocation,O
4,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
5,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Landmark_event
1,reviews,_,UNK,_,NNS,0,_,_,_,_,_,_,_,B-Landmark_event
