ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,common,_,Common,_,JJ,1,_,_,_,_,_,_,_,B-Time
2,genetic,_,genetic,_,JJ,1,_,_,_,_,_,_,_,I-Time
3,basis,_,basis,_,NN,1,_,_,_,_,_,_,_,I-Time
4,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Time
5,canopy,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Time
6,temperature,_,temperature,_,NN,1,_,_,_,_,_,temperature.n,Temperature,S-Degree
7,depression,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Subregion
8,under,_,under,_,IN,1,_,_,_,_,_,_,_,I-Subregion
9,heat,_,heat,_,NN,1,_,_,_,_,_,_,_,I-Subregion
10,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Subregion
11,drought,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Subregion
12,stress,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Subregion
13,associated,_,associate,_,VBN,1,_,_,_,_,_,_,_,I-Subregion
14,with,_,with,_,IN,1,_,_,_,_,_,_,_,I-Subregion
15,optimized,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Subregion
16,root,_,root,_,NN,1,_,_,_,_,_,_,_,I-Subregion
17,distribution,_,distribution,_,NN,1,_,_,_,_,_,_,_,I-Subregion
18,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Subregion
19,bread,_,bread,_,JJ,1,_,_,_,_,_,_,_,I-Subregion
20,wheat,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Subregion
21,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Subregion
1,common,_,Common,_,JJ,1,_,_,_,_,_,_,_,B-Q_prop
2,genetic,_,genetic,_,JJ,1,_,_,_,_,_,_,_,I-Q_prop
3,basis,_,basis,_,NN,1,_,_,_,_,_,_,_,I-Q_prop
4,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Q_prop
5,canopy,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Q_prop
6,temperature,_,temperature,_,NN,1,_,_,_,_,_,_,_,I-Q_prop
7,depression,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Q_prop
