ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,background,_,UNK,_,NN,2,_,_,_,_,_,_,_,B-Q_prop
2,:,_,:,_,:,2,_,_,_,_,_,_,_,I-Q_prop
3,the,_,The,_,DT,2,_,_,_,_,_,_,_,I-Q_prop
4,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Q_prop
5,capability,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Q_prop
6,measure,_,measure,_,NN,2,_,_,_,_,_,measure.n,Quantified_mass,S-Degree
7,for,_,for,_,IN,2,_,_,_,_,_,_,_,O
8,older,_,UNK,_,JJR,2,_,_,_,_,_,_,_,O
9,people,_,people,_,NNS,2,_,_,_,_,_,_,_,O
10,(,_,(,_,(,2,_,_,_,_,_,_,_,O
11,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
12,),_,),_,),2,_,_,_,_,_,_,_,O
13,and,_,and,_,CC,2,_,_,_,_,_,_,_,O
14,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
15,adult,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
16,social,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
17,care,_,Care,_,NNP,2,_,_,_,_,_,_,_,O
18,outcomes,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
19,toolkit,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
20,(,_,(,_,(,2,_,_,_,_,_,_,_,O
21,ascot,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
22,),_,),_,),2,_,_,_,_,_,_,_,O
23,are,_,be,_,VBP,2,_,_,_,_,_,_,_,O
24,preference,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
25,based,_,base,_,VBN,2,_,_,_,_,_,_,_,O
26,measures,_,measure,_,NNS,2,_,_,_,_,_,_,_,O
27,for,_,for,_,IN,2,_,_,_,_,_,_,_,O
28,assessing,_,assess,_,VBG,2,_,_,_,_,_,_,_,O
29,quality,_,quality,_,NN,2,_,_,_,_,_,_,_,O
30,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
31,life,_,life,_,NN,2,_,_,_,_,_,_,_,O
32,(,_,(,_,(,2,_,_,_,_,_,_,_,O
33,qol,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
34,),_,),_,),2,_,_,_,_,_,_,_,O
35,from,_,from,_,IN,2,_,_,_,_,_,_,_,O
36,a,_,a,_,DT,2,_,_,_,_,_,_,_,O
37,broader,_,broader,_,JJR,2,_,_,_,_,_,_,_,O
38,perspective,_,perspective,_,NN,2,_,_,_,_,_,_,_,O
39,than,_,than,_,IN,2,_,_,_,_,_,_,_,O
40,do,_,do,_,VBP,2,_,_,_,_,_,_,_,O
41,traditional,_,traditional,_,JJ,2,_,_,_,_,_,_,_,O
42,health-related,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
43,qol,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
44,measures,_,measure,_,NNS,2,_,_,_,_,_,_,_,O
45,such,_,such,_,JJ,2,_,_,_,_,_,_,_,O
46,as,_,a,_,IN,2,_,_,_,_,_,_,_,O
47,the,_,the,_,DT,2,_,_,_,_,_,_,_,B-Q_prop
48,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Q_prop
49,five,_,five,_,CD,2,_,_,_,_,_,_,_,I-Q_prop
50,dimensional,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Q_prop
51,questionnaire,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Q_prop
52,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Q_prop
53,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Q_prop
54,),_,),_,),2,_,_,_,_,_,_,_,I-Q_prop
55,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Q_prop
1,background,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
2,:,_,:,_,:,2,_,_,_,_,_,_,_,O
3,the,_,The,_,DT,2,_,_,_,_,_,_,_,O
4,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
5,capability,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
6,measure,_,measure,_,NN,2,_,_,_,_,_,_,_,O
7,for,_,for,_,IN,2,_,_,_,_,_,_,_,O
8,older,_,UNK,_,JJR,2,_,_,_,_,_,_,_,O
9,people,_,people,_,NNS,2,_,_,_,_,_,people.n,Kinship,S-Degree
10,(,_,(,_,(,2,_,_,_,_,_,_,_,O
11,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
12,),_,),_,),2,_,_,_,_,_,_,_,O
13,and,_,and,_,CC,2,_,_,_,_,_,_,_,O
14,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
15,adult,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
16,social,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
17,care,_,Care,_,NNP,2,_,_,_,_,_,_,_,O
18,outcomes,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
