ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,comparing,_,UNK,_,VBG,1,_,_,_,_,_,_,_,O
2,measurement,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
3,properties,_,UNK,_,NNPS,1,_,_,_,_,_,_,_,O
4,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
5,the,_,the,_,DT,1,_,_,_,_,_,_,_,B-Age
6,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
7,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Age
8,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
9,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Age
10,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Age
11,ascot,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
12,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Age
13,frail,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
14,older,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
15,adults,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
16,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Age
1,using,_,Using,_,VBG,1,_,_,_,_,_,_,_,B-Trajector
2,classical,_,Classical,_,JJ,1,_,_,_,_,_,_,_,I-Trajector
3,test,_,Test,_,NNP,1,_,_,_,_,_,_,_,I-Trajector
4,theory,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Trajector
5,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Trajector
6,item,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Trajector
7,response,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Trajector
8,theory,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Trajector
9,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Trajector
10,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Trajector
11,rasch,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Trajector
12,measurement,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Trajector
13,theory,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Trajector
14,to,_,to,_,TO,1,_,_,_,_,_,to.prep,Goal,O
15,evaluate,_,UNK,_,VB,1,_,_,_,_,_,_,_,B-Trajector
16,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Trajector
17,outcome,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Trajector
18,measures,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Trajector
19,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Trajector
20,a,_,A,_,DT,1,_,_,_,_,_,_,_,I-Trajector
21,comparison,_,Comparison,_,NNP,1,_,_,_,_,_,_,_,I-Trajector
22,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Trajector
23,worked,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Trajector
24,examples,_,Examples,_,NNP,1,_,_,_,_,_,_,_,I-Trajector
25,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Trajector
1,using,_,Using,_,VBG,1,_,_,_,_,_,_,_,B-Degree
2,classical,_,Classical,_,JJ,1,_,_,_,_,_,_,_,I-Degree
3,test,_,Test,_,NNP,1,_,_,_,_,_,_,_,I-Degree
4,theory,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
5,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Degree
6,item,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
7,response,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
8,theory,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
9,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Degree
10,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Degree
11,rasch,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
12,measurement,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
13,theory,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
14,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Degree
15,evaluate,_,UNK,_,VB,1,_,_,_,_,_,_,_,I-Degree
16,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Degree
17,outcome,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
18,measures,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Degree
19,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Degree
20,a,_,A,_,DT,1,_,_,_,_,_,_,_,I-Degree
21,comparison,_,Comparison,_,NNP,1,_,_,_,_,_,_,_,S-Age
22,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
23,worked,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Age
24,examples,_,Examples,_,NNP,1,_,_,_,_,_,_,_,I-Age
25,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Age
1,measuring,_,UNK,_,VBG,1,_,_,_,_,_,_,_,O
2,change,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
3,in,_,in,_,IN,1,_,_,_,_,_,_,_,O
4,quality,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
6,life,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Age
7,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Age
8,bias,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
9,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Age
10,prospective,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
11,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Age
12,retrospective,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
13,evaluation,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
14,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Age
1,applying,_,UNK,_,VBG,1,_,_,_,_,_,_,_,O
2,dynamic,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
3,simulation,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
4,modeling,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
5,methods,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
6,in,_,in,_,IN,1,_,_,_,_,_,_,_,O
7,health,_,Health,_,NNP,1,_,_,_,_,_,_,_,O
8,care,_,Care,_,NNP,1,_,_,_,_,_,care.v,Desiring,S-Degree
9,delivery,_,Delivery,_,NNP,1,_,_,_,_,_,_,_,B-Role_of_focal_participant
10,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Role_of_focal_participant
11,simulate,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Manner
12,checklist,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
13,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Manner
14,report,_,Report,_,NN,1,_,_,_,_,_,_,_,I-Manner
15,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Manner
16,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Manner
17,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
18,simulation,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
19,modeling,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
20,emerging,_,Emerging,_,NNP,1,_,_,_,_,_,_,_,I-Manner
21,good,_,Good,_,NNP,1,_,_,_,_,_,_,_,I-Manner
22,practices,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
23,task,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
24,force,_,Force,_,NNP,1,_,_,_,_,_,_,_,I-Manner
25,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,applying,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Topic
2,dynamic,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Topic
3,simulation,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Topic
4,modeling,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Topic
5,methods,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Topic
6,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Topic
7,health,_,Health,_,NNP,1,_,_,_,_,_,_,_,I-Topic
8,care,_,Care,_,NNP,1,_,_,_,_,_,_,_,I-Topic
9,delivery,_,Delivery,_,NNP,1,_,_,_,_,_,_,_,I-Topic
10,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Topic
11,simulate,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Topic
12,checklist,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Topic
13,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Topic
14,report,_,Report,_,NN,1,_,_,_,_,_,report.n,Statement,S-Degree
15,of,_,of,_,IN,1,_,_,_,_,_,_,_,B-Manner
16,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Manner
17,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
18,simulation,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
19,modeling,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
20,emerging,_,Emerging,_,NNP,1,_,_,_,_,_,_,_,I-Manner
21,good,_,Good,_,NNP,1,_,_,_,_,_,_,_,I-Manner
22,practices,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
23,task,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
24,force,_,Force,_,NNP,1,_,_,_,_,_,_,_,I-Manner
25,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,applying,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Age
2,dynamic,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
3,simulation,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
4,modeling,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
5,methods,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
6,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Age
7,health,_,Health,_,NNP,1,_,_,_,_,_,_,_,I-Age
8,care,_,Care,_,NNP,1,_,_,_,_,_,_,_,I-Age
9,delivery,_,Delivery,_,NNP,1,_,_,_,_,_,_,_,I-Age
10,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
11,simulate,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
12,checklist,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
13,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Age
14,report,_,Report,_,NN,1,_,_,_,_,_,_,_,I-Age
15,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
16,the,_,the,_,DT,1,_,_,_,_,_,_,_,B-Age
17,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
18,simulation,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
19,modeling,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
20,emerging,_,Emerging,_,NNP,1,_,_,_,_,_,_,_,I-Age
21,good,_,Good,_,NNP,1,_,_,_,_,_,_,_,I-Age
22,practices,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
23,task,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
24,force,_,Force,_,NNP,1,_,_,_,_,_,_,_,I-Age
25,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Age
1,applying,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Behavior_product
2,dynamic,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Behavior_product
3,simulation,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Behavior_product
4,modeling,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Behavior_product
5,methods,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Behavior_product
6,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Behavior_product
7,health,_,Health,_,NNP,1,_,_,_,_,_,_,_,I-Behavior_product
8,care,_,Care,_,NNP,1,_,_,_,_,_,_,_,I-Behavior_product
9,delivery,_,Delivery,_,NNP,1,_,_,_,_,_,_,_,I-Behavior_product
10,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Behavior_product
11,simulate,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Behavior_product
12,checklist,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Behavior_product
13,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Behavior_product
14,report,_,Report,_,NN,1,_,_,_,_,_,_,_,I-Behavior_product
15,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Behavior_product
16,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Behavior_product
17,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Behavior_product
18,simulation,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Behavior_product
19,modeling,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Behavior_product
20,emerging,_,Emerging,_,NNP,1,_,_,_,_,_,_,_,S-Time
21,good,_,Good,_,NNP,1,_,_,_,_,_,good.a,Expertise,S-Degree
22,practices,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Skill
23,task,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Skill
24,force,_,Force,_,NNP,1,_,_,_,_,_,_,_,I-Skill
25,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Skill
1,selecting,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Descriptor
2,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Descriptor
3,dynamic,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Descriptor
4,simulation,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Descriptor
5,modeling,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Descriptor
6,method,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Descriptor
7,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
8,health,_,Health,_,NNP,1,_,_,_,_,_,_,_,B-Manner
9,care,_,Care,_,NNP,1,_,_,_,_,_,_,_,I-Manner
10,delivery,_,Delivery,_,NNP,1,_,_,_,_,_,_,_,I-Manner
11,research,_,Research,_,NNP,1,_,_,_,_,_,_,_,I-Manner
12,part,_,Part,_,NNP,1,_,_,_,_,_,_,_,I-Manner
13,2,_,2,_,CD,1,_,_,_,_,_,_,_,I-Manner
14,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Manner
15,report,_,Report,_,NN,1,_,_,_,_,_,_,_,I-Manner
16,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Manner
17,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Manner
18,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
19,dynamic,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
20,simulation,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
21,modeling,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
22,emerging,_,Emerging,_,NNP,1,_,_,_,_,_,_,_,I-Manner
23,good,_,Good,_,NNP,1,_,_,_,_,_,_,_,I-Manner
24,practices,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
25,task,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
26,force,_,Force,_,NNP,1,_,_,_,_,_,_,_,I-Manner
27,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,selecting,_,UNK,_,VBG,1,_,_,_,_,_,_,_,O
2,a,_,a,_,DT,1,_,_,_,_,_,_,_,O
