ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,the,_,The,_,DT,1,_,_,_,_,_,_,_,S-Instance
2,case,_,Case,_,NNP,1,_,_,_,_,_,case.n,Instance,O
3,for,_,for,_,IN,1,_,_,_,_,_,_,_,B-Instance
4,use,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Instance
5,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Instance
6,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Instance
7,professional,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Instance
8,activities,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Instance
9,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Instance
10,undergraduate,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Instance
11,medical,_,Medical,_,NNP,1,_,_,_,_,_,_,_,I-Instance
12,education,_,Education,_,NNP,1,_,_,_,_,_,_,_,I-Instance
13,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Instance
1,the,_,The,_,DT,1,_,_,_,_,_,_,_,B-Time
2,case,_,Case,_,NNP,1,_,_,_,_,_,_,_,I-Time
3,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
4,use,_,UNK,_,NNP,1,_,_,_,_,_,_,_,S-Cognizer
5,of,_,of,_,IN,1,_,_,_,_,_,_,_,B-Degree
6,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
7,professional,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
8,activities,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
9,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Degree
10,undergraduate,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
11,medical,_,Medical,_,NNP,1,_,_,_,_,_,_,_,I-Degree
12,education,_,Education,_,NNP,1,_,_,_,_,_,_,_,I-Degree
13,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,the,_,The,_,DT,1,_,_,_,_,_,_,_,O
2,case,_,Case,_,NNP,1,_,_,_,_,_,_,_,O
3,for,_,for,_,IN,1,_,_,_,_,_,_,_,O
4,use,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
6,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Age
7,professional,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
8,activities,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Degree
9,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Degree
10,undergraduate,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
11,medical,_,Medical,_,NNP,1,_,_,_,_,_,_,_,I-Degree
12,education,_,Education,_,NNP,1,_,_,_,_,_,_,_,I-Degree
13,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,the,_,The,_,DT,1,_,_,_,_,_,_,_,B-Level
2,case,_,Case,_,NNP,1,_,_,_,_,_,_,_,I-Level
3,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Level
4,use,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Level
5,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Level
6,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Level
7,professional,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Level
8,activities,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Level
9,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Level
10,undergraduate,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Level
11,medical,_,Medical,_,NNP,1,_,_,_,_,_,_,_,S-Subject
12,education,_,Education,_,NNP,1,_,_,_,_,_,education.n,Education_teaching,S-Degree
13,.,_,.,_,.,1,_,_,_,_,_,_,_,S-Institution
1,the,_,The,_,DT,1,_,_,_,_,_,_,_,B-Age
2,impact,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
3,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
4,duty,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Age
5,hours,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
6,restrictions,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
7,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Age
8,job,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
9,burnout,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
10,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Age
11,internal,_,Internal,_,NNP,1,_,_,_,_,_,_,_,I-Age
12,medicine,_,Medicine,_,NNP,1,_,_,_,_,_,_,_,I-Age
13,residents,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Age
14,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Age
15,a,_,A,_,DT,1,_,_,_,_,_,_,_,I-Age
16,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
17,comparison,_,Comparison,_,NNP,1,_,_,_,_,_,_,_,I-Age
18,study,_,Study,_,NNP,1,_,_,_,_,_,_,_,I-Age
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Age
1,the,_,The,_,DT,1,_,_,_,_,_,_,_,B-Time
2,impact,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
3,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Time
4,duty,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
5,hours,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
6,restrictions,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
7,on,_,on,_,IN,1,_,_,_,_,_,on.prep,Being_in_operation,O
8,job,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Duration
9,burnout,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Duration
10,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Duration
11,internal,_,Internal,_,NNP,1,_,_,_,_,_,_,_,I-Duration
12,medicine,_,Medicine,_,NNP,1,_,_,_,_,_,_,_,I-Duration
13,residents,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Duration
14,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Duration
15,a,_,A,_,DT,1,_,_,_,_,_,_,_,I-Duration
16,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Duration
17,comparison,_,Comparison,_,NNP,1,_,_,_,_,_,_,_,I-Duration
18,study,_,Study,_,NNP,1,_,_,_,_,_,_,_,I-Duration
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Duration
1,the,_,The,_,DT,1,_,_,_,_,_,_,_,B-Specialty
2,impact,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Specialty
3,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Specialty
4,duty,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Specialty
5,hours,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Specialty
6,restrictions,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Specialty
7,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Specialty
8,job,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Specialty
9,burnout,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Specialty
10,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Specialty
11,internal,_,Internal,_,NNP,1,_,_,_,_,_,_,_,I-Specialty
12,medicine,_,Medicine,_,NNP,1,_,_,_,_,_,medicine.n,Medical_specialties,O
13,residents,_,UNK,_,NNS,1,_,_,_,_,_,_,_,B-Specialty
14,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Specialty
15,a,_,A,_,DT,1,_,_,_,_,_,_,_,I-Specialty
16,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Specialty
17,comparison,_,Comparison,_,NNP,1,_,_,_,_,_,_,_,I-Specialty
18,study,_,Study,_,NNP,1,_,_,_,_,_,_,_,I-Specialty
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Specialty
1,the,_,The,_,DT,1,_,_,_,_,_,_,_,B-Use
2,impact,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Use
3,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Use
4,duty,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Use
5,hours,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Use
6,restrictions,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Use
7,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Use
8,job,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Use
9,burnout,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Use
10,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Use
11,internal,_,Internal,_,NNP,1,_,_,_,_,_,_,_,I-Use
12,medicine,_,Medicine,_,NNP,1,_,_,_,_,_,_,_,I-Use
13,residents,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Use
14,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Use
15,a,_,A,_,DT,1,_,_,_,_,_,_,_,I-Use
16,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Use
17,comparison,_,Comparison,_,NNP,1,_,_,_,_,_,_,_,I-Use
18,study,_,Study,_,NNP,1,_,_,_,_,_,study.n,Building_subparts,O
19,.,_,.,_,.,1,_,_,_,_,_,_,_,S-Type
1,appraising,_,UNK,_,VBG,1,_,_,_,_,_,_,_,O
2,the,_,the,_,DT,1,_,_,_,_,_,_,_,O
3,quality,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
4,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
5,medical,_,Medical,_,NNP,1,_,_,_,_,_,_,_,B-Age
6,education,_,Education,_,NNP,1,_,_,_,_,_,_,_,I-Age
7,research,_,Research,_,NNP,1,_,_,_,_,_,_,_,I-Age
8,methods,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
9,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Age
10,the,_,The,_,DT,1,_,_,_,_,_,_,_,I-Age
11,medical,_,Medical,_,NNP,1,_,_,_,_,_,_,_,I-Age
12,education,_,Education,_,NNP,1,_,_,_,_,_,_,_,I-Age
13,research,_,Research,_,NNP,1,_,_,_,_,_,_,_,I-Age
14,study,_,Study,_,NNP,1,_,_,_,_,_,_,_,I-Age
15,quality,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
16,instrument,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
17,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Age
18,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Age
19,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Age
20,unk,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
21,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Age
1,appraising,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Level
2,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Level
3,quality,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Level
4,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Level
5,medical,_,Medical,_,NNP,1,_,_,_,_,_,_,_,I-Level
6,education,_,Education,_,NNP,1,_,_,_,_,_,education.n,Education_teaching,S-Degree
7,research,_,Research,_,NNP,1,_,_,_,_,_,_,_,B-Time
8,methods,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
9,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Time
