ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,the,_,The,_,DT,1,_,_,_,_,_,_,_,S-Individuals
2,many,_,Many,_,JJ,1,_,_,_,_,_,many.a,Quantified_mass,S-Degree
3,faces,_,UNK,_,NNS,1,_,_,_,_,_,_,_,B-Q_prop
4,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Q_prop
5,culture,_,Culture,_,NN,1,_,_,_,_,_,_,_,I-Q_prop
6,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Q_prop
7,making,_,UNK,_,VBG,1,_,_,_,_,_,_,_,I-Q_prop
8,sense,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Q_prop
9,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Q_prop
10,30,_,30,_,CD,1,_,_,_,_,_,_,_,I-Q_prop
11,years,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Q_prop
12,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Q_prop
13,research,_,Research,_,NNP,1,_,_,_,_,_,_,_,I-Q_prop
14,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Q_prop
15,culture,_,Culture,_,NNP,1,_,_,_,_,_,_,_,I-Q_prop
16,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Q_prop
17,organization,_,Organization,_,NNP,1,_,_,_,_,_,_,_,I-Q_prop
18,studies,_,Studies,_,NNPS,1,_,_,_,_,_,_,_,I-Q_prop
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Q_prop
1,the,_,The,_,DT,1,_,_,_,_,_,_,_,O
2,many,_,Many,_,JJ,1,_,_,_,_,_,_,_,O
3,faces,_,UNK,_,NNS,1,_,_,_,_,_,_,_,O
4,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
5,culture,_,Culture,_,NN,1,_,_,_,_,_,_,_,B-Age
