ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,B-Trajector
2,unk,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Trajector
3,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Trajector
4,considered,_,consider,_,VBN,2,_,_,_,_,_,_,_,I-Trajector
5,to,_,to,_,TO,2,_,_,_,_,_,to.prep,Goal,O
6,be,_,be,_,VB,2,_,_,_,_,_,_,_,B-Time
7,an,_,an,_,DT,2,_,_,_,_,_,_,_,I-Time
8,attractive,_,attractive,_,JJ,2,_,_,_,_,_,_,_,I-Time
9,way,_,way,_,NN,2,_,_,_,_,_,_,_,I-Time
10,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Time
11,solving,_,solve,_,VBG,2,_,_,_,_,_,_,_,I-Time
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Time
13,worldwide,_,worldwide,_,NN,2,_,_,_,_,_,_,_,I-Time
14,energy,_,energy,_,NN,2,_,_,_,_,_,_,_,I-Time
15,shortage,_,shortage,_,NN,2,_,_,_,_,_,_,_,I-Time
16,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Time
17,environmental,_,environmental,_,JJ,2,_,_,_,_,_,_,_,I-Time
18,pollution,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Time
19,issues,_,issue,_,NNS,2,_,_,_,_,_,_,_,I-Time
20,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Time
1,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
2,unk,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
3,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,O
4,considered,_,consider,_,VBN,2,_,_,_,_,_,_,_,O
5,to,_,to,_,TO,2,_,_,_,_,_,_,_,O
6,be,_,be,_,VB,2,_,_,_,_,_,_,_,O
7,an,_,an,_,DT,2,_,_,_,_,_,_,_,O
8,attractive,_,attractive,_,JJ,2,_,_,_,_,_,_,_,O
9,way,_,way,_,NN,2,_,_,_,_,_,_,_,O
10,for,_,for,_,IN,2,_,_,_,_,_,for.prep,Taking_sides,S-Degree
11,solving,_,solve,_,VBG,2,_,_,_,_,_,_,_,B-Explanation
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Explanation
13,worldwide,_,worldwide,_,NN,2,_,_,_,_,_,_,_,B-Degree
14,energy,_,energy,_,NN,2,_,_,_,_,_,_,_,I-Degree
15,shortage,_,shortage,_,NN,2,_,_,_,_,_,_,_,I-Degree
16,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Degree
17,environmental,_,environmental,_,JJ,2,_,_,_,_,_,_,_,I-Degree
18,pollution,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Degree
19,issues,_,issue,_,NNS,2,_,_,_,_,_,_,_,I-Degree
20,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Degree
