ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,the,_,The,_,DT,3,_,_,_,_,_,_,_,B-Age
2,nitrogen,_,nitrogen,_,NN,3,_,_,_,_,_,_,_,I-Age
3,(,_,(,_,(,3,_,_,_,_,_,_,_,I-Age
4,n-2,_,UNK,_,NNP,3,_,_,_,_,_,_,_,I-Age
5,),_,),_,),3,_,_,_,_,_,_,_,I-Age
6,fixed,_,UNK,_,VBN,3,_,_,_,_,_,_,_,I-Age
7,by,_,by,_,IN,3,_,_,_,_,_,_,_,I-Age
8,legumes,_,UNK,_,NNS,3,_,_,_,_,_,_,_,I-Age
9,is,_,be,_,VBZ,3,_,_,_,_,_,_,_,I-Age
10,a,_,a,_,DT,3,_,_,_,_,_,_,_,I-Age
11,renewable,_,UNK,_,JJ,3,_,_,_,_,_,_,_,I-Age
12,source,_,source,_,NN,3,_,_,_,_,_,_,_,I-Age
13,and,_,and,_,CC,3,_,_,_,_,_,_,_,I-Age
14,of,_,of,_,IN,3,_,_,_,_,_,of.prep,Age,S-Degree
15,great,_,great,_,JJ,3,_,_,_,_,_,_,_,B-Age
16,importance,_,importance,_,NN,3,_,_,_,_,_,_,_,I-Age
17,to,_,to,_,TO,3,_,_,_,_,_,_,_,I-Age
18,agriculture,_,agriculture,_,NN,3,_,_,_,_,_,_,_,I-Age
19,.,_,.,_,.,3,_,_,_,_,_,_,_,I-Age
1,the,_,The,_,DT,3,_,_,_,_,_,_,_,B-Dimension
2,nitrogen,_,nitrogen,_,NN,3,_,_,_,_,_,_,_,I-Dimension
3,(,_,(,_,(,3,_,_,_,_,_,_,_,I-Dimension
4,n-2,_,UNK,_,NNP,3,_,_,_,_,_,_,_,I-Dimension
5,),_,),_,),3,_,_,_,_,_,_,_,I-Dimension
6,fixed,_,UNK,_,VBN,3,_,_,_,_,_,_,_,I-Dimension
7,by,_,by,_,IN,3,_,_,_,_,_,_,_,I-Dimension
8,legumes,_,UNK,_,NNS,3,_,_,_,_,_,_,_,I-Dimension
9,is,_,be,_,VBZ,3,_,_,_,_,_,_,_,I-Dimension
10,a,_,a,_,DT,3,_,_,_,_,_,_,_,I-Dimension
11,renewable,_,UNK,_,JJ,3,_,_,_,_,_,_,_,I-Dimension
12,source,_,source,_,NN,3,_,_,_,_,_,_,_,I-Dimension
13,and,_,and,_,CC,3,_,_,_,_,_,_,_,I-Dimension
14,of,_,of,_,IN,3,_,_,_,_,_,_,_,I-Dimension
15,great,_,great,_,JJ,3,_,_,_,_,_,great.a,Size,S-Degree
16,importance,_,importance,_,NN,3,_,_,_,_,_,_,_,B-Dimension
17,to,_,to,_,TO,3,_,_,_,_,_,_,_,I-Dimension
18,agriculture,_,agriculture,_,NN,3,_,_,_,_,_,_,_,I-Dimension
19,.,_,.,_,.,3,_,_,_,_,_,_,_,I-Dimension
1,the,_,The,_,DT,3,_,_,_,_,_,_,_,B-Trajector
2,nitrogen,_,nitrogen,_,NN,3,_,_,_,_,_,_,_,I-Trajector
3,(,_,(,_,(,3,_,_,_,_,_,_,_,I-Trajector
4,n-2,_,UNK,_,NNP,3,_,_,_,_,_,_,_,I-Trajector
5,),_,),_,),3,_,_,_,_,_,_,_,I-Trajector
6,fixed,_,UNK,_,VBN,3,_,_,_,_,_,_,_,I-Trajector
7,by,_,by,_,IN,3,_,_,_,_,_,_,_,I-Trajector
8,legumes,_,UNK,_,NNS,3,_,_,_,_,_,_,_,I-Trajector
9,is,_,be,_,VBZ,3,_,_,_,_,_,_,_,I-Trajector
10,a,_,a,_,DT,3,_,_,_,_,_,_,_,I-Trajector
11,renewable,_,UNK,_,JJ,3,_,_,_,_,_,_,_,I-Trajector
12,source,_,source,_,NN,3,_,_,_,_,_,_,_,I-Trajector
13,and,_,and,_,CC,3,_,_,_,_,_,_,_,I-Trajector
14,of,_,of,_,IN,3,_,_,_,_,_,_,_,I-Trajector
15,great,_,great,_,JJ,3,_,_,_,_,_,_,_,I-Trajector
16,importance,_,importance,_,NN,3,_,_,_,_,_,_,_,I-Trajector
17,to,_,to,_,TO,3,_,_,_,_,_,to.prep,Goal,O
