ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,agronomy,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Dimension
2,for,_,for,_,IN,0,_,_,_,_,_,_,_,I-Dimension
3,sustainable,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Dimension
4,development,_,development,_,NN,0,_,_,_,_,_,development.n,Processing_materials,O
5,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
