ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,archives,_,UNK,_,NNS,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,computational,_,UNK,_,JJ,0,_,_,_,_,_,_,_,S-Purpose
4,methods,_,method,_,NNS,0,_,_,_,_,_,method.n,Means,O
5,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
6,engineering,_,engineering,_,NN,0,_,_,_,_,_,_,_,O
7,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,numerical,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
2,methods,_,UNK,_,NNS,1,_,_,_,_,_,_,_,O
3,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
4,solving,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Manner
5,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Manner
6,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
7,equation,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
8,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Manner
9,its,_,Its,_,PRP$,1,_,_,_,_,_,_,_,I-Manner
10,applicability,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
11,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Manner
12,related,_,Related,_,NNP,1,_,_,_,_,_,_,_,I-Manner
13,energy-based,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Manner
14,models,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
15,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,numerical,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Time
2,methods,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Time
3,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Time
4,solving,_,UNK,_,VBG,1,_,_,_,_,_,_,_,I-Time
5,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Time
6,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
7,equation,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
8,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Time
9,its,_,Its,_,PRP$,1,_,_,_,_,_,_,_,I-Time
10,applicability,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
11,to,_,to,_,TO,1,_,_,_,_,_,to.prep,Goal,I-Time
12,related,_,Related,_,NNP,1,_,_,_,_,_,_,_,I-Time
13,energy-based,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
14,models,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
15,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Time
1,in,_,In,_,IN,2,_,_,_,_,_,_,_,S-Service_provider
2,this,_,this,_,DT,2,_,_,_,_,_,_,_,S-Business
3,paper,_,paper,_,NN,2,_,_,_,_,_,paper.n,Businesses,O
4,",",_,",",_,",",2,_,_,_,_,_,_,_,O
5,we,_,we,_,PRP,2,_,_,_,_,_,_,_,O
6,review,_,review,_,VBP,2,_,_,_,_,_,_,_,O
7,some,_,some,_,DT,2,_,_,_,_,_,_,_,O
8,numerical,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
9,methods,_,method,_,NNS,2,_,_,_,_,_,_,_,O
10,presented,_,present,_,VBN,2,_,_,_,_,_,_,_,O
11,in,_,in,_,IN,2,_,_,_,_,_,_,_,O
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
13,literature,_,literature,_,NN,2,_,_,_,_,_,_,_,O
14,in,_,in,_,IN,2,_,_,_,_,_,_,_,O
15,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
16,last,_,last,_,JJ,2,_,_,_,_,_,_,_,O
17,years,_,year,_,NNS,2,_,_,_,_,_,_,_,O
18,to,_,to,_,TO,2,_,_,_,_,_,_,_,O
19,approximate,_,UNK,_,VB,2,_,_,_,_,_,_,_,O
20,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
21,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
22,equation,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
23,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,in,_,In,_,IN,2,_,_,_,_,_,_,_,O
2,this,_,this,_,DT,2,_,_,_,_,_,_,_,O
3,paper,_,paper,_,NN,2,_,_,_,_,_,_,_,O
4,",",_,",",_,",",2,_,_,_,_,_,_,_,O
5,we,_,we,_,PRP,2,_,_,_,_,_,_,_,O
6,review,_,review,_,VBP,2,_,_,_,_,_,_,_,B-Time
7,some,_,some,_,DT,2,_,_,_,_,_,_,_,I-Time
8,numerical,_,UNK,_,JJ,2,_,_,_,_,_,_,_,S-Purpose
9,methods,_,method,_,NNS,2,_,_,_,_,_,method.n,Means,O
10,presented,_,present,_,VBN,2,_,_,_,_,_,_,_,B-Purpose
11,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Purpose
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Purpose
13,literature,_,literature,_,NN,2,_,_,_,_,_,_,_,I-Purpose
14,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Purpose
15,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Purpose
16,last,_,last,_,JJ,2,_,_,_,_,_,_,_,I-Purpose
17,years,_,year,_,NNS,2,_,_,_,_,_,_,_,I-Purpose
18,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Purpose
19,approximate,_,UNK,_,VB,2,_,_,_,_,_,_,_,I-Purpose
20,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Purpose
21,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Purpose
22,equation,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Purpose
23,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Purpose
1,in,_,In,_,IN,2,_,_,_,_,_,_,_,B-Time
2,this,_,this,_,DT,2,_,_,_,_,_,_,_,I-Time
3,paper,_,paper,_,NN,2,_,_,_,_,_,_,_,I-Time
4,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Time
5,we,_,we,_,PRP,2,_,_,_,_,_,_,_,I-Time
6,review,_,review,_,VBP,2,_,_,_,_,_,_,_,I-Time
7,some,_,some,_,DT,2,_,_,_,_,_,_,_,I-Time
8,numerical,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Time
9,methods,_,method,_,NNS,2,_,_,_,_,_,_,_,I-Time
10,presented,_,present,_,VBN,2,_,_,_,_,_,_,_,I-Time
11,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Time
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Time
13,literature,_,literature,_,NN,2,_,_,_,_,_,literature.n,Fields,O
14,in,_,in,_,IN,2,_,_,_,_,_,_,_,B-Type
15,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Type
16,last,_,last,_,JJ,2,_,_,_,_,_,_,_,I-Type
17,years,_,year,_,NNS,2,_,_,_,_,_,_,_,I-Type
18,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Type
19,approximate,_,UNK,_,VB,2,_,_,_,_,_,_,_,I-Type
20,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Type
21,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Type
22,equation,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Type
23,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Type
1,in,_,In,_,IN,2,_,_,_,_,_,_,_,O
2,this,_,this,_,DT,2,_,_,_,_,_,_,_,O
3,paper,_,paper,_,NN,2,_,_,_,_,_,_,_,O
4,",",_,",",_,",",2,_,_,_,_,_,_,_,O
5,we,_,we,_,PRP,2,_,_,_,_,_,_,_,O
6,review,_,review,_,VBP,2,_,_,_,_,_,_,_,O
7,some,_,some,_,DT,2,_,_,_,_,_,_,_,O
8,numerical,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
9,methods,_,method,_,NNS,2,_,_,_,_,_,_,_,O
10,presented,_,present,_,VBN,2,_,_,_,_,_,_,_,O
11,in,_,in,_,IN,2,_,_,_,_,_,_,_,O
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
13,literature,_,literature,_,NN,2,_,_,_,_,_,_,_,O
14,in,_,in,_,IN,2,_,_,_,_,_,_,_,O
15,the,_,the,_,DT,2,_,_,_,_,_,_,_,S-User
16,last,_,last,_,JJ,2,_,_,_,_,_,last.a,Duration_relation,O
17,years,_,year,_,NNS,2,_,_,_,_,_,_,_,O
18,to,_,to,_,TO,2,_,_,_,_,_,_,_,O
19,approximate,_,UNK,_,VB,2,_,_,_,_,_,_,_,O
20,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
21,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
22,equation,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
23,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,in,_,In,_,IN,2,_,_,_,_,_,_,_,B-Unit
2,this,_,this,_,DT,2,_,_,_,_,_,_,_,I-Unit
3,paper,_,paper,_,NN,2,_,_,_,_,_,_,_,I-Unit
4,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Unit
5,we,_,we,_,PRP,2,_,_,_,_,_,_,_,I-Unit
6,review,_,review,_,VBP,2,_,_,_,_,_,_,_,I-Unit
7,some,_,some,_,DT,2,_,_,_,_,_,_,_,I-Unit
8,numerical,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Unit
9,methods,_,method,_,NNS,2,_,_,_,_,_,_,_,I-Unit
10,presented,_,present,_,VBN,2,_,_,_,_,_,_,_,I-Unit
11,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Unit
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Unit
13,literature,_,literature,_,NN,2,_,_,_,_,_,_,_,I-Unit
14,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Unit
15,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Unit
16,last,_,last,_,JJ,2,_,_,_,_,_,_,_,I-Unit
17,years,_,year,_,NNS,2,_,_,_,_,_,year.n,Measure_duration,O
18,to,_,to,_,TO,2,_,_,_,_,_,_,_,B-Agent
19,approximate,_,UNK,_,VB,2,_,_,_,_,_,_,_,I-Agent
20,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Agent
21,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Agent
22,equation,_,UNK,_,NN,2,_,_,_,_,_,_,_,B-Unit
23,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Unit
1,in,_,In,_,IN,2,_,_,_,_,_,_,_,B-Trajector
2,this,_,this,_,DT,2,_,_,_,_,_,_,_,I-Trajector
3,paper,_,paper,_,NN,2,_,_,_,_,_,_,_,I-Trajector
4,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Trajector
5,we,_,we,_,PRP,2,_,_,_,_,_,_,_,I-Trajector
6,review,_,review,_,VBP,2,_,_,_,_,_,_,_,I-Trajector
7,some,_,some,_,DT,2,_,_,_,_,_,_,_,I-Trajector
8,numerical,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Trajector
9,methods,_,method,_,NNS,2,_,_,_,_,_,_,_,I-Trajector
10,presented,_,present,_,VBN,2,_,_,_,_,_,_,_,I-Trajector
11,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Trajector
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Trajector
13,literature,_,literature,_,NN,2,_,_,_,_,_,_,_,I-Trajector
14,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Trajector
15,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Trajector
16,last,_,last,_,JJ,2,_,_,_,_,_,_,_,I-Trajector
17,years,_,year,_,NNS,2,_,_,_,_,_,_,_,I-Trajector
18,to,_,to,_,TO,2,_,_,_,_,_,to.prep,Goal,O
19,approximate,_,UNK,_,VB,2,_,_,_,_,_,_,_,B-Trajector
20,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Trajector
21,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Trajector
22,equation,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Trajector
23,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Trajector
1,our,_,Our,_,PRP$,3,_,_,_,_,_,_,_,B-Trajector
2,aim,_,aim,_,NN,3,_,_,_,_,_,_,_,I-Trajector
3,is,_,be,_,VBZ,3,_,_,_,_,_,_,_,I-Trajector
4,to,_,to,_,TO,3,_,_,_,_,_,to.prep,Goal,O
5,compare,_,compare,_,VB,3,_,_,_,_,_,_,_,B-Time
6,the,_,the,_,DT,3,_,_,_,_,_,_,_,I-Time
7,main,_,main,_,JJ,3,_,_,_,_,_,_,_,I-Time
8,properties,_,property,_,NNS,3,_,_,_,_,_,_,_,I-Time
9,of,_,of,_,IN,3,_,_,_,_,_,_,_,I-Time
10,each,_,each,_,DT,3,_,_,_,_,_,_,_,I-Time
11,one,_,one,_,CD,3,_,_,_,_,_,_,_,I-Time
12,of,_,of,_,IN,3,_,_,_,_,_,_,_,I-Time
13,the,_,the,_,DT,3,_,_,_,_,_,_,_,I-Time
14,approaches,_,approach,_,NNS,3,_,_,_,_,_,_,_,I-Time
15,to,_,to,_,TO,3,_,_,_,_,_,_,_,I-Time
16,try,_,try,_,VB,3,_,_,_,_,_,_,_,I-Time
17,to,_,to,_,TO,3,_,_,_,_,_,_,_,I-Time
18,determine,_,determine,_,VB,3,_,_,_,_,_,_,_,I-Time
19,which,_,which,_,WDT,3,_,_,_,_,_,_,_,I-Time
20,one,_,one,_,CD,3,_,_,_,_,_,_,_,I-Time
21,we,_,we,_,PRP,3,_,_,_,_,_,_,_,I-Time
22,should,_,should,_,MD,3,_,_,_,_,_,_,_,I-Time
23,choose,_,choose,_,VB,3,_,_,_,_,_,_,_,I-Time
24,depending,_,depend,_,VBG,3,_,_,_,_,_,_,_,I-Time
25,on,_,on,_,IN,3,_,_,_,_,_,_,_,B-Trajector
26,which,_,which,_,WDT,3,_,_,_,_,_,_,_,I-Trajector
27,are,_,be,_,VBP,3,_,_,_,_,_,_,_,I-Trajector
28,the,_,the,_,DT,3,_,_,_,_,_,_,_,I-Trajector
29,crucial,_,crucial,_,JJ,3,_,_,_,_,_,_,_,I-Trajector
30,aspects,_,aspect,_,NNS,3,_,_,_,_,_,_,_,I-Trajector
31,when,_,when,_,WRB,3,_,_,_,_,_,_,_,I-Trajector
32,we,_,we,_,PRP,3,_,_,_,_,_,_,_,I-Trajector
33,approximate,_,UNK,_,VBP,3,_,_,_,_,_,_,_,I-Trajector
34,the,_,the,_,DT,3,_,_,_,_,_,_,_,I-Trajector
35,equations,_,UNK,_,NNS,3,_,_,_,_,_,_,_,I-Trajector
36,.,_,.,_,.,3,_,_,_,_,_,_,_,I-Trajector
1,our,_,Our,_,PRP$,3,_,_,_,_,_,_,_,B-Manner
2,aim,_,aim,_,NN,3,_,_,_,_,_,_,_,I-Manner
3,is,_,be,_,VBZ,3,_,_,_,_,_,_,_,I-Manner
4,to,_,to,_,TO,3,_,_,_,_,_,_,_,I-Manner
5,compare,_,compare,_,VB,3,_,_,_,_,_,compare.v,Evaluative_comparison,S-Degree
6,the,_,the,_,DT,3,_,_,_,_,_,_,_,B-Manner
7,main,_,main,_,JJ,3,_,_,_,_,_,_,_,I-Manner
8,properties,_,property,_,NNS,3,_,_,_,_,_,_,_,I-Manner
9,of,_,of,_,IN,3,_,_,_,_,_,_,_,I-Manner
10,each,_,each,_,DT,3,_,_,_,_,_,_,_,I-Manner
11,one,_,one,_,CD,3,_,_,_,_,_,_,_,I-Manner
12,of,_,of,_,IN,3,_,_,_,_,_,_,_,I-Manner
13,the,_,the,_,DT,3,_,_,_,_,_,_,_,I-Manner
14,approaches,_,approach,_,NNS,3,_,_,_,_,_,_,_,I-Manner
15,to,_,to,_,TO,3,_,_,_,_,_,_,_,I-Manner
16,try,_,try,_,VB,3,_,_,_,_,_,_,_,I-Manner
17,to,_,to,_,TO,3,_,_,_,_,_,_,_,I-Manner
18,determine,_,determine,_,VB,3,_,_,_,_,_,_,_,I-Manner
19,which,_,which,_,WDT,3,_,_,_,_,_,_,_,I-Manner
20,one,_,one,_,CD,3,_,_,_,_,_,_,_,I-Manner
21,we,_,we,_,PRP,3,_,_,_,_,_,_,_,I-Manner
22,should,_,should,_,MD,3,_,_,_,_,_,_,_,I-Manner
23,choose,_,choose,_,VB,3,_,_,_,_,_,_,_,I-Manner
24,depending,_,depend,_,VBG,3,_,_,_,_,_,_,_,I-Manner
25,on,_,on,_,IN,3,_,_,_,_,_,_,_,I-Manner
26,which,_,which,_,WDT,3,_,_,_,_,_,_,_,B-Degree
27,are,_,be,_,VBP,3,_,_,_,_,_,_,_,I-Degree
28,the,_,the,_,DT,3,_,_,_,_,_,_,_,I-Degree
29,crucial,_,crucial,_,JJ,3,_,_,_,_,_,_,_,I-Degree
30,aspects,_,aspect,_,NNS,3,_,_,_,_,_,_,_,I-Degree
31,when,_,when,_,WRB,3,_,_,_,_,_,_,_,I-Degree
32,we,_,we,_,PRP,3,_,_,_,_,_,_,_,I-Degree
33,approximate,_,UNK,_,VBP,3,_,_,_,_,_,_,_,I-Degree
34,the,_,the,_,DT,3,_,_,_,_,_,_,_,I-Degree
35,equations,_,UNK,_,NNS,3,_,_,_,_,_,_,_,I-Degree
36,.,_,.,_,.,3,_,_,_,_,_,_,_,I-Degree
1,our,_,Our,_,PRP$,3,_,_,_,_,_,_,_,B-Time
2,aim,_,aim,_,NN,3,_,_,_,_,_,_,_,I-Time
3,is,_,be,_,VBZ,3,_,_,_,_,_,_,_,I-Time
4,to,_,to,_,TO,3,_,_,_,_,_,_,_,I-Time
5,compare,_,compare,_,VB,3,_,_,_,_,_,_,_,I-Time
6,the,_,the,_,DT,3,_,_,_,_,_,_,_,I-Time
7,main,_,main,_,JJ,3,_,_,_,_,_,_,_,I-Time
8,properties,_,property,_,NNS,3,_,_,_,_,_,property.n,Possession,O
9,of,_,of,_,IN,3,_,_,_,_,_,_,_,B-Manner
10,each,_,each,_,DT,3,_,_,_,_,_,_,_,I-Manner
11,one,_,one,_,CD,3,_,_,_,_,_,_,_,I-Manner
12,of,_,of,_,IN,3,_,_,_,_,_,_,_,I-Manner
13,the,_,the,_,DT,3,_,_,_,_,_,_,_,I-Manner
