ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,effects,_,UNK,_,NNS,1,_,_,_,_,_,_,_,B-Time
2,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Time
3,fiber,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
4,orientation,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Time
5,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Time
6,anisotropy,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Time
7,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Time
8,tensile,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
9,strength,_,strength,_,NN,1,_,_,_,_,_,strength.n,Level_of_force_exertion,S-Degree
10,and,_,and,_,CC,1,_,_,_,_,_,_,_,B-Force
11,elastic,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Force
12,modulus,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Force
13,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Force
14,short,_,short,_,JJ,1,_,_,_,_,_,_,_,I-Force
15,fiber,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Force
16,reinforced,_,reinforce,_,VBD,1,_,_,_,_,_,_,_,I-Force
17,polymer,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Force
18,composites,_,composite,_,NNS,1,_,_,_,_,_,_,_,I-Force
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Force
1,effects,_,UNK,_,NNS,1,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Age
3,fiber,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Age
4,orientation,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
5,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Age
6,anisotropy,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
7,on,_,on,_,IN,1,_,_,_,_,_,_,_,I-Age
8,tensile,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Age
9,strength,_,strength,_,NN,1,_,_,_,_,_,_,_,I-Age
10,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Age
11,elastic,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Age
12,modulus,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
13,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
14,short,_,short,_,JJ,1,_,_,_,_,_,_,_,B-Age
15,fiber,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
16,reinforced,_,reinforce,_,VBD,1,_,_,_,_,_,_,_,I-Age
17,polymer,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Age
18,composites,_,composite,_,NNS,1,_,_,_,_,_,_,_,I-Age
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Age
1,an,_,An,_,DT,2,_,_,_,_,_,_,_,B-Use
2,experimental,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Use
3,study,_,study,_,NN,2,_,_,_,_,_,study.n,Building_subparts,O
4,was,_,be,_,VBD,2,_,_,_,_,_,_,_,B-Use
5,conducted,_,conduct,_,VBN,2,_,_,_,_,_,_,_,I-Use
6,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Use
7,investigate,_,investigate,_,VB,2,_,_,_,_,_,_,_,I-Use
8,anisotropy,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Use
9,effects,_,effect,_,NNS,2,_,_,_,_,_,_,_,I-Use
10,on,_,on,_,IN,2,_,_,_,_,_,_,_,I-Use
11,tensile,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Use
12,properties,_,property,_,NNS,2,_,_,_,_,_,_,_,I-Use
13,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Use
14,two,_,two,_,CD,2,_,_,_,_,_,_,_,I-Use
15,short,_,short,_,JJ,2,_,_,_,_,_,_,_,I-Use
16,glass,_,glass,_,NN,2,_,_,_,_,_,_,_,I-Use
17,fiber,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Use
18,reinforced,_,reinforce,_,VBD,2,_,_,_,_,_,_,_,I-Use
19,thermoplastics,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Use
20,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Use
1,an,_,An,_,DT,2,_,_,_,_,_,_,_,B-Manner
2,experimental,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
3,study,_,study,_,NN,2,_,_,_,_,_,_,_,I-Manner
4,was,_,be,_,VBD,2,_,_,_,_,_,_,_,I-Manner
5,conducted,_,conduct,_,VBN,2,_,_,_,_,_,conduct.v,Intentionally_act,O
6,to,_,to,_,TO,2,_,_,_,_,_,_,_,B-Manner
7,investigate,_,investigate,_,VB,2,_,_,_,_,_,_,_,I-Manner
8,anisotropy,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
9,effects,_,effect,_,NNS,2,_,_,_,_,_,_,_,I-Manner
10,on,_,on,_,IN,2,_,_,_,_,_,_,_,I-Manner
11,tensile,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
12,properties,_,property,_,NNS,2,_,_,_,_,_,_,_,I-Manner
13,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Manner
14,two,_,two,_,CD,2,_,_,_,_,_,_,_,I-Manner
15,short,_,short,_,JJ,2,_,_,_,_,_,_,_,I-Manner
16,glass,_,glass,_,NN,2,_,_,_,_,_,_,_,I-Manner
17,fiber,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
18,reinforced,_,reinforce,_,VBD,2,_,_,_,_,_,_,_,I-Manner
