ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,an,_,An,_,DT,1,_,_,_,_,_,_,_,B-Purpose
2,efficient,_,efficient,_,JJ,1,_,_,_,_,_,_,_,I-Purpose
3,computational,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Purpose
4,approach,_,approach,_,NN,1,_,_,_,_,_,approach.n,Means,O
5,for,_,for,_,IN,1,_,_,_,_,_,_,_,B-Purpose
6,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Purpose
7,analysis,_,analysis,_,NN,1,_,_,_,_,_,_,_,I-Purpose
8,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Purpose
9,functionally,_,UNK,_,RB,1,_,_,_,_,_,_,_,I-Purpose
10,graded,_,grade,_,VBN,1,_,_,_,_,_,_,_,I-Purpose
11,unk,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Purpose
12,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Purpose
1,an,_,An,_,DT,1,_,_,_,_,_,_,_,B-Time
2,efficient,_,efficient,_,JJ,1,_,_,_,_,_,_,_,I-Time
3,computational,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
4,approach,_,approach,_,NN,1,_,_,_,_,_,_,_,I-Time
5,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Time
6,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
7,analysis,_,analysis,_,NN,1,_,_,_,_,_,analysis.n,Scrutiny,S-Degree
8,of,_,of,_,IN,1,_,_,_,_,_,_,_,B-Purpose
9,functionally,_,UNK,_,RB,1,_,_,_,_,_,_,_,I-Purpose
10,graded,_,grade,_,VBN,1,_,_,_,_,_,_,_,I-Purpose
11,unk,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Purpose
12,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Purpose
1,in,_,In,_,IN,2,_,_,_,_,_,_,_,S-Service_provider
2,this,_,this,_,DT,2,_,_,_,_,_,_,_,S-Business
3,paper,_,paper,_,NN,2,_,_,_,_,_,paper.n,Businesses,O
4,",",_,",",_,",",2,_,_,_,_,_,_,_,O
5,an,_,an,_,DT,2,_,_,_,_,_,_,_,B-Service_provider
6,efficient,_,efficient,_,JJ,2,_,_,_,_,_,_,_,I-Service_provider
7,computational,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Service_provider
8,approach,_,approach,_,NN,2,_,_,_,_,_,_,_,I-Service_provider
9,based,_,base,_,VBN,2,_,_,_,_,_,_,_,O
10,on,_,on,_,IN,2,_,_,_,_,_,_,_,O
11,refined,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
12,plate,_,plate,_,NN,2,_,_,_,_,_,_,_,O
13,theory,_,theory,_,NN,2,_,_,_,_,_,_,_,O
14,(,_,(,_,(,2,_,_,_,_,_,_,_,O
15,rpt,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
16,),_,),_,),2,_,_,_,_,_,_,_,O
17,including,_,include,_,VBG,2,_,_,_,_,_,_,_,O
18,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
19,thickness,_,thickness,_,NN,2,_,_,_,_,_,_,_,O
20,stretching,_,stretch,_,VBG,2,_,_,_,_,_,_,_,O
21,effect,_,effect,_,NN,2,_,_,_,_,_,_,_,O
22,",",_,",",_,",",2,_,_,_,_,_,_,_,O
23,namely,_,namely,_,RB,2,_,_,_,_,_,_,_,O
24,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
25,theory,_,theory,_,NN,2,_,_,_,_,_,_,_,O
26,",",_,",",_,",",2,_,_,_,_,_,_,_,O
27,in,_,in,_,IN,2,_,_,_,_,_,_,_,O
28,conjunction,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
29,with,_,with,_,IN,2,_,_,_,_,_,_,_,O
30,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
31,formulation,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
32,(,_,(,_,(,2,_,_,_,_,_,_,_,O
33,iga,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
34,),_,),_,),2,_,_,_,_,_,_,_,O
35,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,O
36,proposed,_,propose,_,VBN,2,_,_,_,_,_,_,_,O
37,for,_,for,_,IN,2,_,_,_,_,_,_,_,O
38,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
39,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
40,bending,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
41,",",_,",",_,",",2,_,_,_,_,_,_,_,O
42,free,_,free,_,JJ,2,_,_,_,_,_,_,_,O
43,vibration,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
44,and,_,and,_,CC,2,_,_,_,_,_,_,_,O
45,buckling,_,buckle,_,VBG,2,_,_,_,_,_,_,_,O
46,analysis,_,analysis,_,NN,2,_,_,_,_,_,_,_,O
47,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
48,functionally,_,UNK,_,RB,2,_,_,_,_,_,_,_,O
49,graded,_,grade,_,VBN,2,_,_,_,_,_,_,_,O
50,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
51,structures,_,structure,_,NNS,2,_,_,_,_,_,_,_,O
52,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,in,_,In,_,IN,2,_,_,_,_,_,_,_,O
2,this,_,this,_,DT,2,_,_,_,_,_,_,_,O
3,paper,_,paper,_,NN,2,_,_,_,_,_,_,_,O
4,",",_,",",_,",",2,_,_,_,_,_,_,_,O
5,an,_,an,_,DT,2,_,_,_,_,_,_,_,B-Purpose
6,efficient,_,efficient,_,JJ,2,_,_,_,_,_,_,_,I-Purpose
7,computational,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Purpose
8,approach,_,approach,_,NN,2,_,_,_,_,_,approach.n,Means,O
9,based,_,base,_,VBN,2,_,_,_,_,_,_,_,O
10,on,_,on,_,IN,2,_,_,_,_,_,_,_,O
11,refined,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
12,plate,_,plate,_,NN,2,_,_,_,_,_,_,_,O
13,theory,_,theory,_,NN,2,_,_,_,_,_,_,_,O
14,(,_,(,_,(,2,_,_,_,_,_,_,_,O
15,rpt,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
16,),_,),_,),2,_,_,_,_,_,_,_,O
17,including,_,include,_,VBG,2,_,_,_,_,_,_,_,O
18,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
19,thickness,_,thickness,_,NN,2,_,_,_,_,_,_,_,O
20,stretching,_,stretch,_,VBG,2,_,_,_,_,_,_,_,O
21,effect,_,effect,_,NN,2,_,_,_,_,_,_,_,O
22,",",_,",",_,",",2,_,_,_,_,_,_,_,O
23,namely,_,namely,_,RB,2,_,_,_,_,_,_,_,O
24,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
25,theory,_,theory,_,NN,2,_,_,_,_,_,_,_,O
26,",",_,",",_,",",2,_,_,_,_,_,_,_,O
27,in,_,in,_,IN,2,_,_,_,_,_,_,_,O
28,conjunction,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
29,with,_,with,_,IN,2,_,_,_,_,_,_,_,O
30,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
31,formulation,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
32,(,_,(,_,(,2,_,_,_,_,_,_,_,O
33,iga,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
34,),_,),_,),2,_,_,_,_,_,_,_,O
35,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,O
36,proposed,_,propose,_,VBN,2,_,_,_,_,_,_,_,O
37,for,_,for,_,IN,2,_,_,_,_,_,_,_,O
38,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
39,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
40,bending,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
41,",",_,",",_,",",2,_,_,_,_,_,_,_,O
42,free,_,free,_,JJ,2,_,_,_,_,_,_,_,O
43,vibration,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
44,and,_,and,_,CC,2,_,_,_,_,_,_,_,O
45,buckling,_,buckle,_,VBG,2,_,_,_,_,_,_,_,O
46,analysis,_,analysis,_,NN,2,_,_,_,_,_,_,_,O
47,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
48,functionally,_,UNK,_,RB,2,_,_,_,_,_,_,_,O
49,graded,_,grade,_,VBN,2,_,_,_,_,_,_,_,O
50,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
51,structures,_,structure,_,NNS,2,_,_,_,_,_,_,_,O
52,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,in,_,In,_,IN,2,_,_,_,_,_,_,_,B-Time
2,this,_,this,_,DT,2,_,_,_,_,_,_,_,I-Time
3,paper,_,paper,_,NN,2,_,_,_,_,_,_,_,I-Time
4,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Time
5,an,_,an,_,DT,2,_,_,_,_,_,_,_,I-Time
6,efficient,_,efficient,_,JJ,2,_,_,_,_,_,_,_,I-Time
7,computational,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Time
8,approach,_,approach,_,NN,2,_,_,_,_,_,_,_,I-Time
9,based,_,base,_,VBN,2,_,_,_,_,_,_,_,I-Time
10,on,_,on,_,IN,2,_,_,_,_,_,on.prep,Being_in_operation,O
11,refined,_,UNK,_,JJ,2,_,_,_,_,_,_,_,B-Duration
12,plate,_,plate,_,NN,2,_,_,_,_,_,_,_,I-Duration
13,theory,_,theory,_,NN,2,_,_,_,_,_,_,_,I-Duration
