ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,the,_,The,_,DT,2,_,_,_,_,_,_,_,B-Entity
2,fifth,_,fifth,_,JJ,2,_,_,_,_,_,_,_,I-Entity
3,generation,_,generation,_,NN,2,_,_,_,_,_,generation.n,Stage_of_progress,S-Degree
4,(,_,(,_,(,2,_,_,_,_,_,_,_,B-Manner
5,5g,_,UNK,_,CD,2,_,_,_,_,_,_,_,I-Manner
6,),_,),_,),2,_,_,_,_,_,_,_,I-Manner
7,network,_,network,_,NN,2,_,_,_,_,_,_,_,I-Manner
8,will,_,will,_,MD,2,_,_,_,_,_,_,_,B-Degree
9,serve,_,serve,_,VB,2,_,_,_,_,_,_,_,I-Degree
10,as,_,a,_,IN,2,_,_,_,_,_,_,_,I-Degree
11,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Degree
12,key,_,key,_,JJ,2,_,_,_,_,_,_,_,I-Degree
13,enabler,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Degree
14,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Degree
15,meeting,_,meet,_,VBG,2,_,_,_,_,_,_,_,I-Degree
16,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Degree
17,continuously,_,continuously,_,RB,2,_,_,_,_,_,_,_,I-Degree
18,increasing,_,increase,_,VBG,2,_,_,_,_,_,_,_,I-Degree
19,demands,_,demand,_,NNS,2,_,_,_,_,_,_,_,I-Degree
20,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Degree
21,future,_,future,_,JJ,2,_,_,_,_,_,_,_,I-Degree
22,wireless,_,wireless,_,NN,2,_,_,_,_,_,_,_,I-Degree
23,applications,_,application,_,NNS,2,_,_,_,_,_,_,_,I-Degree
24,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Degree
25,including,_,include,_,VBG,2,_,_,_,_,_,_,_,I-Degree
26,an,_,an,_,DT,2,_,_,_,_,_,_,_,I-Degree
27,ultra-high,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Degree
28,data,_,data,_,NN,2,_,_,_,_,_,_,_,I-Degree
29,rate,_,rate,_,NN,2,_,_,_,_,_,_,_,I-Degree
30,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Degree
31,an,_,an,_,DT,2,_,_,_,_,_,_,_,I-Degree
32,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Degree
33,radio,_,radio,_,NN,2,_,_,_,_,_,_,_,I-Degree
34,coverage,_,coverage,_,NN,2,_,_,_,_,_,_,_,I-Degree
35,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Degree
36,an,_,an,_,DT,2,_,_,_,_,_,_,_,I-Degree
37,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Degree
38,number,_,number,_,NN,2,_,_,_,_,_,_,_,I-Degree
39,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Degree
40,devices,_,device,_,NNS,2,_,_,_,_,_,_,_,I-Degree
41,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Degree
42,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Degree
43,an,_,an,_,DT,2,_,_,_,_,_,_,_,I-Degree
44,ultra-low,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Degree
45,latency,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Degree
46,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Degree
1,the,_,The,_,DT,2,_,_,_,_,_,_,_,O
2,fifth,_,fifth,_,JJ,2,_,_,_,_,_,_,_,O
3,generation,_,generation,_,NN,2,_,_,_,_,_,_,_,O
4,(,_,(,_,(,2,_,_,_,_,_,_,_,O
5,5g,_,UNK,_,CD,2,_,_,_,_,_,_,_,B-Possessor
6,),_,),_,),2,_,_,_,_,_,_,_,I-Possessor
7,network,_,network,_,NN,2,_,_,_,_,_,network.n,Network,O
8,will,_,will,_,MD,2,_,_,_,_,_,_,_,O
9,serve,_,serve,_,VB,2,_,_,_,_,_,_,_,O
10,as,_,a,_,IN,2,_,_,_,_,_,_,_,O
11,a,_,a,_,DT,2,_,_,_,_,_,_,_,O
12,key,_,key,_,JJ,2,_,_,_,_,_,_,_,O
13,enabler,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
14,in,_,in,_,IN,2,_,_,_,_,_,_,_,O
15,meeting,_,meet,_,VBG,2,_,_,_,_,_,_,_,O
16,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
17,continuously,_,continuously,_,RB,2,_,_,_,_,_,_,_,O
18,increasing,_,increase,_,VBG,2,_,_,_,_,_,_,_,O
19,demands,_,demand,_,NNS,2,_,_,_,_,_,_,_,O
20,for,_,for,_,IN,2,_,_,_,_,_,_,_,O
21,future,_,future,_,JJ,2,_,_,_,_,_,_,_,O
22,wireless,_,wireless,_,NN,2,_,_,_,_,_,_,_,O
23,applications,_,application,_,NNS,2,_,_,_,_,_,_,_,O
24,",",_,",",_,",",2,_,_,_,_,_,_,_,O
25,including,_,include,_,VBG,2,_,_,_,_,_,_,_,O
26,an,_,an,_,DT,2,_,_,_,_,_,_,_,O
27,ultra-high,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
28,data,_,data,_,NN,2,_,_,_,_,_,_,_,O
29,rate,_,rate,_,NN,2,_,_,_,_,_,_,_,O
30,",",_,",",_,",",2,_,_,_,_,_,_,_,O
31,an,_,an,_,DT,2,_,_,_,_,_,_,_,O
32,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
33,radio,_,radio,_,NN,2,_,_,_,_,_,_,_,O
34,coverage,_,coverage,_,NN,2,_,_,_,_,_,_,_,O
35,",",_,",",_,",",2,_,_,_,_,_,_,_,O
36,an,_,an,_,DT,2,_,_,_,_,_,_,_,O
37,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
38,number,_,number,_,NN,2,_,_,_,_,_,_,_,O
