ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Chosen
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Chosen
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,select.v,Choosing,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,_,_,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,_,_,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,area.n,Fields,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,dynamic,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Cognizer
2,computation,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Cognizer
3,offloading,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Cognizer
4,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
5,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Cognizer
6,computing,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Cognizer
7,with,_,With,_,IN,1,_,_,_,_,_,_,_,B-Degree
8,energy,_,Energy,_,NNP,1,_,_,_,_,_,_,_,I-Degree
9,harvesting,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
10,devices,_,UNK,_,NNPS,1,_,_,_,_,_,_,_,I-Degree
11,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,dynamic,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Participants
2,computation,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Participants
3,offloading,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Participants
4,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Participants
5,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Participants
6,computing,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Participants
7,with,_,With,_,IN,1,_,_,_,_,_,with.prep,Accompaniment,O
8,energy,_,Energy,_,NNP,1,_,_,_,_,_,_,_,B-Co-participant
9,harvesting,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Co-participant
10,devices,_,UNK,_,NNPS,1,_,_,_,_,_,_,_,I-Co-participant
11,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Co-participant
1,dynamic,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Exerter
2,computation,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Exerter
3,offloading,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Exerter
4,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Exerter
5,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Exerter
6,computing,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Exerter
7,with,_,With,_,IN,1,_,_,_,_,_,_,_,I-Exerter
8,energy,_,Energy,_,NNP,1,_,_,_,_,_,energy.n,Dynamism,S-Degree
9,harvesting,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
10,devices,_,UNK,_,NNPS,1,_,_,_,_,_,_,_,O
11,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,B-Role
2,computing,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Role
3,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Role
4,mec,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Role
5,),_,),_,),2,_,_,_,_,_,_,_,I-Role
6,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Role
7,an,_,an,_,DT,2,_,_,_,_,_,_,_,S-Duration_of_final_state
8,emerging,_,emerge,_,VBG,2,_,_,_,_,_,emerge.v,Coming_to_be,O
9,paradigm,_,UNK,_,NN,2,_,_,_,_,_,_,_,B-Manner
10,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Manner
11,meet,_,meet,_,VB,2,_,_,_,_,_,_,_,I-Manner
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Manner
13,ever-increasing,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
14,computation,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
15,demands,_,demand,_,NNS,2,_,_,_,_,_,_,_,I-Manner
16,from,_,from,_,IN,2,_,_,_,_,_,_,_,I-Manner
17,mobile,_,mobile,_,JJ,2,_,_,_,_,_,_,_,I-Manner
18,applications,_,application,_,NNS,2,_,_,_,_,_,_,_,I-Manner
19,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Manner
1,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,B-Trajector
2,computing,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Trajector
3,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Trajector
4,mec,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Trajector
5,),_,),_,),2,_,_,_,_,_,_,_,I-Trajector
6,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Trajector
7,an,_,an,_,DT,2,_,_,_,_,_,_,_,I-Trajector
8,emerging,_,emerge,_,VBG,2,_,_,_,_,_,_,_,I-Trajector
9,paradigm,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Trajector
10,to,_,to,_,TO,2,_,_,_,_,_,to.prep,Goal,O
11,meet,_,meet,_,VB,2,_,_,_,_,_,_,_,B-Trajector
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Trajector
13,ever-increasing,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Trajector
14,computation,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Trajector
15,demands,_,demand,_,NNS,2,_,_,_,_,_,_,_,I-Trajector
16,from,_,from,_,IN,2,_,_,_,_,_,_,_,I-Trajector
17,mobile,_,mobile,_,JJ,2,_,_,_,_,_,_,_,I-Trajector
18,applications,_,application,_,NNS,2,_,_,_,_,_,_,_,I-Trajector
19,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Trajector
1,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,B-Dimension
2,computing,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Dimension
3,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Dimension
4,mec,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Dimension
5,),_,),_,),2,_,_,_,_,_,_,_,I-Dimension
6,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Dimension
7,an,_,an,_,DT,2,_,_,_,_,_,_,_,I-Dimension
8,emerging,_,emerge,_,VBG,2,_,_,_,_,_,_,_,I-Dimension
9,paradigm,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Dimension
10,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Dimension
11,meet,_,meet,_,VB,2,_,_,_,_,_,meet.v,Response,O
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,S-Time
13,ever-increasing,_,UNK,_,JJ,2,_,_,_,_,_,_,_,B-Dimension
14,computation,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Dimension
15,demands,_,demand,_,NNS,2,_,_,_,_,_,_,_,I-Dimension
16,from,_,from,_,IN,2,_,_,_,_,_,_,_,I-Dimension
17,mobile,_,mobile,_,JJ,2,_,_,_,_,_,_,_,I-Dimension
18,applications,_,application,_,NNS,2,_,_,_,_,_,_,_,I-Dimension
19,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Dimension
1,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,B-Required_entity
2,computing,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Required_entity
3,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Required_entity
4,mec,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Required_entity
5,),_,),_,),2,_,_,_,_,_,_,_,I-Required_entity
6,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Required_entity
7,an,_,an,_,DT,2,_,_,_,_,_,_,_,I-Required_entity
8,emerging,_,emerge,_,VBG,2,_,_,_,_,_,_,_,I-Required_entity
9,paradigm,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Required_entity
10,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Required_entity
11,meet,_,meet,_,VB,2,_,_,_,_,_,_,_,I-Required_entity
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Required_entity
13,ever-increasing,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Required_entity
14,computation,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Required_entity
15,demands,_,demand,_,NNS,2,_,_,_,_,_,demand.n,Have_as_requirement,S-Degree
16,from,_,from,_,IN,2,_,_,_,_,_,_,_,O
17,mobile,_,mobile,_,JJ,2,_,_,_,_,_,_,_,O
18,applications,_,application,_,NNS,2,_,_,_,_,_,_,_,O
19,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,B-Support
2,computing,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Support
3,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Support
4,mec,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Support
5,),_,),_,),2,_,_,_,_,_,_,_,I-Support
6,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Support
7,an,_,an,_,DT,2,_,_,_,_,_,_,_,I-Support
8,emerging,_,emerge,_,VBG,2,_,_,_,_,_,_,_,I-Support
9,paradigm,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Support
10,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Support
11,meet,_,meet,_,VB,2,_,_,_,_,_,_,_,I-Support
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Support
13,ever-increasing,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Support
14,computation,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Support
15,demands,_,demand,_,NNS,2,_,_,_,_,_,_,_,I-Support
16,from,_,from,_,IN,2,_,_,_,_,_,from.prep,Evidence,S-Degree
17,mobile,_,mobile,_,JJ,2,_,_,_,_,_,_,_,B-Manner
18,applications,_,application,_,NNS,2,_,_,_,_,_,_,_,I-Manner
19,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Manner
1,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,B-Speed
2,computing,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Speed
3,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Speed
4,mec,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Speed
5,),_,),_,),2,_,_,_,_,_,_,_,I-Speed
6,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Speed
7,an,_,an,_,DT,2,_,_,_,_,_,_,_,I-Speed
8,emerging,_,emerge,_,VBG,2,_,_,_,_,_,_,_,I-Speed
9,paradigm,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Speed
10,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Speed
11,meet,_,meet,_,VB,2,_,_,_,_,_,_,_,I-Speed
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Speed
13,ever-increasing,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Speed
14,computation,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Speed
15,demands,_,demand,_,NNS,2,_,_,_,_,_,_,_,I-Speed
16,from,_,from,_,IN,2,_,_,_,_,_,_,_,S-Purpose
17,mobile,_,mobile,_,JJ,2,_,_,_,_,_,mobile.a,Bringing,S-Degree
18,applications,_,application,_,NNS,2,_,_,_,_,_,_,_,B-Constant_location
19,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Constant_location
1,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,B-Time
2,computing,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Time
3,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Time
4,mec,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Time
5,),_,),_,),2,_,_,_,_,_,_,_,I-Time
6,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Time
7,an,_,an,_,DT,2,_,_,_,_,_,_,_,I-Time
8,emerging,_,emerge,_,VBG,2,_,_,_,_,_,_,_,I-Time
9,paradigm,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Time
10,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Time
11,meet,_,meet,_,VB,2,_,_,_,_,_,_,_,I-Time
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Time
13,ever-increasing,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Time
14,computation,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Time
15,demands,_,demand,_,NNS,2,_,_,_,_,_,_,_,I-Time
16,from,_,from,_,IN,2,_,_,_,_,_,_,_,I-Time
17,mobile,_,mobile,_,JJ,2,_,_,_,_,_,_,_,I-Time
18,applications,_,application,_,NNS,2,_,_,_,_,_,application.n,Purpose,O
19,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,by,_,By,_,IN,3,_,_,_,_,_,_,_,B-Trajector
2,offloading,_,UNK,_,VBG,3,_,_,_,_,_,_,_,I-Trajector
3,the,_,the,_,DT,3,_,_,_,_,_,_,_,I-Trajector
4,computationally,_,UNK,_,RB,3,_,_,_,_,_,_,_,I-Trajector
5,intensive,_,intensive,_,JJ,3,_,_,_,_,_,_,_,I-Trajector
6,workloads,_,UNK,_,NNS,3,_,_,_,_,_,_,_,I-Trajector
7,to,_,to,_,TO,3,_,_,_,_,_,to.prep,Goal,O
8,the,_,the,_,DT,3,_,_,_,_,_,_,_,B-Time
9,mec,_,UNK,_,NNP,3,_,_,_,_,_,_,_,I-Time
10,server,_,UNK,_,NN,3,_,_,_,_,_,_,_,O
11,",",_,",",_,",",3,_,_,_,_,_,_,_,O
12,the,_,the,_,DT,3,_,_,_,_,_,_,_,O
13,quality,_,quality,_,NN,3,_,_,_,_,_,_,_,O
14,of,_,of,_,IN,3,_,_,_,_,_,_,_,O
15,computation,_,UNK,_,NN,3,_,_,_,_,_,_,_,O
16,experience,_,experience,_,NN,3,_,_,_,_,_,_,_,O
17,",",_,",",_,",",3,_,_,_,_,_,_,_,O
18,e.g.,_,e.g.,_,NN,3,_,_,_,_,_,_,_,O
19,",",_,",",_,",",3,_,_,_,_,_,_,_,O
20,the,_,the,_,DT,3,_,_,_,_,_,_,_,O
21,execution,_,execution,_,NN,3,_,_,_,_,_,_,_,O
22,latency,_,UNK,_,NN,3,_,_,_,_,_,_,_,O
23,",",_,",",_,",",3,_,_,_,_,_,_,_,O
24,could,_,could,_,MD,3,_,_,_,_,_,_,_,O
