ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,modern,_,Modern,_,JJ,0,_,_,_,_,_,_,_,S-Title
2,language,_,language,_,NN,0,_,_,_,_,_,_,_,S-Topic
3,journal,_,journal,_,NN,0,_,_,_,_,_,journal.n,Text,O
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Use
1,learning,_,UNK,_,VBG,1,_,_,_,_,_,_,_,S-Trajector
2,to,_,to,_,TO,1,_,_,_,_,_,to.prep,Goal,O
3,think,_,Think,_,VB,1,_,_,_,_,_,_,_,B-Time
4,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Time
5,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Time
6,second,_,Second,_,JJ,1,_,_,_,_,_,_,_,I-Time
7,language,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Time
8,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Time
9,effects,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Time
10,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Time
11,proficiency,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
12,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Time
13,length,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
14,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Time
15,exposure,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
16,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Time
17,english,_,English,_,NNP,1,_,_,_,_,_,_,_,I-Time
18,learners,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
19,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Time
20,german,_,German,_,NNP,1,_,_,_,_,_,_,_,I-Time
21,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Time
1,learning,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Role
2,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Role
3,think,_,Think,_,VB,1,_,_,_,_,_,think.v,Opinion,O
4,in,_,in,_,IN,1,_,_,_,_,_,_,_,B-Manner
5,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Manner
6,second,_,Second,_,JJ,1,_,_,_,_,_,_,_,I-Manner
7,language,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Manner
8,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Manner
9,effects,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Manner
10,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Manner
11,proficiency,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
12,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Manner
13,length,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
14,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Manner
15,exposure,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
16,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Manner
17,english,_,English,_,NNP,1,_,_,_,_,_,_,_,I-Manner
18,learners,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
19,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Manner
20,german,_,German,_,NNP,1,_,_,_,_,_,_,_,I-Manner
21,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,learning,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Unit
2,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Unit
3,think,_,Think,_,VB,1,_,_,_,_,_,_,_,I-Unit
4,in,_,in,_,IN,1,_,_,_,_,_,_,_,B-Agent
5,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Agent
6,second,_,Second,_,JJ,1,_,_,_,_,_,second.a,Measure_duration,O
7,language,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Unit
8,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Unit
9,effects,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Unit
10,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Unit
11,proficiency,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Unit
12,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Unit
13,length,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Unit
14,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Unit
15,exposure,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Unit
16,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Unit
17,english,_,English,_,NNP,1,_,_,_,_,_,_,_,I-Unit
18,learners,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Unit
19,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Unit
20,german,_,German,_,NNP,1,_,_,_,_,_,_,_,I-Unit
21,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Unit
1,learning,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Age
2,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Age
3,think,_,Think,_,VB,1,_,_,_,_,_,_,_,I-Age
4,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Age
5,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Age
6,second,_,Second,_,JJ,1,_,_,_,_,_,_,_,I-Age
7,language,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
8,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Age
9,effects,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Age
10,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
11,proficiency,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Age
12,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Age
13,length,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
14,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Age
15,exposure,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
16,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Age
